# seed=42 mode=sniper file=sample.ply filesize=447
trial	mode	filesize	off	bit	span	detected
0	sniper	447	407	1	1	true
1	sniper	447	240	3	1	false
2	sniper	447	138	2	1	true
3	sniper	447	111	7	1	false
4	sniper	447	317	5	1	true
5	sniper	447	229	1	1	false
6	sniper	447	129	6	1	false
7	sniper	447	68	3	1	true
8	sniper	447	427	4	1	true
9	sniper	447	245	4	1	false
10	sniper	447	414	7	1	true
11	sniper	447	378	3	1	true
12	sniper	447	149	1	1	false
13	sniper	447	45	3	1	false
14	sniper	447	157	0	1	true
15	sniper	447	141	3	1	true
16	sniper	447	133	6	1	false
17	sniper	447	166	0	1	false
18	sniper	447	294	7	1	true
19	sniper	447	257	6	1	true
20	sniper	447	20	3	1	false
21	sniper	447	156	4	1	true
22	sniper	447	427	2	1	true
23	sniper	447	233	0	1	false
24	sniper	447	411	5	1	true
25	sniper	447	393	0	1	false
26	sniper	447	257	5	1	true
27	sniper	447	130	4	1	false
28	sniper	447	384	4	1	true
29	sniper	447	421	7	1	true
30	sniper	447	249	1	1	true
31	sniper	447	287	3	1	false
32	sniper	447	37	0	1	false
33	sniper	447	421	0	1	false
34	sniper	447	100	4	1	false
35	sniper	447	98	7	1	false
36	sniper	447	444	6	1	true
37	sniper	447	383	5	1	true
38	sniper	447	77	6	1	true
39	sniper	447	135	0	1	true
40	sniper	447	120	7	1	true
41	sniper	447	155	7	1	true
42	sniper	447	82	6	1	true
43	sniper	447	96	0	1	false
44	sniper	447	68	0	1	true
45	sniper	447	374	6	1	true
46	sniper	447	387	3	1	true
47	sniper	447	444	5	1	true
48	sniper	447	359	2	1	false
49	sniper	447	80	2	1	true
50	sniper	447	337	2	1	false
51	sniper	447	422	3	1	true
52	sniper	447	347	7	1	true
53	sniper	447	205	2	1	false
54	sniper	447	235	6	1	false
55	sniper	447	9	7	1	true
56	sniper	447	92	6	1	true
57	sniper	447	19	6	1	false
58	sniper	447	22	1	1	false
59	sniper	447	165	2	1	false
60	sniper	447	133	4	1	false
61	sniper	447	237	2	1	false
62	sniper	447	311	5	1	true
63	sniper	447	385	7	1	true
64	sniper	447	410	0	1	true
65	sniper	447	426	0	1	true
66	sniper	447	351	3	1	false
67	sniper	447	25	7	1	false
68	sniper	447	53	1	1	false
69	sniper	447	216	3	1	false
70	sniper	447	409	2	1	false
71	sniper	447	383	6	1	true
72	sniper	447	281	2	1	false
73	sniper	447	260	4	1	true
74	sniper	447	43	2	1	false
75	sniper	447	106	2	1	true
76	sniper	447	29	0	1	false
77	sniper	447	169	4	1	false
78	sniper	447	207	2	1	false
79	sniper	447	219	4	1	false
80	sniper	447	230	2	1	false
81	sniper	447	21	3	1	false
82	sniper	447	123	0	1	true
83	sniper	447	375	2	1	false
84	sniper	447	126	2	1	true
85	sniper	447	259	3	1	true
86	sniper	447	389	6	1	true
87	sniper	447	230	6	1	false
88	sniper	447	300	0	1	false
89	sniper	447	133	5	1	false
90	sniper	447	392	6	1	true
91	sniper	447	29	4	1	false
92	sniper	447	91	2	1	true
93	sniper	447	83	3	1	true
94	sniper	447	48	4	1	false
95	sniper	447	248	7	1	false
96	sniper	447	402	6	1	true
97	sniper	447	426	2	1	true
98	sniper	447	63	0	1	false
99	sniper	447	121	7	1	true
