# seed=42 mode=bolter file=generated_plasma.png filesize=345007
trial	mode	filesize	off	bit	span	detected
0	bolter	345007	201566	-	1	true
1	bolter	345007	254781	-	1	true
2	bolter	345007	192389	-	1	true
3	bolter	345007	26564	-	1	true
4	bolter	345007	112328	-	1	true
5	bolter	345007	208295	-	1	true
6	bolter	345007	154737	-	1	true
7	bolter	345007	153450	-	1	true
8	bolter	345007	182065	-	1	true
9	bolter	345007	328472	-	1	true
10	bolter	345007	5909	-	1	true
11	bolter	345007	176106	-	1	true
12	bolter	345007	319312	-	1	true
13	bolter	345007	114714	-	1	true
14	bolter	345007	82735	-	1	true
15	bolter	345007	108739	-	1	true
16	bolter	345007	195594	-	1	true
17	bolter	345007	43386	-	1	true
18	bolter	345007	97817	-	1	true
19	bolter	345007	92480	-	1	true
20	bolter	345007	220581	-	1	true
21	bolter	345007	193137	-	1	true
22	bolter	345007	65389	-	1	true
23	bolter	345007	329634	-	1	true
24	bolter	345007	105340	-	1	true
25	bolter	345007	46994	-	1	true
26	bolter	345007	174140	-	1	true
27	bolter	345007	303397	-	1	true
28	bolter	345007	59100	-	1	true
29	bolter	345007	51029	-	1	true
30	bolter	345007	237776	-	1	true
31	bolter	345007	220154	-	1	true
32	bolter	345007	70248	-	1	true
33	bolter	345007	312671	-	1	true
34	bolter	345007	80159	-	1	true
35	bolter	345007	117505	-	1	true
36	bolter	345007	338787	-	1	true
37	bolter	345007	258910	-	1	true
38	bolter	345007	205979	-	1	true
39	bolter	345007	128908	-	1	true
40	bolter	345007	156426	-	1	true
41	bolter	345007	325216	-	1	true
42	bolter	345007	205747	-	1	true
43	bolter	345007	319854	-	1	true
44	bolter	345007	84159	-	1	true
45	bolter	345007	95190	-	1	true
46	bolter	345007	247613	-	1	true
47	bolter	345007	207587	-	1	true
48	bolter	345007	197089	-	1	true
49	bolter	345007	217468	-	1	true
50	bolter	345007	308068	-	1	true
51	bolter	345007	213719	-	1	true
52	bolter	345007	309258	-	1	true
53	bolter	345007	246126	-	1	true
54	bolter	345007	64128	-	1	true
55	bolter	345007	88164	-	1	true
56	bolter	345007	13356	-	1	true
57	bolter	345007	312480	-	1	true
58	bolter	345007	86550	-	1	true
59	bolter	345007	295418	-	1	true
60	bolter	345007	243165	-	1	true
61	bolter	345007	80729	-	1	true
62	bolter	345007	237405	-	1	true
63	bolter	345007	273486	-	1	true
64	bolter	345007	324054	-	1	true
65	bolter	345007	238649	-	1	true
66	bolter	345007	287053	-	1	true
67	bolter	345007	315205	-	1	true
68	bolter	345007	274145	-	1	true
69	bolter	345007	109426	-	1	true
70	bolter	345007	321211	-	1	true
71	bolter	345007	219646	-	1	true
72	bolter	345007	115954	-	1	true
73	bolter	345007	288286	-	1	true
74	bolter	345007	27397	-	1	true
75	bolter	345007	16682	-	1	true
76	bolter	345007	1695	-	1	true
77	bolter	345007	310257	-	1	true
78	bolter	345007	120693	-	1	true
79	bolter	345007	129742	-	1	true
80	bolter	345007	197423	-	1	true
81	bolter	345007	140760	-	1	true
82	bolter	345007	115392	-	1	true
83	bolter	345007	284168	-	1	true
84	bolter	345007	276807	-	1	true
85	bolter	345007	120292	-	1	true
86	bolter	345007	219935	-	1	true
87	bolter	345007	297773	-	1	true
88	bolter	345007	45713	-	1	true
89	bolter	345007	238985	-	1	true
90	bolter	345007	118533	-	1	true
91	bolter	345007	184703	-	1	true
92	bolter	345007	316505	-	1	true
93	bolter	345007	221854	-	1	true
94	bolter	345007	31951	-	1	true
95	bolter	345007	122423	-	1	true
96	bolter	345007	273339	-	1	true
97	bolter	345007	319422	-	1	true
98	bolter	345007	203510	-	1	true
99	bolter	345007	208062	-	1	true
