# seed=42 mode=bolter file=sample.pptx filesize=36518
trial	mode	filesize	off	bit	span	detected
0	bolter	36518	23702	-	1	true
1	bolter	36518	8113	-	1	true
2	bolter	36518	33281	-	1	true
3	bolter	36518	21355	-	1	true
4	bolter	36518	14743	-	1	true
5	bolter	36518	9750	-	1	true
6	bolter	36518	13940	-	1	true
7	bolter	36518	16605	-	1	true
8	bolter	36518	7890	-	1	true
9	bolter	36518	15427	-	1	true
10	bolter	36518	16951	-	1	true
11	bolter	36518	13471	-	1	true
12	bolter	36518	21944	-	1	true
13	bolter	36518	34690	-	1	true
14	bolter	36518	25735	-	1	true
15	bolter	36518	29995	-	1	true
16	bolter	36518	23438	-	1	true
17	bolter	36518	12408	-	1	true
18	bolter	36518	15977	-	1	true
19	bolter	36518	23562	-	1	true
20	bolter	36518	2766	-	1	true
21	bolter	36518	4645	-	1	true
22	bolter	36518	19616	-	1	true
23	bolter	36518	11117	-	1	true
24	bolter	36518	23037	-	1	true
25	bolter	36518	4075	-	1	true
26	bolter	36518	27168	-	1	true
27	bolter	36518	17425	-	1	true
28	bolter	36518	14776	-	1	true
29	bolter	36518	15432	-	1	true
30	bolter	36518	23704	-	1	true
31	bolter	36518	35153	-	1	true
32	bolter	36518	10494	-	1	true
33	bolter	36518	626	-	1	true
34	bolter	36518	26075	-	1	true
35	bolter	36518	10062	-	1	true
36	bolter	36518	25712	-	1	true
37	bolter	36518	3267	-	1	true
38	bolter	36518	34510	-	1	true
39	bolter	36518	32066	-	1	false
40	bolter	36518	15328	-	1	true
41	bolter	36518	20951	-	1	true
42	bolter	36518	32153	-	1	true
43	bolter	36518	13458	-	1	true
44	bolter	36518	22852	-	1	true
45	bolter	36518	22066	-	1	true
46	bolter	36518	33650	-	1	true
47	bolter	36518	25936	-	1	true
48	bolter	36518	32167	-	1	true
49	bolter	36518	25195	-	1	true
50	bolter	36518	23672	-	1	true
51	bolter	36518	984	-	1	true
52	bolter	36518	36346	-	1	false
53	bolter	36518	23893	-	1	true
54	bolter	36518	15282	-	1	true
55	bolter	36518	18304	-	1	true
56	bolter	36518	5007	-	1	true
57	bolter	36518	9142	-	1	true
58	bolter	36518	14055	-	1	true
59	bolter	36518	30631	-	1	true
60	bolter	36518	7854	-	1	true
61	bolter	36518	17421	-	1	true
62	bolter	36518	15939	-	1	true
63	bolter	36518	23043	-	1	true
64	bolter	36518	23936	-	1	true
65	bolter	36518	29520	-	1	true
66	bolter	36518	13799	-	1	true
67	bolter	36518	8670	-	1	true
68	bolter	36518	25774	-	1	true
69	bolter	36518	31506	-	1	true
70	bolter	36518	43	-	1	true
71	bolter	36518	1837	-	1	true
72	bolter	36518	21444	-	1	true
73	bolter	36518	28316	-	1	true
74	bolter	36518	4430	-	1	true
75	bolter	36518	15033	-	1	true
76	bolter	36518	4921	-	1	true
77	bolter	36518	31646	-	1	true
78	bolter	36518	17940	-	1	true
79	bolter	36518	5180	-	1	true
80	bolter	36518	21731	-	1	true
81	bolter	36518	7929	-	1	true
82	bolter	36518	13884	-	1	true
83	bolter	36518	2089	-	1	true
84	bolter	36518	27799	-	1	true
85	bolter	36518	10532	-	1	true
86	bolter	36518	26021	-	1	true
87	bolter	36518	23312	-	1	true
88	bolter	36518	8310	-	1	true
89	bolter	36518	16032	-	1	true
90	bolter	36518	8118	-	1	true
91	bolter	36518	8630	-	1	true
92	bolter	36518	16407	-	1	true
93	bolter	36518	18587	-	1	true
94	bolter	36518	8169	-	1	true
95	bolter	36518	10505	-	1	true
96	bolter	36518	23953	-	1	true
97	bolter	36518	14100	-	1	true
98	bolter	36518	15325	-	1	true
99	bolter	36518	120	-	1	false
