# seed=42 mode=sniper file=prores_4444_xq.mov filesize=6633967
trial	mode	filesize	off	bit	span	detected
0	sniper	6633967	322195	1	1	false
1	sniper	6633967	791005	3	1	false
2	sniper	6633967	2217450	2	1	false
3	sniper	6633967	2336095	7	1	false
4	sniper	6633967	5759134	5	1	false
5	sniper	6633967	736852	1	1	false
6	sniper	6633967	437996	6	1	false
7	sniper	6633967	323780	3	1	false
8	sniper	6633967	1241873	4	1	false
9	sniper	6633967	4821142	4	1	false
10	sniper	6633967	757257	7	1	false
11	sniper	6633967	2501009	3	1	false
12	sniper	6633967	2390007	1	1	false
13	sniper	6633967	798097	3	1	false
14	sniper	6633967	3931492	0	1	false
15	sniper	6633967	3593197	3	1	true
16	sniper	6633967	4820859	6	1	false
17	sniper	6633967	104194	0	1	true
18	sniper	6633967	3491494	7	1	false
19	sniper	6633967	669670	6	1	true
20	sniper	6633967	4191682	3	1	false
21	sniper	6633967	3469344	4	1	false
22	sniper	6633967	232514	2	1	false
23	sniper	6633967	396181	0	1	false
24	sniper	6633967	4773138	5	1	false
25	sniper	6633967	1942571	0	1	false
26	sniper	6633967	6507686	5	1	false
27	sniper	6633967	5319799	4	1	false
28	sniper	6633967	5217479	4	1	false
29	sniper	6633967	189419	7	1	false
30	sniper	6633967	2081901	1	1	false
31	sniper	6633967	969867	3	1	false
32	sniper	6633967	3145397	0	1	false
33	sniper	6633967	990923	0	1	false
34	sniper	6633967	2409591	4	1	false
35	sniper	6633967	1282594	7	1	false
36	sniper	6633967	4600392	6	1	false
37	sniper	6633967	664344	5	1	false
38	sniper	6633967	3019477	6	1	false
39	sniper	6633967	4906171	0	1	false
40	sniper	6633967	1625095	7	1	false
41	sniper	6633967	4833734	7	1	false
42	sniper	6633967	2164053	6	1	false
43	sniper	6633967	1383166	0	1	false
44	sniper	6633967	2516853	0	1	false
45	sniper	6633967	2891579	6	1	false
46	sniper	6633967	5246661	3	1	false
47	sniper	6633967	4418063	5	1	false
48	sniper	6633967	2847135	2	1	false
49	sniper	6633967	898067	2	1	false
50	sniper	6633967	4853333	2	1	false
51	sniper	6633967	4497280	3	1	false
52	sniper	6633967	3110054	7	1	false
53	sniper	6633967	4129790	2	1	false
54	sniper	6633967	6423636	6	1	false
55	sniper	6633967	1172899	7	1	false
56	sniper	6633967	6497229	6	1	false
57	sniper	6633967	1158626	6	1	false
58	sniper	6633967	420905	1	1	false
59	sniper	6633967	2218319	2	1	false
60	sniper	6633967	1880602	4	1	false
61	sniper	6633967	2929301	2	1	false
62	sniper	6633967	1872721	5	1	false
63	sniper	6633967	2879001	7	1	false
64	sniper	6633967	2554426	0	1	false
65	sniper	6633967	4856033	0	1	false
66	sniper	6633967	1288766	3	1	false
67	sniper	6633967	3472682	7	1	false
68	sniper	6633967	4117059	1	1	false
69	sniper	6633967	5663844	3	1	false
70	sniper	6633967	154077	2	1	false
71	sniper	6633967	5846632	6	1	false
72	sniper	6633967	338618	2	1	false
73	sniper	6633967	4514313	4	1	false
74	sniper	6633967	1522666	2	1	false
75	sniper	6633967	1864507	2	1	false
76	sniper	6633967	6226997	0	1	false
77	sniper	6633967	5805694	4	1	false
78	sniper	6633967	6405707	2	1	false
79	sniper	6633967	3175391	4	1	false
80	sniper	6633967	2059860	2	1	false
81	sniper	6633967	3481751	3	1	false
82	sniper	6633967	4315046	0	1	false
83	sniper	6633967	3422056	2	1	false
84	sniper	6633967	113749	2	1	false
85	sniper	6633967	1650042	3	1	false
86	sniper	6633967	4273241	6	1	false
87	sniper	6633967	5854520	6	1	false
88	sniper	6633967	4886046	0	1	false
89	sniper	6633967	6297024	5	1	false
90	sniper	6633967	4992384	6	1	true
91	sniper	6633967	3769558	4	1	false
92	sniper	6633967	535410	2	1	false
93	sniper	6633967	5295310	3	1	false
94	sniper	6633967	262293	4	1	false
95	sniper	6633967	1486207	7	1	false
96	sniper	6633967	4438679	6	1	false
97	sniper	6633967	2886616	2	1	false
98	sniper	6633967	294236	0	1	false
99	sniper	6633967	4000120	7	1	true
