# seed=42 mode=sniper file=sample.prproj filesize=112
trial	mode	filesize	off	bit	span	detected
0	sniper	112	102	1	1	true
1	sniper	112	59	3	1	true
2	sniper	112	45	2	1	true
3	sniper	112	92	7	1	false
4	sniper	112	88	5	1	true
5	sniper	112	41	1	1	true
6	sniper	112	28	6	1	true
7	sniper	112	1	3	1	true
8	sniper	112	10	4	1	true
9	sniper	112	83	4	1	false
10	sniper	112	40	7	1	false
11	sniper	112	80	3	1	false
12	sniper	112	67	1	1	false
13	sniper	112	90	3	1	false
14	sniper	112	68	0	1	false
15	sniper	112	64	3	1	false
16	sniper	112	86	6	1	true
17	sniper	112	37	0	1	true
18	sniper	112	74	7	1	false
19	sniper	112	86	6	1	true
20	sniper	112	18	3	1	true
21	sniper	112	31	4	1	true
22	sniper	112	110	2	1	true
23	sniper	112	58	0	1	true
24	sniper	112	9	5	1	true
25	sniper	112	6	0	1	true
26	sniper	112	18	5	1	true
27	sniper	112	82	4	1	false
28	sniper	112	63	4	1	false
29	sniper	112	47	7	1	false
30	sniper	112	8	1	1	true
31	sniper	112	1	3	1	true
32	sniper	112	32	0	1	true
33	sniper	112	59	0	1	true
34	sniper	112	90	4	1	false
35	sniper	112	79	7	1	false
36	sniper	112	52	6	1	true
37	sniper	112	100	5	1	false
38	sniper	112	91	6	1	false
39	sniper	112	0	0	1	true
40	sniper	112	43	7	1	false
41	sniper	112	30	7	1	false
42	sniper	112	97	6	1	true
43	sniper	112	93	0	1	false
44	sniper	112	18	0	1	true
45	sniper	112	110	6	1	true
46	sniper	112	9	3	1	true
47	sniper	112	1	5	1	true
48	sniper	112	7	2	1	true
49	sniper	112	13	2	1	true
50	sniper	112	57	2	1	false
51	sniper	112	85	3	1	false
52	sniper	112	40	7	1	false
53	sniper	112	22	2	1	true
54	sniper	112	4	6	1	true
55	sniper	112	111	7	1	true
56	sniper	112	107	6	1	true
57	sniper	112	61	6	1	false
58	sniper	112	71	1	1	false
59	sniper	112	3	2	1	true
60	sniper	112	105	4	1	true
61	sniper	112	94	2	1	false
62	sniper	112	84	5	1	false
63	sniper	112	62	7	1	false
64	sniper	112	10	0	1	true
65	sniper	112	36	0	1	true
66	sniper	112	49	3	1	false
67	sniper	112	50	7	1	false
68	sniper	112	62	1	1	false
69	sniper	112	91	3	1	false
70	sniper	112	43	2	1	true
71	sniper	112	29	6	1	true
72	sniper	112	61	2	1	false
73	sniper	112	85	4	1	true
74	sniper	112	93	2	1	false
75	sniper	112	5	2	1	true
76	sniper	112	64	0	1	false
77	sniper	112	29	4	1	true
78	sniper	112	91	2	1	false
79	sniper	112	34	4	1	true
80	sniper	112	91	2	1	false
81	sniper	112	61	3	1	false
82	sniper	112	37	0	1	true
83	sniper	112	29	2	1	true
84	sniper	112	64	2	1	false
85	sniper	112	79	3	1	false
86	sniper	112	11	6	1	true
87	sniper	112	38	6	1	true
88	sniper	112	6	0	1	true
89	sniper	112	46	5	1	true
90	sniper	112	100	6	1	false
91	sniper	112	105	4	1	true
92	sniper	112	57	2	1	false
93	sniper	112	57	3	1	false
94	sniper	112	105	4	1	true
95	sniper	112	17	7	1	false
96	sniper	112	81	6	1	true
97	sniper	112	5	2	1	true
98	sniper	112	83	0	1	false
99	sniper	112	10	7	1	false
