# seed=42 mode=shotgun file=sample.psd filesize=120120
trial	mode	filesize	off	bit	span	detected
0	shotgun	120120	7151	-	4096	false
1	shotgun	120120	81394	-	4096	false
2	shotgun	120120	102699	-	4096	false
3	shotgun	120120	65471	-	4096	false
4	shotgun	120120	63780	-	4096	false
5	shotgun	120120	70444	-	4096	false
6	shotgun	120120	101652	-	4096	false
7	shotgun	120120	76975	-	4096	false
8	shotgun	120120	84611	-	4096	false
9	shotgun	120120	19682	-	4096	false
10	shotgun	120120	89378	-	4096	false
11	shotgun	120120	67945	-	4096	false
12	shotgun	120120	70969	-	4096	false
13	shotgun	120120	97444	-	4096	false
14	shotgun	120120	34998	-	4096	false
15	shotgun	120120	58282	-	4096	true
16	shotgun	120120	41776	-	4096	false
17	shotgun	120120	47718	-	4096	false
18	shotgun	120120	107976	-	4096	false
19	shotgun	120120	113702	-	4096	false
20	shotgun	120120	36808	-	4096	false
21	shotgun	120120	76337	-	4096	false
22	shotgun	120120	72915	-	4096	false
23	shotgun	120120	5202	-	4096	false
24	shotgun	120120	67481	-	4096	false
25	shotgun	120120	69316	-	4096	false
26	shotgun	120120	54041	-	4096	false
27	shotgun	120120	105613	-	4096	false
28	shotgun	120120	20991	-	4096	false
29	shotgun	120120	58331	-	4096	true
30	shotgun	120120	60194	-	4096	false
31	shotgun	120120	20811	-	4096	false
32	shotgun	120120	38743	-	4096	false
33	shotgun	120120	43681	-	4096	false
34	shotgun	120120	78708	-	4096	false
35	shotgun	120120	66272	-	4096	false
36	shotgun	120120	49436	-	4096	false
37	shotgun	120120	103215	-	4096	false
38	shotgun	120120	26439	-	4096	false
39	shotgun	120120	15158	-	4096	false
40	shotgun	120120	38816	-	4096	false
41	shotgun	120120	59034	-	4096	true
42	shotgun	120120	101017	-	4096	false
43	shotgun	120120	71208	-	4096	false
44	shotgun	120120	20503	-	4096	false
45	shotgun	120120	70749	-	4096	false
46	shotgun	120120	63108	-	4096	false
47	shotgun	120120	99111	-	4096	false
48	shotgun	120120	102416	-	4096	false
49	shotgun	120120	34187	-	4096	false
50	shotgun	120120	545	-	4096	false
51	shotgun	120120	73515	-	4096	false
52	shotgun	120120	108091	-	4096	false
53	shotgun	120120	78713	-	4096	false
54	shotgun	120120	62530	-	4096	false
55	shotgun	120120	30415	-	4096	false
56	shotgun	120120	37900	-	4096	false
57	shotgun	120120	36642	-	4096	false
58	shotgun	120120	56377	-	4096	true
59	shotgun	120120	93935	-	4096	false
60	shotgun	120120	57300	-	4096	true
61	shotgun	120120	64870	-	4096	false
62	shotgun	120120	105868	-	4096	false
63	shotgun	120120	59212	-	4096	true
64	shotgun	120120	20121	-	4096	false
65	shotgun	120120	91572	-	4096	false
66	shotgun	120120	45848	-	4096	false
67	shotgun	120120	51982	-	4096	false
68	shotgun	120120	102804	-	4096	false
69	shotgun	120120	23734	-	4096	false
70	shotgun	120120	69429	-	4096	false
71	shotgun	120120	58797	-	4096	true
72	shotgun	120120	53182	-	4096	false
73	shotgun	120120	77377	-	4096	false
74	shotgun	120120	48982	-	4096	false
75	shotgun	120120	22759	-	4096	false
76	shotgun	120120	35858	-	4096	false
77	shotgun	120120	54322	-	4096	false
78	shotgun	120120	10709	-	4096	false
79	shotgun	120120	29415	-	4096	false
80	shotgun	120120	107610	-	4096	false
81	shotgun	120120	27914	-	4096	false
82	shotgun	120120	39908	-	4096	false
83	shotgun	120120	63681	-	4096	false
84	shotgun	120120	94431	-	4096	false
85	shotgun	120120	76968	-	4096	false
86	shotgun	120120	52610	-	4096	false
87	shotgun	120120	14607	-	4096	false
88	shotgun	120120	6268	-	4096	false
89	shotgun	120120	31673	-	4096	false
90	shotgun	120120	114381	-	4096	false
91	shotgun	120120	19309	-	4096	false
92	shotgun	120120	24151	-	4096	false
93	shotgun	120120	60135	-	4096	false
94	shotgun	120120	23784	-	4096	false
95	shotgun	120120	2053	-	4096	false
96	shotgun	120120	65346	-	4096	false
97	shotgun	120120	51828	-	4096	false
98	shotgun	120120	33888	-	4096	false
99	shotgun	120120	27672	-	4096	false
