# seed=42 mode=bolter file=sample.ptx filesize=40720
trial	mode	filesize	off	bit	span	detected
0	bolter	40720	33926	-	1	false
1	bolter	40720	649	-	1	false
2	bolter	40720	10635	-	1	false
3	bolter	40720	24355	-	1	false
4	bolter	40720	28957	-	1	false
5	bolter	40720	16626	-	1	false
6	bolter	40720	18620	-	1	false
7	bolter	40720	37591	-	1	false
8	bolter	40720	24504	-	1	false
9	bolter	40720	22613	-	1	false
10	bolter	40720	34585	-	1	false
11	bolter	40720	28305	-	1	false
12	bolter	40720	17228	-	1	false
13	bolter	40720	3574	-	1	false
14	bolter	40720	28753	-	1	false
15	bolter	40720	31435	-	1	false
16	bolter	40720	23818	-	1	false
17	bolter	40720	30004	-	1	false
18	bolter	40720	33171	-	1	false
19	bolter	40720	9428	-	1	false
20	bolter	40720	34536	-	1	false
21	bolter	40720	11015	-	1	false
22	bolter	40720	13840	-	1	false
23	bolter	40720	11387	-	1	false
24	bolter	40720	1203	-	1	false
25	bolter	40720	34097	-	1	false
26	bolter	40720	27850	-	1	false
27	bolter	40720	25563	-	1	false
28	bolter	40720	22484	-	1	false
29	bolter	40720	14488	-	1	false
30	bolter	40720	33776	-	1	false
31	bolter	40720	9195	-	1	false
32	bolter	40720	12630	-	1	false
33	bolter	40720	25238	-	1	false
34	bolter	40720	33125	-	1	false
35	bolter	40720	19816	-	1	false
36	bolter	40720	3258	-	1	false
37	bolter	40720	9359	-	1	false
38	bolter	40720	4582	-	1	false
39	bolter	40720	18998	-	1	false
40	bolter	40720	24850	-	1	false
41	bolter	40720	19547	-	1	false
42	bolter	40720	18335	-	1	false
43	bolter	40720	22236	-	1	false
44	bolter	40720	1774	-	1	false
45	bolter	40720	31322	-	1	false
46	bolter	40720	6090	-	1	false
47	bolter	40720	25968	-	1	false
48	bolter	40720	19241	-	1	false
49	bolter	40720	27301	-	1	false
50	bolter	40720	25446	-	1	false
51	bolter	40720	18488	-	1	false
52	bolter	40720	33314	-	1	false
53	bolter	40720	38085	-	1	false
54	bolter	40720	36402	-	1	false
55	bolter	40720	20884	-	1	false
56	bolter	40720	32591	-	1	false
57	bolter	40720	16924	-	1	false
58	bolter	40720	40303	-	1	false
59	bolter	40720	28631	-	1	false
60	bolter	40720	15432	-	1	false
61	bolter	40720	30361	-	1	false
62	bolter	40720	26561	-	1	false
63	bolter	40720	17243	-	1	false
64	bolter	40720	33872	-	1	false
65	bolter	40720	23712	-	1	false
66	bolter	40720	27403	-	1	false
67	bolter	40720	25440	-	1	false
68	bolter	40720	3802	-	1	false
69	bolter	40720	4252	-	1	false
70	bolter	40720	37311	-	1	false
71	bolter	40720	39535	-	1	false
72	bolter	40720	39876	-	1	false
73	bolter	40720	2134	-	1	false
74	bolter	40720	26612	-	1	false
75	bolter	40720	13157	-	1	false
76	bolter	40720	13003	-	1	false
77	bolter	40720	6630	-	1	false
78	bolter	40720	23360	-	1	false
79	bolter	40720	37824	-	1	false
80	bolter	40720	9979	-	1	false
81	bolter	40720	13455	-	1	false
82	bolter	40720	28862	-	1	false
83	bolter	40720	20543	-	1	false
84	bolter	40720	33233	-	1	false
85	bolter	40720	3606	-	1	false
86	bolter	40720	22573	-	1	false
87	bolter	40720	12600	-	1	false
88	bolter	40720	36418	-	1	false
89	bolter	40720	27928	-	1	false
90	bolter	40720	10814	-	1	false
91	bolter	40720	15702	-	1	false
92	bolter	40720	34521	-	1	false
93	bolter	40720	9763	-	1	false
94	bolter	40720	27217	-	1	false
95	bolter	40720	27805	-	1	false
96	bolter	40720	10455	-	1	false
97	bolter	40720	20394	-	1	false
98	bolter	40720	22781	-	1	false
99	bolter	40720	10450	-	1	false
