# seed=42 mode=shotgun file=B18_Managing_Company_Files.qbw filesize=15114240
trial	mode	filesize	off	bit	span	detected
0	shotgun	15114240	7076606	-	4096	true
1	shotgun	15114240	14197984	-	4096	true
2	shotgun	15114240	2834799	-	4096	true
3	shotgun	15114240	845801	-	4096	true
4	shotgun	15114240	1356945	-	4096	true
5	shotgun	15114240	2940784	-	4096	true
6	shotgun	15114240	14907507	-	4096	true
7	shotgun	15114240	12614290	-	4096	true
8	shotgun	15114240	10618841	-	4096	true
9	shotgun	15114240	9900902	-	4096	true
10	shotgun	15114240	5238638	-	4096	true
11	shotgun	15114240	5712235	-	4096	true
12	shotgun	15114240	6035524	-	4096	true
13	shotgun	15114240	11949529	-	4096	true
14	shotgun	15114240	1929588	-	4096	true
15	shotgun	15114240	10926172	-	4096	true
16	shotgun	15114240	13045021	-	4096	true
17	shotgun	15114240	8180118	-	4096	true
18	shotgun	15114240	9933846	-	4096	true
19	shotgun	15114240	555047	-	4096	true
20	shotgun	15114240	10512568	-	4096	true
21	shotgun	15114240	3720662	-	4096	true
22	shotgun	15114240	1664130	-	4096	true
23	shotgun	15114240	12326712	-	4096	true
24	shotgun	15114240	11098946	-	4096	true
25	shotgun	15114240	10234816	-	4096	true
26	shotgun	15114240	8888831	-	4096	true
27	shotgun	15114240	13812268	-	4096	true
28	shotgun	15114240	500796	-	4096	true
29	shotgun	15114240	2118701	-	4096	true
30	shotgun	15114240	6163259	-	4096	true
31	shotgun	15114240	6094776	-	4096	true
32	shotgun	15114240	9170668	-	4096	true
33	shotgun	15114240	5503471	-	4096	true
34	shotgun	15114240	5947248	-	4096	true
35	shotgun	15114240	1770122	-	4096	true
36	shotgun	15114240	7328081	-	4096	true
37	shotgun	15114240	4248270	-	4096	true
38	shotgun	15114240	14144589	-	4096	true
39	shotgun	15114240	4122023	-	4096	true
40	shotgun	15114240	12799736	-	4096	true
41	shotgun	15114240	8638374	-	4096	true
42	shotgun	15114240	5650852	-	4096	true
43	shotgun	15114240	8181123	-	4096	true
44	shotgun	15114240	14100838	-	4096	true
45	shotgun	15114240	9546069	-	4096	true
46	shotgun	15114240	4974078	-	4096	true
47	shotgun	15114240	4685406	-	4096	true
48	shotgun	15114240	2219966	-	4096	true
49	shotgun	15114240	7043612	-	4096	true
50	shotgun	15114240	6675020	-	4096	true
51	shotgun	15114240	4247940	-	4096	true
52	shotgun	15114240	4615261	-	4096	true
53	shotgun	15114240	10071278	-	4096	true
54	shotgun	15114240	4268260	-	4096	true
55	shotgun	15114240	7598020	-	4096	true
56	shotgun	15114240	3757960	-	4096	true
57	shotgun	15114240	9710502	-	4096	true
58	shotgun	15114240	14831302	-	4096	true
59	shotgun	15114240	326630	-	4096	true
60	shotgun	15114240	3886500	-	4096	true
61	shotgun	15114240	12833320	-	4096	true
62	shotgun	15114240	3800218	-	4096	true
63	shotgun	15114240	7946167	-	4096	true
64	shotgun	15114240	6675501	-	4096	true
65	shotgun	15114240	15109197	-	4096	true
66	shotgun	15114240	8133548	-	4096	true
67	shotgun	15114240	5539582	-	4096	true
68	shotgun	15114240	11941119	-	4096	true
69	shotgun	15114240	12471004	-	4096	true
70	shotgun	15114240	14049714	-	4096	true
71	shotgun	15114240	10049532	-	4096	true
72	shotgun	15114240	4166287	-	4096	true
73	shotgun	15114240	12510877	-	4096	true
74	shotgun	15114240	7087132	-	4096	true
75	shotgun	15114240	5781244	-	4096	true
76	shotgun	15114240	10966358	-	4096	true
77	shotgun	15114240	2167192	-	4096	true
78	shotgun	15114240	12285959	-	4096	true
79	shotgun	15114240	1651020	-	4096	true
80	shotgun	15114240	3121140	-	4096	true
81	shotgun	15114240	14382254	-	4096	true
82	shotgun	15114240	5358338	-	4096	true
83	shotgun	15114240	2658186	-	4096	true
84	shotgun	15114240	732756	-	4096	true
85	shotgun	15114240	5097348	-	4096	true
86	shotgun	15114240	1892765	-	4096	true
87	shotgun	15114240	14555277	-	4096	true
88	shotgun	15114240	13834543	-	4096	true
89	shotgun	15114240	9444758	-	4096	true
90	shotgun	15114240	11287206	-	4096	true
91	shotgun	15114240	9826459	-	4096	true
92	shotgun	15114240	10074271	-	4096	true
93	shotgun	15114240	12629025	-	4096	true
94	shotgun	15114240	11637579	-	4096	true
95	shotgun	15114240	9818833	-	4096	true
96	shotgun	15114240	8310381	-	4096	true
97	shotgun	15114240	8816313	-	4096	true
98	shotgun	15114240	13669863	-	4096	true
99	shotgun	15114240	6638352	-	4096	true
