# seed=42 mode=sniper file=B18_Managing_Company_Files.qbw filesize=15114240
trial	mode	filesize	off	bit	span	detected
0	sniper	15114240	6192086	1	1	true
1	sniper	15114240	5132955	3	1	true
2	sniper	15114240	10837677	2	1	true
3	sniper	15114240	3010860	7	1	true
4	sniper	15114240	6752264	5	1	true
5	sniper	15114240	7765465	1	1	true
6	sniper	15114240	781788	6	1	true
7	sniper	15114240	2373713	3	1	true
8	sniper	15114240	11963098	4	1	true
9	sniper	15114240	10983971	4	1	true
10	sniper	15114240	11172936	7	1	true
11	sniper	15114240	3303120	3	1	true
12	sniper	15114240	5229443	1	1	true
13	sniper	15114240	4299690	3	1	true
14	sniper	15114240	11151124	0	1	true
15	sniper	15114240	10838256	3	1	true
16	sniper	15114240	555190	6	1	true
17	sniper	15114240	7693045	0	1	true
18	sniper	15114240	14403738	7	1	true
19	sniper	15114240	1013462	6	1	true
20	sniper	15114240	766370	3	1	true
21	sniper	15114240	10790895	4	1	true
22	sniper	15114240	11997934	2	1	true
23	sniper	15114240	6737210	0	1	true
24	sniper	15114240	14335641	5	1	true
25	sniper	15114240	11759766	0	1	true
26	sniper	15114240	9690914	5	1	true
27	sniper	15114240	9636322	4	1	true
28	sniper	15114240	5739471	4	1	true
29	sniper	15114240	1144303	7	1	true
30	sniper	15114240	9492552	1	1	true
31	sniper	15114240	9259121	3	1	true
32	sniper	15114240	1286272	0	1	true
33	sniper	15114240	13023643	0	1	true
34	sniper	15114240	3122602	4	1	true
35	sniper	15114240	10539551	7	1	true
36	sniper	15114240	8814996	6	1	true
37	sniper	15114240	10723412	5	1	true
38	sniper	15114240	9933563	6	1	true
39	sniper	15114240	14685120	0	1	true
40	sniper	15114240	12537339	7	1	true
41	sniper	15114240	2949182	7	1	true
42	sniper	15114240	10847953	6	1	true
43	sniper	15114240	1497693	0	1	true
44	sniper	15114240	13148978	0	1	true
45	sniper	15114240	9449054	6	1	true
46	sniper	15114240	10314441	3	1	true
47	sniper	15114240	14515377	5	1	true
48	sniper	15114240	4744295	2	1	true
49	sniper	15114240	7735661	2	1	true
50	sniper	15114240	5808217	2	1	true
51	sniper	15114240	9806933	3	1	true
52	sniper	15114240	10800824	7	1	true
53	sniper	15114240	10152454	2	1	true
54	sniper	15114240	4029700	6	1	true
55	sniper	15114240	13969695	7	1	true
56	sniper	15114240	2944571	6	1	true
57	sniper	15114240	6162733	6	1	true
58	sniper	15114240	9919735	1	1	true
59	sniper	15114240	10724019	2	1	true
60	sniper	15114240	13327657	4	1	true
61	sniper	15114240	13306734	2	1	true
62	sniper	15114240	12543092	5	1	true
63	sniper	15114240	2000398	7	1	true
64	sniper	15114240	5992346	0	1	true
65	sniper	15114240	4537668	0	1	true
66	sniper	15114240	2001777	3	1	true
67	sniper	15114240	1244338	7	1	true
68	sniper	15114240	3289310	1	1	true
69	sniper	15114240	8006715	3	1	true
70	sniper	15114240	3120859	2	1	true
71	sniper	15114240	4968029	6	1	true
72	sniper	15114240	3801965	2	1	true
73	sniper	15114240	10447877	4	1	true
74	sniper	15114240	7048765	2	1	true
75	sniper	15114240	8702101	2	1	true
76	sniper	15114240	6774416	0	1	true
77	sniper	15114240	14158621	4	1	true
78	sniper	15114240	8812251	2	1	true
79	sniper	15114240	11108034	4	1	true
80	sniper	15114240	11278571	2	1	true
81	sniper	15114240	9364461	3	1	true
82	sniper	15114240	9242661	0	1	true
83	sniper	15114240	12169629	2	1	true
84	sniper	15114240	11306112	2	1	true
85	sniper	15114240	7991071	3	1	true
86	sniper	15114240	15058139	6	1	true
87	sniper	15114240	1614278	6	1	true
88	sniper	15114240	4032870	0	1	true
89	sniper	15114240	337822	5	1	true
90	sniper	15114240	10747748	6	1	true
91	sniper	15114240	2419817	4	1	true
92	sniper	15114240	4253449	2	1	true
93	sniper	15114240	6186521	3	1	true
94	sniper	15114240	529593	4	1	true
95	sniper	15114240	6426641	7	1	true
96	sniper	15114240	14357793	6	1	true
97	sniper	15114240	467253	2	1	true
98	sniper	15114240	9169155	0	1	true
99	sniper	15114240	12722266	7	1	true
