# seed=42 mode=shotgun file=LONDON_2018.QDF filesize=5111808
trial	mode	filesize	off	bit	span	detected
0	shotgun	5111808	1931606	-	4096	false
1	shotgun	5111808	4191409	-	4096	false
2	shotgun	5111808	3661917	-	4096	false
3	shotgun	5111808	1025651	-	4096	false
4	shotgun	5111808	4760706	-	4096	false
5	shotgun	5111808	781843	-	4096	false
6	shotgun	5111808	3414117	-	4096	false
7	shotgun	5111808	2369863	-	4096	false
8	shotgun	5111808	4212449	-	4096	false
9	shotgun	5111808	1376999	-	4096	false
10	shotgun	5111808	2858417	-	4096	false
11	shotgun	5111808	1009795	-	4096	false
12	shotgun	5111808	4085434	-	4096	false
13	shotgun	5111808	656704	-	4096	false
14	shotgun	5111808	204921	-	4096	false
15	shotgun	5111808	919597	-	4096	false
16	shotgun	5111808	1977619	-	4096	false
17	shotgun	5111808	508191	-	4096	false
18	shotgun	5111808	3322746	-	4096	false
19	shotgun	5111808	509474	-	4096	false
20	shotgun	5111808	481135	-	4096	false
21	shotgun	5111808	3286388	-	4096	false
22	shotgun	5111808	590874	-	4096	false
23	shotgun	5111808	4859493	-	4096	false
24	shotgun	5111808	658097	-	4096	false
25	shotgun	5111808	4475692	-	4096	false
26	shotgun	5111808	2077166	-	4096	false
27	shotgun	5111808	3342418	-	4096	false
28	shotgun	5111808	246372	-	4096	false
29	shotgun	5111808	3355235	-	4096	false
30	shotgun	5111808	2742926	-	4096	false
31	shotgun	5111808	4173687	-	4096	false
32	shotgun	5111808	847330	-	4096	false
33	shotgun	5111808	366757	-	4096	false
34	shotgun	5111808	2723337	-	4096	false
35	shotgun	5111808	3858632	-	4096	false
36	shotgun	5111808	4542587	-	4096	false
37	shotgun	5111808	4428120	-	4096	false
38	shotgun	5111808	1799223	-	4096	false
39	shotgun	5111808	918827	-	4096	false
40	shotgun	5111808	3407285	-	4096	false
41	shotgun	5111808	1154583	-	4096	false
42	shotgun	5111808	2443513	-	4096	false
43	shotgun	5111808	1979439	-	4096	false
44	shotgun	5111808	2590876	-	4096	false
45	shotgun	5111808	3131391	-	4096	false
46	shotgun	5111808	1733595	-	4096	false
47	shotgun	5111808	2117049	-	4096	false
48	shotgun	5111808	720722	-	4096	false
49	shotgun	5111808	612362	-	4096	false
50	shotgun	5111808	2590847	-	4096	false
51	shotgun	5111808	4444362	-	4096	false
52	shotgun	5111808	4176844	-	4096	false
53	shotgun	5111808	3456035	-	4096	false
54	shotgun	5111808	1253200	-	4096	false
55	shotgun	5111808	560932	-	4096	false
56	shotgun	5111808	4355512	-	4096	false
57	shotgun	5111808	3111831	-	4096	false
58	shotgun	5111808	552418	-	4096	false
59	shotgun	5111808	953183	-	4096	false
60	shotgun	5111808	2997237	-	4096	false
61	shotgun	5111808	446524	-	4096	false
62	shotgun	5111808	2735248	-	4096	false
63	shotgun	5111808	1519060	-	4096	false
64	shotgun	5111808	899805	-	4096	false
65	shotgun	5111808	3373812	-	4096	false
66	shotgun	5111808	4917923	-	4096	false
67	shotgun	5111808	2758231	-	4096	false
68	shotgun	5111808	2782377	-	4096	false
69	shotgun	5111808	297202	-	4096	false
70	shotgun	5111808	3801144	-	4096	false
71	shotgun	5111808	4257264	-	4096	false
72	shotgun	5111808	1823353	-	4096	false
73	shotgun	5111808	2471158	-	4096	false
74	shotgun	5111808	45901	-	4096	false
75	shotgun	5111808	1901779	-	4096	false
76	shotgun	5111808	4752245	-	4096	false
77	shotgun	5111808	2576608	-	4096	false
78	shotgun	5111808	1398407	-	4096	false
79	shotgun	5111808	331626	-	4096	false
80	shotgun	5111808	2691009	-	4096	false
81	shotgun	5111808	2204309	-	4096	false
82	shotgun	5111808	2777552	-	4096	false
83	shotgun	5111808	1990203	-	4096	false
84	shotgun	5111808	2841981	-	4096	false
85	shotgun	5111808	1885866	-	4096	false
86	shotgun	5111808	4223270	-	4096	false
87	shotgun	5111808	1988631	-	4096	false
88	shotgun	5111808	3598402	-	4096	false
89	shotgun	5111808	3456068	-	4096	false
90	shotgun	5111808	3398142	-	4096	false
91	shotgun	5111808	634573	-	4096	false
92	shotgun	5111808	4941700	-	4096	false
93	shotgun	5111808	688932	-	4096	false
94	shotgun	5111808	4592205	-	4096	false
95	shotgun	5111808	3433156	-	4096	false
96	shotgun	5111808	3800220	-	4096	false
97	shotgun	5111808	2393349	-	4096	false
98	shotgun	5111808	4477977	-	4096	false
99	shotgun	5111808	211245	-	4096	false
