# seed=42 mode=sniper file=sample.qif filesize=218
trial	mode	filesize	off	bit	span	detected
0	sniper	218	68	1	1	false
1	sniper	218	95	3	1	false
2	sniper	218	93	2	1	false
3	sniper	218	64	7	1	false
4	sniper	218	184	5	1	false
5	sniper	218	1	1	1	true
6	sniper	218	178	6	1	false
7	sniper	218	29	3	1	false
8	sniper	218	98	4	1	false
9	sniper	218	21	4	1	false
10	sniper	218	210	7	1	false
11	sniper	218	86	3	1	false
12	sniper	218	11	1	1	false
13	sniper	218	198	3	1	false
14	sniper	218	52	0	1	false
15	sniper	218	120	3	1	false
16	sniper	218	94	6	1	false
17	sniper	218	133	0	1	false
18	sniper	218	160	7	1	false
19	sniper	218	118	6	1	false
20	sniper	218	78	3	1	false
21	sniper	218	171	4	1	false
22	sniper	218	88	2	1	false
23	sniper	218	212	0	1	false
24	sniper	218	69	5	1	false
25	sniper	218	64	0	1	false
26	sniper	218	32	5	1	false
27	sniper	218	130	4	1	false
28	sniper	218	199	4	1	false
29	sniper	218	111	7	1	false
30	sniper	218	174	1	1	false
31	sniper	218	211	3	1	false
32	sniper	218	98	0	1	false
33	sniper	218	139	0	1	false
34	sniper	218	134	4	1	false
35	sniper	218	37	7	1	false
36	sniper	218	16	6	1	false
37	sniper	218	8	5	1	false
38	sniper	218	45	6	1	false
39	sniper	218	132	0	1	false
40	sniper	218	59	7	1	false
41	sniper	218	216	7	1	false
42	sniper	218	173	6	1	false
43	sniper	218	77	0	1	false
44	sniper	218	120	0	1	false
45	sniper	218	174	6	1	false
46	sniper	218	159	3	1	false
47	sniper	218	25	5	1	false
48	sniper	218	91	2	1	false
49	sniper	218	131	2	1	false
50	sniper	218	133	2	1	false
51	sniper	218	81	3	1	false
52	sniper	218	98	7	1	false
53	sniper	218	18	2	1	false
54	sniper	218	144	6	1	false
55	sniper	218	17	7	1	false
56	sniper	218	141	6	1	false
57	sniper	218	211	6	1	false
58	sniper	218	139	1	1	false
59	sniper	218	187	2	1	false
60	sniper	218	197	4	1	false
61	sniper	218	62	2	1	false
62	sniper	218	0	5	1	true
63	sniper	218	40	7	1	false
64	sniper	218	34	0	1	false
65	sniper	218	184	0	1	false
66	sniper	218	47	3	1	false
67	sniper	218	212	7	1	false
68	sniper	218	130	1	1	false
69	sniper	218	55	3	1	false
70	sniper	218	23	2	1	false
71	sniper	218	37	6	1	false
72	sniper	218	5	2	1	true
73	sniper	218	113	4	1	false
74	sniper	218	87	2	1	false
75	sniper	218	177	2	1	false
76	sniper	218	186	0	1	false
77	sniper	218	211	4	1	false
78	sniper	218	131	2	1	false
79	sniper	218	72	4	1	false
80	sniper	218	93	2	1	false
81	sniper	218	163	3	1	false
82	sniper	218	129	0	1	false
83	sniper	218	165	2	1	false
84	sniper	218	184	2	1	false
85	sniper	218	137	3	1	false
86	sniper	218	25	6	1	false
87	sniper	218	26	6	1	false
88	sniper	218	204	0	1	false
89	sniper	218	142	5	1	false
90	sniper	218	140	6	1	false
91	sniper	218	7	4	1	false
92	sniper	218	211	2	1	false
93	sniper	218	157	3	1	false
94	sniper	218	103	4	1	false
95	sniper	218	71	7	1	false
96	sniper	218	179	6	1	false
97	sniper	218	147	2	1	false
98	sniper	218	125	0	1	false
99	sniper	218	66	7	1	false
