# seed=42 mode=bolter file=DSCF0652_fuji_GFX_100.RAF filesize=208071296
trial	mode	filesize	off	bit	span	detected
0	bolter	208071296	149798486	-	1	false
1	bolter	208071296	131100841	-	1	false
2	bolter	208071296	51999771	-	1	false
3	bolter	208071296	102678275	-	1	false
4	bolter	208071296	168556333	-	1	false
5	bolter	208071296	92758578	-	1	false
6	bolter	208071296	89688364	-	1	false
7	bolter	208071296	52049239	-	1	false
8	bolter	208071296	189647240	-	1	false
9	bolter	208071296	118024373	-	1	false
10	bolter	208071296	132729561	-	1	false
11	bolter	208071296	66505857	-	1	false
12	bolter	208071296	106581468	-	1	false
13	bolter	208071296	13273494	-	1	false
14	bolter	208071296	96107345	-	1	false
15	bolter	208071296	43202539	-	1	false
16	bolter	208071296	106698714	-	1	false
17	bolter	208071296	112074436	-	1	false
18	bolter	208071296	33154339	-	1	false
19	bolter	208071296	123468868	-	1	false
20	bolter	208071296	134612936	-	1	false
21	bolter	208071296	104184983	-	1	false
22	bolter	208071296	170081872	-	1	false
23	bolter	208071296	90112043	-	1	false
24	bolter	208071296	173010179	-	1	false
25	bolter	208071296	44480929	-	1	false
26	bolter	208071296	166026282	-	1	false
27	bolter	208071296	132778267	-	1	false
28	bolter	208071296	152231444	-	1	false
29	bolter	208071296	37215560	-	1	false
30	bolter	208071296	161500784	-	1	false
31	bolter	208071296	98354699	-	1	false
32	bolter	208071296	190506294	-	1	false
33	bolter	208071296	129056614	-	1	false
34	bolter	208071296	56083957	-	1	false
35	bolter	208071296	203567592	-	1	false
36	bolter	208071296	125255578	-	1	false
37	bolter	208071296	111937135	-	1	false
38	bolter	208071296	106813142	-	1	false
39	bolter	208071296	47611574	-	1	false
40	bolter	208071296	75857698	-	1	false
41	bolter	208071296	90741307	-	1	false
42	bolter	208071296	14318959	-	1	false
43	bolter	208071296	207757468	-	1	false
44	bolter	208071296	132911854	-	1	false
45	bolter	208071296	28377946	-	1	false
46	bolter	208071296	128173242	-	1	false
47	bolter	208071296	33039584	-	1	false
48	bolter	208071296	127713561	-	1	false
49	bolter	208071296	194071509	-	1	false
50	bolter	208071296	77268886	-	1	false
51	bolter	208071296	177692056	-	1	false
52	bolter	208071296	75200034	-	1	false
53	bolter	208071296	104775429	-	1	false
54	bolter	208071296	46920930	-	1	false
55	bolter	208071296	91354644	-	1	false
56	bolter	208071296	2733519	-	1	false
57	bolter	208071296	126448924	-	1	false
58	bolter	208071296	49535215	-	1	false
59	bolter	208071296	140584967	-	1	false
60	bolter	208071296	166689096	-	1	false
61	bolter	208071296	3466649	-	1	false
62	bolter	208071296	186099953	-	1	false
63	bolter	208071296	11466267	-	1	false
64	bolter	208071296	99549952	-	1	false
65	bolter	208071296	137078128	-	1	false
66	bolter	208071296	178800411	-	1	false
67	bolter	208071296	40239792	-	1	false
68	bolter	208071296	16232874	-	1	false
69	bolter	208071296	110816780	-	1	false
70	bolter	208071296	152621855	-	1	false
71	bolter	208071296	133167823	-	1	false
72	bolter	208071296	183651860	-	1	false
73	bolter	208071296	53098614	-	1	false
74	bolter	208071296	111513172	-	1	false
75	bolter	208071296	80203045	-	1	false
76	bolter	208071296	179718267	-	1	false
77	bolter	208071296	116128566	-	1	false
78	bolter	208071296	153761472	-	1	false
79	bolter	208071296	16000064	-	1	false
80	bolter	208071296	123389179	-	1	false
81	bolter	208071296	99960447	-	1	false
82	bolter	208071296	91630654	-	1	false
83	bolter	208071296	8837375	-	1	false
84	bolter	208071296	104581585	-	1	false
85	bolter	208071296	63906694	-	1	false
86	bolter	208071296	164748381	-	1	false
87	bolter	208071296	124203800	-	1	false
88	bolter	208071296	162287410	-	1	false
89	bolter	208071296	112607224	-	1	false
90	bolter	208071296	156583518	-	1	false
91	bolter	208071296	28314902	-	1	false
92	bolter	208071296	195213385	-	1	false
93	bolter	208071296	49798819	-	1	false
94	bolter	208071296	41737905	-	1	false
95	bolter	208071296	187429149	-	1	false
96	bolter	208071296	8794471	-	1	false
97	bolter	208071296	93407162	-	1	false
98	bolter	208071296	116583533	-	1	false
99	bolter	208071296	95983890	-	1	false
