# seed=42 mode=shotgun file=DSCF0652_fuji_GFX_100.RAF filesize=208071296
trial	mode	filesize	off	bit	span	detected
0	shotgun	208071296	149859911	-	4096	false
1	shotgun	208071296	153664118	-	4096	false
2	shotgun	208071296	37583089	-	4096	false
3	shotgun	208071296	182009883	-	4096	false
4	shotgun	208071296	122238105	-	4096	false
5	shotgun	208071296	195740182	-	4096	false
6	shotgun	208071296	105568377	-	4096	false
7	shotgun	208071296	54312238	-	4096	false
8	shotgun	208071296	41892302	-	4096	false
9	shotgun	208071296	144681378	-	4096	false
10	shotgun	208071296	106166337	-	4096	false
11	shotgun	208071296	124171737	-	4096	false
12	shotgun	208071296	130233855	-	4096	false
13	shotgun	208071296	135094689	-	4096	false
14	shotgun	208071296	63423339	-	4096	false
15	shotgun	208071296	150392306	-	4096	false
16	shotgun	208071296	73485601	-	4096	false
17	shotgun	208071296	82520014	-	4096	false
18	shotgun	208071296	163299296	-	4096	false
19	shotgun	208071296	36356508	-	4096	false
20	shotgun	208071296	37100371	-	4096	false
21	shotgun	208071296	135026309	-	4096	false
22	shotgun	208071296	178300212	-	4096	false
23	shotgun	208071296	172641820	-	4096	false
24	shotgun	208071296	73803526	-	4096	false
25	shotgun	208071296	103159686	-	4096	false
26	shotgun	208071296	129769991	-	4096	false
27	shotgun	208071296	118214796	-	4096	false
28	shotgun	208071296	104903324	-	4096	false
29	shotgun	208071296	750214	-	4096	true
30	shotgun	208071296	87452813	-	4096	false
31	shotgun	208071296	88595159	-	4096	false
32	shotgun	208071296	176435434	-	4096	false
33	shotgun	208071296	47201419	-	4096	false
34	shotgun	208071296	66230170	-	4096	false
35	shotgun	208071296	148028256	-	4096	false
36	shotgun	208071296	197863479	-	4096	false
37	shotgun	208071296	185412352	-	4096	false
38	shotgun	208071296	165246039	-	4096	false
39	shotgun	208071296	123792354	-	4096	false
40	shotgun	208071296	202124305	-	4096	false
41	shotgun	208071296	163056995	-	4096	false
42	shotgun	208071296	71830261	-	4096	false
43	shotgun	208071296	125429796	-	4096	false
44	shotgun	208071296	98865221	-	4096	false
45	shotgun	208071296	141904887	-	4096	false
46	shotgun	208071296	59360513	-	4096	false
47	shotgun	208071296	25534380	-	4096	false
48	shotgun	208071296	1009137	-	4096	false
49	shotgun	208071296	133505943	-	4096	false
50	shotgun	208071296	20416678	-	4096	false
51	shotgun	208071296	191308509	-	4096	false
52	shotgun	208071296	82429986	-	4096	false
53	shotgun	208071296	109945806	-	4096	false
54	shotgun	208071296	204017316	-	4096	false
55	shotgun	208071296	191183760	-	4096	false
56	shotgun	208071296	47719908	-	4096	false
57	shotgun	208071296	115481517	-	4096	false
58	shotgun	208071296	87960369	-	4096	false
59	shotgun	208071296	2590630	-	4096	false
60	shotgun	208071296	207110385	-	4096	false
61	shotgun	208071296	45159952	-	4096	false
62	shotgun	208071296	79350943	-	4096	false
63	shotgun	208071296	187899420	-	4096	false
64	shotgun	208071296	93703884	-	4096	false
65	shotgun	208071296	162578160	-	4096	false
66	shotgun	208071296	175398314	-	4096	false
67	shotgun	208071296	41498701	-	4096	false
68	shotgun	208071296	37475751	-	4096	false
69	shotgun	208071296	29687491	-	4096	false
70	shotgun	208071296	2256740	-	4096	false
71	shotgun	208071296	91181428	-	4096	false
72	shotgun	208071296	170377882	-	4096	false
73	shotgun	208071296	140184037	-	4096	false
74	shotgun	208071296	137181950	-	4096	false
75	shotgun	208071296	105498114	-	4096	false
76	shotgun	208071296	175809466	-	4096	false
77	shotgun	208071296	174117616	-	4096	false
78	shotgun	208071296	45823420	-	4096	false
79	shotgun	208071296	181604273	-	4096	false
80	shotgun	208071296	187917709	-	4096	false
81	shotgun	208071296	186175020	-	4096	false
82	shotgun	208071296	73801747	-	4096	false
83	shotgun	208071296	89686569	-	4096	false
84	shotgun	208071296	206378299	-	4096	false
85	shotgun	208071296	17785835	-	4096	false
86	shotgun	208071296	91342806	-	4096	false
87	shotgun	208071296	73785028	-	4096	false
88	shotgun	208071296	162514335	-	4096	false
89	shotgun	208071296	111583286	-	4096	false
90	shotgun	208071296	47246325	-	4096	false
91	shotgun	208071296	23568117	-	4096	false
92	shotgun	208071296	105263141	-	4096	false
93	shotgun	208071296	74122776	-	4096	false
94	shotgun	208071296	88241475	-	4096	false
95	shotgun	208071296	100479703	-	4096	false
96	shotgun	208071296	52272329	-	4096	false
97	shotgun	208071296	34193287	-	4096	false
98	shotgun	208071296	27411521	-	4096	false
99	shotgun	208071296	186591605	-	4096	false
