# seed=42 mode=bolter file=corpus_xorshift.rar filesize=16712
trial	mode	filesize	off	bit	span	detected
0	bolter	16712	11998	-	1	true
1	bolter	16712	233	-	1	true
2	bolter	16712	3955	-	1	true
3	bolter	16712	803	-	1	true
4	bolter	16712	13141	-	1	true
5	bolter	16712	12010	-	1	true
6	bolter	16712	5124	-	1	true
7	bolter	16712	8319	-	1	true
8	bolter	16712	11392	-	1	true
9	bolter	16712	8453	-	1	true
10	bolter	16712	15841	-	1	true
11	bolter	16712	13841	-	1	true
12	bolter	16712	9044	-	1	true
13	bolter	16712	8390	-	1	true
14	bolter	16712	3777	-	1	true
15	bolter	16712	8915	-	1	true
16	bolter	16712	5578	-	1	true
17	bolter	16712	7740	-	1	true
18	bolter	16712	11523	-	1	true
19	bolter	16712	3780	-	1	true
20	bolter	16712	15544	-	1	true
21	bolter	16712	2623	-	1	true
22	bolter	16712	9936	-	1	true
23	bolter	16712	14979	-	1	true
24	bolter	16712	2771	-	1	true
25	bolter	16712	16385	-	1	true
26	bolter	16712	13250	-	1	true
27	bolter	16712	10435	-	1	true
28	bolter	16712	3948	-	1	true
29	bolter	16712	1912	-	1	true
30	bolter	16712	12976	-	1	true
31	bolter	16712	12531	-	1	true
32	bolter	16712	15214	-	1	true
33	bolter	16712	1766	-	1	true
34	bolter	16712	5629	-	1	true
35	bolter	16712	11704	-	1	true
36	bolter	16712	1250	-	1	true
37	bolter	16712	13143	-	1	true
38	bolter	16712	6750	-	1	true
39	bolter	16712	9958	-	1	true
40	bolter	16712	2178	-	1	true
41	bolter	16712	13971	-	1	true
42	bolter	16712	3671	-	1	true
43	bolter	16712	15628	-	1	true
44	bolter	16712	1318	-	1	true
45	bolter	16712	9978	-	1	true
46	bolter	16712	15002	-	1	true
47	bolter	16712	11888	-	1	true
48	bolter	16712	3625	-	1	true
49	bolter	16712	10957	-	1	true
50	bolter	16712	11422	-	1	true
51	bolter	16712	10320	-	1	true
52	bolter	16712	14858	-	1	true
53	bolter	16712	197	-	1	true
54	bolter	16712	7426	-	1	true
55	bolter	16712	7908	-	1	true
56	bolter	16712	8655	-	1	true
57	bolter	16712	9100	-	1	true
58	bolter	16712	7991	-	1	true
59	bolter	16712	14495	-	1	true
60	bolter	16712	11560	-	1	true
61	bolter	16712	4345	-	1	true
62	bolter	16712	15809	-	1	true
63	bolter	16712	9787	-	1	true
64	bolter	16712	16448	-	1	true
65	bolter	16712	464	-	1	true
66	bolter	16712	15683	-	1	true
67	bolter	16712	1272	-	1	true
68	bolter	16712	10554	-	1	true
69	bolter	16712	15412	-	1	true
70	bolter	16712	15823	-	1	true
71	bolter	16712	4743	-	1	true
72	bolter	16712	12700	-	1	true
73	bolter	16712	6702	-	1	true
74	bolter	16712	14932	-	1	true
75	bolter	16712	2405	-	1	true
76	bolter	16712	4315	-	1	true
77	bolter	16712	9862	-	1	true
78	bolter	16712	1504	-	1	true
79	bolter	16712	6680	-	1	true
80	bolter	16712	6595	-	1	true
81	bolter	16712	13119	-	1	true
82	bolter	16712	3790	-	1	true
83	bolter	16712	2815	-	1	true
84	bolter	16712	5033	-	1	true
85	bolter	16712	15910	-	1	true
86	bolter	16712	677	-	1	true
87	bolter	16712	4440	-	1	true
88	bolter	16712	2210	-	1	true
89	bolter	16712	14752	-	1	true
90	bolter	16712	2142	-	1	true
91	bolter	16712	5830	-	1	true
92	bolter	16712	7409	-	1	true
93	bolter	16712	10043	-	1	true
94	bolter	16712	7233	-	1	true
95	bolter	16712	10965	-	1	true
96	bolter	16712	231	-	1	true
97	bolter	16712	874	-	1	true
98	bolter	16712	7765	-	1	true
99	bolter	16712	10042	-	1	true
