# seed=42 mode=shotgun file=corpus_xorshift.rar filesize=16712
trial	mode	filesize	off	bit	span	detected
0	shotgun	16712	11612	-	4096	true
1	shotgun	16712	1929	-	4096	true
2	shotgun	16712	12203	-	4096	true
3	shotgun	16712	343	-	4096	true
4	shotgun	16712	4609	-	4096	true
5	shotgun	16712	3092	-	4096	true
6	shotgun	16712	1938	-	4096	true
7	shotgun	16712	11718	-	4096	true
8	shotgun	16712	6148	-	4096	true
9	shotgun	16712	3255	-	4096	true
10	shotgun	16712	10963	-	4096	true
11	shotgun	16712	9872	-	4096	true
12	shotgun	16712	4737	-	4096	true
13	shotgun	16712	5740	-	4096	true
14	shotgun	16712	12583	-	4096	true
15	shotgun	16712	10537	-	4096	true
16	shotgun	16712	4193	-	4096	true
17	shotgun	16712	5850	-	4096	true
18	shotgun	16712	11352	-	4096	true
19	shotgun	16712	11757	-	4096	true
20	shotgun	16712	9439	-	4096	true
21	shotgun	16712	12554	-	4096	true
22	shotgun	16712	10147	-	4096	true
23	shotgun	16712	5187	-	4096	true
24	shotgun	16712	7963	-	4096	true
25	shotgun	16712	4364	-	4096	true
26	shotgun	16712	4146	-	4096	true
27	shotgun	16712	10441	-	4096	true
28	shotgun	16712	9904	-	4096	true
29	shotgun	16712	10129	-	4096	true
30	shotgun	16712	5910	-	4096	true
31	shotgun	16712	11710	-	4096	true
32	shotgun	16712	1592	-	4096	true
33	shotgun	16712	4270	-	4096	true
34	shotgun	16712	6839	-	4096	true
35	shotgun	16712	9676	-	4096	true
36	shotgun	16712	5463	-	4096	true
37	shotgun	16712	8839	-	4096	true
38	shotgun	16712	1190	-	4096	true
39	shotgun	16712	7983	-	4096	true
40	shotgun	16712	2759	-	4096	true
41	shotgun	16712	11060	-	4096	true
42	shotgun	16712	3204	-	4096	true
43	shotgun	16712	7247	-	4096	true
44	shotgun	16712	187	-	4096	true
45	shotgun	16712	4536	-	4096	true
46	shotgun	16712	2608	-	4096	true
47	shotgun	16712	11713	-	4096	true
48	shotgun	16712	793	-	4096	true
49	shotgun	16712	10292	-	4096	true
50	shotgun	16712	6690	-	4096	true
51	shotgun	16712	11079	-	4096	true
52	shotgun	16712	4395	-	4096	true
53	shotgun	16712	3046	-	4096	true
54	shotgun	16712	3982	-	4096	true
55	shotgun	16712	12246	-	4096	true
56	shotgun	16712	6732	-	4096	true
57	shotgun	16712	10733	-	4096	true
58	shotgun	16712	9294	-	4096	true
59	shotgun	16712	5415	-	4096	true
60	shotgun	16712	6140	-	4096	true
61	shotgun	16712	8281	-	4096	true
62	shotgun	16712	2630	-	4096	true
63	shotgun	16712	11374	-	4096	true
64	shotgun	16712	473	-	4096	true
65	shotgun	16712	11163	-	4096	true
66	shotgun	16712	11683	-	4096	true
67	shotgun	16712	2912	-	4096	true
68	shotgun	16712	4023	-	4096	true
69	shotgun	16712	4262	-	4096	true
70	shotgun	16712	1853	-	4096	true
71	shotgun	16712	3195	-	4096	true
72	shotgun	16712	10531	-	4096	true
73	shotgun	16712	360	-	4096	true
74	shotgun	16712	11704	-	4096	true
75	shotgun	16712	12457	-	4096	true
76	shotgun	16712	8506	-	4096	true
77	shotgun	16712	4540	-	4096	true
78	shotgun	16712	2032	-	4096	true
79	shotgun	16712	12110	-	4096	true
80	shotgun	16712	365	-	4096	true
81	shotgun	16712	3394	-	4096	true
82	shotgun	16712	7708	-	4096	true
83	shotgun	16712	7981	-	4096	true
84	shotgun	16712	3808	-	4096	true
85	shotgun	16712	10514	-	4096	true
86	shotgun	16712	9359	-	4096	true
87	shotgun	16712	1828	-	4096	true
88	shotgun	16712	9407	-	4096	true
89	shotgun	16712	1586	-	4096	true
90	shotgun	16712	9801	-	4096	true
91	shotgun	16712	3879	-	4096	true
92	shotgun	16712	2050	-	4096	true
93	shotgun	16712	187	-	4096	true
94	shotgun	16712	463	-	4096	true
95	shotgun	16712	10532	-	4096	true
96	shotgun	16712	4416	-	4096	true
97	shotgun	16712	5281	-	4096	true
98	shotgun	16712	11715	-	4096	true
99	shotgun	16712	3110	-	4096	true
