# seed=42 mode=sniper file=corpus_xorshift.rar filesize=16712
trial	mode	filesize	off	bit	span	detected
0	sniper	16712	11998	1	1	true
1	sniper	16712	3955	3	1	true
2	sniper	16712	13141	2	1	true
3	sniper	16712	5124	7	1	true
4	sniper	16712	11392	5	1	true
5	sniper	16712	15841	1	1	true
6	sniper	16712	9044	6	1	true
7	sniper	16712	3777	3	1	true
8	sniper	16712	5578	4	1	true
9	sniper	16712	11523	4	1	true
10	sniper	16712	15544	7	1	true
11	sniper	16712	9936	3	1	true
12	sniper	16712	2771	1	1	true
13	sniper	16712	13250	3	1	true
14	sniper	16712	3948	0	1	true
15	sniper	16712	12976	3	1	true
16	sniper	16712	15214	6	1	true
17	sniper	16712	5629	0	1	true
18	sniper	16712	1250	7	1	true
19	sniper	16712	6750	6	1	true
20	sniper	16712	2178	3	1	true
21	sniper	16712	3671	4	1	true
22	sniper	16712	1318	2	1	true
23	sniper	16712	15002	0	1	true
24	sniper	16712	3625	5	1	true
25	sniper	16712	11422	0	1	true
26	sniper	16712	14858	5	1	true
27	sniper	16712	7426	4	1	true
28	sniper	16712	8655	4	1	true
29	sniper	16712	7991	7	1	true
30	sniper	16712	11560	1	1	true
31	sniper	16712	15809	3	1	true
32	sniper	16712	16448	0	1	true
33	sniper	16712	15683	0	1	true
34	sniper	16712	10554	4	1	true
35	sniper	16712	15823	7	1	true
36	sniper	16712	12700	6	1	true
37	sniper	16712	14932	5	1	true
38	sniper	16712	4315	6	1	true
39	sniper	16712	1504	0	1	true
40	sniper	16712	6595	7	1	true
41	sniper	16712	3790	7	1	true
42	sniper	16712	5033	6	1	true
43	sniper	16712	677	0	1	true
44	sniper	16712	2210	0	1	true
45	sniper	16712	2142	6	1	true
46	sniper	16712	7409	3	1	true
47	sniper	16712	7233	5	1	true
48	sniper	16712	231	2	1	true
49	sniper	16712	7765	2	1	true
50	sniper	16712	9257	2	1	true
51	sniper	16712	4981	3	1	true
52	sniper	16712	13976	7	1	true
53	sniper	16712	12646	2	1	true
54	sniper	16712	11404	6	1	true
55	sniper	16712	5799	7	1	true
56	sniper	16712	11163	6	1	true
57	sniper	16712	1949	6	1	true
58	sniper	16712	1359	1	1	true
59	sniper	16712	9403	2	1	true
60	sniper	16712	2441	4	1	true
61	sniper	16712	16246	2	1	true
62	sniper	16712	8628	5	1	true
63	sniper	16712	7958	7	1	true
64	sniper	16712	2954	0	1	true
65	sniper	16712	364	0	1	true
66	sniper	16712	9433	3	1	true
67	sniper	16712	7562	7	1	true
68	sniper	16712	2070	1	1	true
69	sniper	16712	8819	3	1	true
70	sniper	16712	13267	2	1	true
71	sniper	16712	853	6	1	true
72	sniper	16712	6213	2	1	true
73	sniper	16712	4557	4	1	true
74	sniper	16712	3645	2	1	true
75	sniper	16712	4909	2	1	true
76	sniper	16712	11824	0	1	true
77	sniper	16712	309	4	1	true
78	sniper	16712	10507	2	1	true
79	sniper	16712	7378	4	1	true
80	sniper	16712	8843	2	1	true
81	sniper	16712	15397	3	1	true
82	sniper	16712	2237	0	1	true
83	sniper	16712	4789	2	1	true
84	sniper	16712	9736	2	1	true
85	sniper	16712	15463	3	1	true
86	sniper	16712	7227	6	1	true
87	sniper	16712	9102	6	1	true
88	sniper	16712	5934	0	1	true
89	sniper	16712	6006	5	1	true
90	sniper	16712	14932	6	1	true
91	sniper	16712	201	4	1	true
92	sniper	16712	16497	2	1	true
93	sniper	16712	4857	3	1	true
94	sniper	16712	2897	4	1	true
95	sniper	16712	137	7	1	true
96	sniper	16712	11377	6	1	true
97	sniper	16712	4245	2	1	true
98	sniper	16712	9131	0	1	true
99	sniper	16712	1562	7	1	true
