# seed=42 mode=bolter file=sample.rm filesize=13831
trial	mode	filesize	off	bit	span	detected
0	bolter	13831	2398	-	1	false
1	bolter	13831	6310	-	1	false
2	bolter	13831	2461	-	1	false
3	bolter	13831	13253	-	1	false
4	bolter	13831	10168	-	1	false
5	bolter	13831	3579	-	1	false
6	bolter	13831	13365	-	1	false
7	bolter	13831	6123	-	1	false
8	bolter	13831	3818	-	1	false
9	bolter	13831	583	-	1	false
10	bolter	13831	3195	-	1	false
11	bolter	13831	2096	-	1	false
12	bolter	13831	13613	-	1	false
13	bolter	13831	5698	-	1	false
14	bolter	13831	10226	-	1	false
15	bolter	13831	6058	-	1	false
16	bolter	13831	2290	-	1	false
17	bolter	13831	8870	-	1	false
18	bolter	13831	10727	-	1	false
19	bolter	13831	7004	-	1	false
20	bolter	13831	12135	-	1	false
21	bolter	13831	12828	-	1	false
22	bolter	13831	243	-	1	false
23	bolter	13831	1479	-	1	false
24	bolter	13831	5450	-	1	false
25	bolter	13831	12442	-	1	false
26	bolter	13831	5985	-	1	false
27	bolter	13831	3381	-	1	false
28	bolter	13831	12440	-	1	false
29	bolter	13831	3366	-	1	false
30	bolter	13831	12965	-	1	false
31	bolter	13831	2681	-	1	false
32	bolter	13831	814	-	1	false
33	bolter	13831	6803	-	1	false
34	bolter	13831	13752	-	1	false
35	bolter	13831	12675	-	1	false
36	bolter	13831	7024	-	1	false
37	bolter	13831	12593	-	1	false
38	bolter	13831	10160	-	1	false
39	bolter	13831	10031	-	1	false
40	bolter	13831	11431	-	1	false
41	bolter	13831	1098	-	1	false
42	bolter	13831	1606	-	1	false
43	bolter	13831	11535	-	1	false
44	bolter	13831	9775	-	1	false
45	bolter	13831	13279	-	1	false
46	bolter	13831	13374	-	1	false
47	bolter	13831	4575	-	1	false
48	bolter	13831	5580	-	1	false
49	bolter	13831	9194	-	1	false
50	bolter	13831	71	-	1	false
51	bolter	13831	8136	-	1	false
52	bolter	13831	5869	-	1	false
53	bolter	13831	8318	-	1	false
54	bolter	13831	1642	-	1	false
55	bolter	13831	3380	-	1	false
56	bolter	13831	9258	-	1	false
57	bolter	13831	13395	-	1	false
58	bolter	13831	7073	-	1	false
59	bolter	13831	11442	-	1	false
60	bolter	13831	11938	-	1	false
61	bolter	13831	4363	-	1	false
62	bolter	13831	10875	-	1	false
63	bolter	13831	591	-	1	false
64	bolter	13831	1887	-	1	false
65	bolter	13831	3846	-	1	false
66	bolter	13831	10011	-	1	false
67	bolter	13831	12440	-	1	false
68	bolter	13831	4798	-	1	false
69	bolter	13831	3254	-	1	false
70	bolter	13831	10824	-	1	false
71	bolter	13831	910	-	1	false
72	bolter	13831	6556	-	1	false
73	bolter	13831	6387	-	1	false
74	bolter	13831	3783	-	1	false
75	bolter	13831	13	-	1	true
76	bolter	13831	9816	-	1	false
77	bolter	13831	13231	-	1	false
78	bolter	13831	2914	-	1	false
79	bolter	13831	11428	-	1	false
80	bolter	13831	7810	-	1	false
81	bolter	13831	4479	-	1	false
82	bolter	13831	9797	-	1	false
83	bolter	13831	11375	-	1	false
84	bolter	13831	6063	-	1	false
85	bolter	13831	7920	-	1	false
86	bolter	13831	7786	-	1	false
87	bolter	13831	11384	-	1	false
88	bolter	13831	3974	-	1	false
89	bolter	13831	4963	-	1	false
90	bolter	13831	7972	-	1	false
91	bolter	13831	5336	-	1	false
92	bolter	13831	383	-	1	false
93	bolter	13831	3129	-	1	false
94	bolter	13831	10224	-	1	false
95	bolter	13831	3000	-	1	false
96	bolter	13831	7696	-	1	false
97	bolter	13831	1883	-	1	false
98	bolter	13831	2703	-	1	false
99	bolter	13831	4223	-	1	false
