# seed=42 mode=shotgun file=sample.rm filesize=13831
trial	mode	filesize	off	bit	span	detected
0	shotgun	13831	310	-	4096	true
1	shotgun	13831	9711	-	4096	false
2	shotgun	13831	3315	-	4096	false
3	shotgun	13831	3720	-	4096	false
4	shotgun	13831	2625	-	4096	false
5	shotgun	13831	7114	-	4096	false
6	shotgun	13831	929	-	4096	false
7	shotgun	13831	4306	-	4096	false
8	shotgun	13831	335	-	4096	true
9	shotgun	13831	998	-	4096	false
10	shotgun	13831	1049	-	4096	false
11	shotgun	13831	1689	-	4096	false
12	shotgun	13831	2885	-	4096	false
13	shotgun	13831	3414	-	4096	false
14	shotgun	13831	5076	-	4096	false
15	shotgun	13831	9195	-	4096	false
16	shotgun	13831	8009	-	4096	false
17	shotgun	13831	3994	-	4096	false
18	shotgun	13831	2829	-	4096	false
19	shotgun	13831	5511	-	4096	false
20	shotgun	13831	5687	-	4096	false
21	shotgun	13831	4896	-	4096	false
22	shotgun	13831	2279	-	4096	false
23	shotgun	13831	6819	-	4096	false
24	shotgun	13831	371	-	4096	false
25	shotgun	13831	2491	-	4096	false
26	shotgun	13831	8583	-	4096	false
27	shotgun	13831	5221	-	4096	false
28	shotgun	13831	2861	-	4096	false
29	shotgun	13831	5479	-	4096	false
30	shotgun	13831	8667	-	4096	false
31	shotgun	13831	5585	-	4096	false
32	shotgun	13831	1683	-	4096	false
33	shotgun	13831	767	-	4096	false
34	shotgun	13831	4519	-	4096	false
35	shotgun	13831	7904	-	4096	false
36	shotgun	13831	2502	-	4096	false
37	shotgun	13831	8325	-	4096	false
38	shotgun	13831	6647	-	4096	false
39	shotgun	13831	5430	-	4096	false
40	shotgun	13831	5276	-	4096	false
41	shotgun	13831	5969	-	4096	false
42	shotgun	13831	2659	-	4096	false
43	shotgun	13831	384	-	4096	false
44	shotgun	13831	9628	-	4096	false
45	shotgun	13831	2163	-	4096	false
46	shotgun	13831	2493	-	4096	false
47	shotgun	13831	1458	-	4096	false
48	shotgun	13831	2909	-	4096	false
49	shotgun	13831	9138	-	4096	false
50	shotgun	13831	5223	-	4096	false
51	shotgun	13831	715	-	4096	false
52	shotgun	13831	735	-	4096	false
53	shotgun	13831	909	-	4096	false
54	shotgun	13831	6938	-	4096	false
55	shotgun	13831	3389	-	4096	false
56	shotgun	13831	8709	-	4096	false
57	shotgun	13831	2821	-	4096	false
58	shotgun	13831	8241	-	4096	false
59	shotgun	13831	6315	-	4096	false
60	shotgun	13831	3104	-	4096	false
61	shotgun	13831	8466	-	4096	false
62	shotgun	13831	2543	-	4096	false
63	shotgun	13831	9293	-	4096	false
64	shotgun	13831	4096	-	4096	false
65	shotgun	13831	5908	-	4096	false
66	shotgun	13831	6315	-	4096	false
67	shotgun	13831	8475	-	4096	false
68	shotgun	13831	9058	-	4096	false
69	shotgun	13831	6509	-	4096	false
70	shotgun	13831	5490	-	4096	false
71	shotgun	13831	7015	-	4096	false
72	shotgun	13831	7618	-	4096	false
73	shotgun	13831	2020	-	4096	false
74	shotgun	13831	5461	-	4096	false
75	shotgun	13831	1190	-	4096	false
76	shotgun	13831	1715	-	4096	false
77	shotgun	13831	3598	-	4096	false
78	shotgun	13831	3570	-	4096	false
79	shotgun	13831	3602	-	4096	false
80	shotgun	13831	2318	-	4096	false
81	shotgun	13831	6455	-	4096	false
82	shotgun	13831	3198	-	4096	false
83	shotgun	13831	7749	-	4096	false
84	shotgun	13831	8058	-	4096	false
85	shotgun	13831	1059	-	4096	false
86	shotgun	13831	5970	-	4096	false
87	shotgun	13831	2200	-	4096	false
88	shotgun	13831	3919	-	4096	false
89	shotgun	13831	8202	-	4096	false
90	shotgun	13831	2123	-	4096	false
91	shotgun	13831	2198	-	4096	false
92	shotgun	13831	8431	-	4096	false
93	shotgun	13831	4649	-	4096	false
94	shotgun	13831	6148	-	4096	false
95	shotgun	13831	4183	-	4096	false
96	shotgun	13831	4682	-	4096	false
97	shotgun	13831	6247	-	4096	false
98	shotgun	13831	9618	-	4096	false
99	shotgun	13831	6102	-	4096	false
