# seed=42 mode=shotgun file=sample.rpm filesize=22829
trial	mode	filesize	off	bit	span	detected
0	shotgun	22829	5196	-	4096	true
1	shotgun	22829	15247	-	4096	false
2	shotgun	22829	1719	-	4096	true
3	shotgun	22829	11564	-	4096	false
4	shotgun	22829	17489	-	4096	false
5	shotgun	22829	2444	-	4096	true
6	shotgun	22829	2287	-	4096	true
7	shotgun	22829	16200	-	4096	false
8	shotgun	22829	13449	-	4096	false
9	shotgun	22829	9550	-	4096	false
10	shotgun	22829	6707	-	4096	false
11	shotgun	22829	5759	-	4096	true
12	shotgun	22829	4975	-	4096	true
13	shotgun	22829	3332	-	4096	true
14	shotgun	22829	386	-	4096	false
15	shotgun	22829	3151	-	4096	true
16	shotgun	22829	10853	-	4096	false
17	shotgun	22829	7598	-	4096	false
18	shotgun	22829	13269	-	4096	false
19	shotgun	22829	3219	-	4096	true
20	shotgun	22829	2145	-	4096	true
21	shotgun	22829	13828	-	4096	false
22	shotgun	22829	12191	-	4096	false
23	shotgun	22829	3587	-	4096	true
24	shotgun	22829	9817	-	4096	false
25	shotgun	22829	9799	-	4096	false
26	shotgun	22829	18307	-	4096	false
27	shotgun	22829	16601	-	4096	false
28	shotgun	22829	6269	-	4096	false
29	shotgun	22829	14199	-	4096	false
30	shotgun	22829	9415	-	4096	false
31	shotgun	22829	16867	-	4096	false
32	shotgun	22829	8993	-	4096	false
33	shotgun	22829	5567	-	4096	true
34	shotgun	22829	7971	-	4096	false
35	shotgun	22829	16870	-	4096	false
36	shotgun	22829	9282	-	4096	false
37	shotgun	22829	4445	-	4096	true
38	shotgun	22829	12159	-	4096	false
39	shotgun	22829	8936	-	4096	false
40	shotgun	22829	9610	-	4096	false
41	shotgun	22829	6147	-	4096	false
42	shotgun	22829	11019	-	4096	false
43	shotgun	22829	760	-	4096	true
44	shotgun	22829	1480	-	4096	true
45	shotgun	22829	8665	-	4096	false
46	shotgun	22829	9269	-	4096	false
47	shotgun	22829	6852	-	4096	false
48	shotgun	22829	8355	-	4096	false
49	shotgun	22829	16864	-	4096	false
50	shotgun	22829	9963	-	4096	false
51	shotgun	22829	3815	-	4096	true
52	shotgun	22829	18637	-	4096	false
53	shotgun	22829	10271	-	4096	false
54	shotgun	22829	13944	-	4096	false
55	shotgun	22829	2807	-	4096	true
56	shotgun	22829	17755	-	4096	false
57	shotgun	22829	5141	-	4096	true
58	shotgun	22829	7213	-	4096	false
59	shotgun	22829	4855	-	4096	true
60	shotgun	22829	4566	-	4096	true
61	shotgun	22829	13020	-	4096	false
62	shotgun	22829	12453	-	4096	false
63	shotgun	22829	10745	-	4096	false
64	shotgun	22829	10244	-	4096	false
65	shotgun	22829	18336	-	4096	false
66	shotgun	22829	2243	-	4096	true
67	shotgun	22829	9805	-	4096	false
68	shotgun	22829	11208	-	4096	false
69	shotgun	22829	14843	-	4096	false
70	shotgun	22829	18548	-	4096	false
71	shotgun	22829	12455	-	4096	false
72	shotgun	22829	10886	-	4096	false
73	shotgun	22829	14800	-	4096	false
74	shotgun	22829	7179	-	4096	false
75	shotgun	22829	5028	-	4096	true
76	shotgun	22829	4221	-	4096	true
77	shotgun	22829	10734	-	4096	false
78	shotgun	22829	9944	-	4096	false
79	shotgun	22829	10222	-	4096	false
80	shotgun	22829	4352	-	4096	true
81	shotgun	22829	5933	-	4096	true
82	shotgun	22829	14952	-	4096	false
83	shotgun	22829	2005	-	4096	true
84	shotgun	22829	132	-	4096	true
85	shotgun	22829	10243	-	4096	false
86	shotgun	22829	6676	-	4096	false
87	shotgun	22829	2656	-	4096	true
88	shotgun	22829	18593	-	4096	false
89	shotgun	22829	17410	-	4096	false
90	shotgun	22829	6091	-	4096	true
91	shotgun	22829	14090	-	4096	false
92	shotgun	22829	14563	-	4096	false
93	shotgun	22829	2709	-	4096	true
94	shotgun	22829	14706	-	4096	false
95	shotgun	22829	9261	-	4096	false
96	shotgun	22829	17814	-	4096	false
97	shotgun	22829	9685	-	4096	false
98	shotgun	22829	17024	-	4096	false
99	shotgun	22829	14310	-	4096	false
