# seed=42 mode=sniper file=sample.rpm filesize=22829
trial	mode	filesize	off	bit	span	detected
0	sniper	22829	20122	1	1	false
1	sniper	22829	19761	3	1	false
2	sniper	22829	20862	2	1	false
3	sniper	22829	3718	7	1	false
4	sniper	22829	8360	5	1	false
5	sniper	22829	19499	1	1	false
6	sniper	22829	15696	6	1	false
7	sniper	22829	501	3	1	false
8	sniper	22829	13712	4	1	false
9	sniper	22829	22211	4	1	false
10	sniper	22829	6444	7	1	false
11	sniper	22829	15776	3	1	false
12	sniper	22829	13640	1	1	false
13	sniper	22829	14335	3	1	false
14	sniper	22829	17085	0	1	false
15	sniper	22829	3894	3	1	false
16	sniper	22829	15492	6	1	false
17	sniper	22829	19179	0	1	false
18	sniper	22829	2268	7	1	false
19	sniper	22829	19080	6	1	false
20	sniper	22829	15216	3	1	false
21	sniper	22829	12966	4	1	false
22	sniper	22829	1416	2	1	false
23	sniper	22829	21190	0	1	false
24	sniper	22829	10840	5	1	false
25	sniper	22829	2134	0	1	false
26	sniper	22829	10721	5	1	false
27	sniper	22829	86	4	1	false
28	sniper	22829	19032	4	1	false
29	sniper	22829	22360	7	1	false
30	sniper	22829	15649	1	1	false
31	sniper	22829	21315	3	1	false
32	sniper	22829	18217	0	1	false
33	sniper	22829	21968	0	1	false
34	sniper	22829	18117	4	1	false
35	sniper	22829	11072	7	1	false
36	sniper	22829	9758	6	1	false
37	sniper	22829	12333	5	1	false
38	sniper	22829	16169	6	1	false
39	sniper	22829	11403	0	1	false
40	sniper	22829	7847	7	1	false
41	sniper	22829	11710	7	1	false
42	sniper	22829	5182	6	1	true
43	sniper	22829	16481	0	1	false
44	sniper	22829	12711	0	1	false
45	sniper	22829	9902	6	1	false
46	sniper	22829	10396	3	1	false
47	sniper	22829	8657	5	1	false
48	sniper	22829	221	2	1	false
49	sniper	22829	21905	2	1	false
50	sniper	22829	6329	2	1	false
51	sniper	22829	1545	3	1	false
52	sniper	22829	13060	7	1	false
53	sniper	22829	4890	2	1	true
54	sniper	22829	21452	6	1	false
55	sniper	22829	17336	7	1	false
56	sniper	22829	8087	6	1	false
57	sniper	22829	16693	6	1	false
58	sniper	22829	4058	1	1	false
59	sniper	22829	18676	2	1	false
60	sniper	22829	22692	4	1	false
61	sniper	22829	343	2	1	false
62	sniper	22829	17181	5	1	false
63	sniper	22829	3468	7	1	false
64	sniper	22829	20772	0	1	false
65	sniper	22829	10332	0	1	false
66	sniper	22829	15913	3	1	false
67	sniper	22829	8947	7	1	false
68	sniper	22829	19756	1	1	false
69	sniper	22829	21863	3	1	false
70	sniper	22829	21899	2	1	false
71	sniper	22829	3329	6	1	false
72	sniper	22829	2046	2	1	false
73	sniper	22829	3763	4	1	false
74	sniper	22829	22034	2	1	false
75	sniper	22829	6698	2	1	false
76	sniper	22829	6743	0	1	false
77	sniper	22829	9453	4	1	false
78	sniper	22829	2428	2	1	false
79	sniper	22829	19912	4	1	false
80	sniper	22829	2762	2	1	false
81	sniper	22829	10339	3	1	false
82	sniper	22829	3931	0	1	false
83	sniper	22829	22478	2	1	false
84	sniper	22829	22607	2	1	false
85	sniper	22829	19456	3	1	false
86	sniper	22829	882	6	1	false
87	sniper	22829	4517	6	1	true
88	sniper	22829	7059	0	1	false
89	sniper	22829	1673	5	1	false
90	sniper	22829	7311	6	1	false
91	sniper	22829	8125	4	1	false
92	sniper	22829	7271	2	1	false
93	sniper	22829	22496	3	1	false
94	sniper	22829	3845	4	1	false
95	sniper	22829	9780	7	1	false
96	sniper	22829	11330	6	1	false
97	sniper	22829	17429	2	1	false
98	sniper	22829	6349	0	1	false
99	sniper	22829	1490	7	1	false
