# seed=42 mode=sniper file=panasonic_16-9.RW2 filesize=10876416
trial	mode	filesize	off	bit	span	detected
0	sniper	10876416	7943126	1	1	false
1	sniper	10876416	10392219	3	1	false
2	sniper	10876416	10625709	2	1	false
3	sniper	10876416	3634476	7	1	false
4	sniper	10876416	6646280	5	1	false
5	sniper	10876416	331225	1	1	false
6	sniper	10876416	8693724	6	1	false
7	sniper	10876416	2015825	3	1	false
8	sniper	10876416	6929626	4	1	false
9	sniper	10876416	3363875	4	1	false
10	sniper	10876416	316488	7	1	false
11	sniper	10876416	3634896	3	1	false
12	sniper	10876416	885635	1	1	false
13	sniper	10876416	7138218	3	1	false
14	sniper	10876416	3279124	0	1	false
15	sniper	10876416	731376	3	1	false
16	sniper	10876416	10344118	6	1	false
17	sniper	10876416	5498101	0	1	false
18	sniper	10876416	8932506	7	1	false
19	sniper	10876416	8925398	6	1	false
20	sniper	10876416	2099618	3	1	false
21	sniper	10876416	4861935	4	1	false
22	sniper	10876416	2394862	2	1	false
23	sniper	10876416	5231930	0	1	false
24	sniper	10876416	7611033	5	1	false
25	sniper	10876416	4451478	0	1	false
26	sniper	10876416	2382626	5	1	false
27	sniper	10876416	6254050	4	1	false
28	sniper	10876416	8889807	4	1	false
29	sniper	10876416	9825775	7	1	false
30	sniper	10876416	1182792	1	1	false
31	sniper	10876416	5459057	3	1	false
32	sniper	10876416	1200256	0	1	false
33	sniper	10876416	7154587	0	1	false
34	sniper	10876416	5835178	4	1	false
35	sniper	10876416	8868383	7	1	false
36	sniper	10876416	3489684	6	1	false
37	sniper	10876416	9384020	5	1	false
38	sniper	10876416	7115003	6	1	false
39	sniper	10876416	5287872	0	1	false
40	sniper	10876416	7066107	7	1	false
41	sniper	10876416	5098046	7	1	false
42	sniper	10876416	10490065	6	1	false
43	sniper	10876416	7758429	0	1	false
44	sniper	10876416	10496306	0	1	false
45	sniper	10876416	5271134	6	1	false
46	sniper	10876416	857289	3	1	false
47	sniper	10876416	4388529	5	1	false
48	sniper	10876416	6913127	2	1	false
49	sniper	10876416	739181	2	1	false
50	sniper	10876416	3613273	2	1	false
51	sniper	10876416	6318677	3	1	false
52	sniper	10876416	10548920	7	1	false
53	sniper	10876416	9376774	2	1	false
54	sniper	10876416	7345924	6	1	false
55	sniper	10876416	6349599	7	1	false
56	sniper	10876416	4569659	6	1	false
57	sniper	10876416	7727917	6	1	false
58	sniper	10876416	3341047	1	1	false
59	sniper	10876416	4251315	2	1	false
60	sniper	10876416	4454185	4	1	false
61	sniper	10876416	361326	2	1	false
62	sniper	10876416	1102964	5	1	false
63	sniper	10876416	8367118	7	1	false
64	sniper	10876416	8976794	0	1	false
65	sniper	10876416	5267268	0	1	false
66	sniper	10876416	4714353	3	1	false
67	sniper	10876416	6357682	7	1	false
68	sniper	10876416	5186270	1	1	false
69	sniper	10876416	9154107	3	1	false
70	sniper	10876416	9361627	2	1	false
71	sniper	10876416	458333	6	1	false
72	sniper	10876416	4551533	2	1	false
73	sniper	10876416	1176581	4	1	false
74	sniper	10876416	887869	2	1	false
75	sniper	10876416	1705621	2	1	false
76	sniper	10876416	7689872	0	1	false
77	sniper	10876416	10212637	4	1	false
78	sniper	10876416	9813723	2	1	false
79	sniper	10876416	5948610	4	1	false
80	sniper	10876416	7518443	2	1	false
81	sniper	10876416	4562925	3	1	false
82	sniper	10876416	6629925	0	1	false
83	sniper	10876416	789405	2	1	false
84	sniper	10876416	3016320	2	1	false
85	sniper	10876416	6485791	3	1	false
86	sniper	10876416	9878747	6	1	false
87	sniper	10876416	9168326	6	1	false
88	sniper	10876416	8164710	0	1	false
89	sniper	10876416	961438	5	1	false
90	sniper	10876416	6238052	6	1	false
91	sniper	10876416	1166441	4	1	false
92	sniper	10876416	4419337	2	1	false
93	sniper	10876416	4137497	3	1	false
94	sniper	10876416	4263609	4	1	false
95	sniper	10876416	8137745	7	1	false
96	sniper	10876416	8992545	6	1	false
97	sniper	10876416	6018357	2	1	false
98	sniper	10876416	8373507	0	1	false
99	sniper	10876416	3576922	7	1	false
