# seed=42 mode=sniper file=corpus_xorshift.7z filesize=16853
trial	mode	filesize	off	bit	span	detected
0	sniper	16853	3980	1	1	true
1	sniper	16853	11982	3	1	true
2	sniper	16853	4217	2	1	true
3	sniper	16853	12667	7	1	true
4	sniper	16853	4147	5	1	true
5	sniper	16853	2986	1	1	true
6	sniper	16853	3096	6	1	true
7	sniper	16853	2118	3	1	true
8	sniper	16853	10024	4	1	true
9	sniper	16853	12804	4	1	true
10	sniper	16853	11962	7	1	true
11	sniper	16853	4891	3	1	true
12	sniper	16853	997	1	1	true
13	sniper	16853	3000	3	1	true
14	sniper	16853	6169	0	1	true
15	sniper	16853	1759	3	1	true
16	sniper	16853	12014	6	1	true
17	sniper	16853	4605	0	1	true
18	sniper	16853	11956	7	1	true
19	sniper	16853	15681	6	1	true
20	sniper	16853	5619	3	1	true
21	sniper	16853	14920	4	1	true
22	sniper	16853	9096	2	1	true
23	sniper	16853	9672	0	1	true
24	sniper	16853	13338	5	1	true
25	sniper	16853	5755	0	1	true
26	sniper	16853	9822	5	1	true
27	sniper	16853	10494	4	1	true
28	sniper	16853	2670	4	1	true
29	sniper	16853	11680	7	1	true
30	sniper	16853	4168	1	1	true
31	sniper	16853	4748	3	1	true
32	sniper	16853	11092	0	1	true
33	sniper	16853	10208	0	1	true
34	sniper	16853	2993	4	1	true
35	sniper	16853	9182	7	1	true
36	sniper	16853	16751	6	1	false
37	sniper	16853	12619	5	1	true
38	sniper	16853	2033	6	1	true
39	sniper	16853	2132	0	1	true
40	sniper	16853	16240	7	1	true
41	sniper	16853	451	7	1	true
42	sniper	16853	16152	6	1	true
43	sniper	16853	9643	0	1	true
44	sniper	16853	9431	0	1	true
45	sniper	16853	1411	6	1	true
46	sniper	16853	9244	3	1	true
47	sniper	16853	9214	5	1	true
48	sniper	16853	4858	2	1	true
49	sniper	16853	1911	2	1	true
50	sniper	16853	7313	2	1	true
51	sniper	16853	5658	3	1	true
52	sniper	16853	9646	7	1	true
53	sniper	16853	12315	2	1	true
54	sniper	16853	5958	6	1	true
55	sniper	16853	15547	7	1	true
56	sniper	16853	6465	6	1	true
57	sniper	16853	1715	6	1	true
58	sniper	16853	11259	1	1	true
59	sniper	16853	13516	2	1	true
60	sniper	16853	15990	4	1	true
61	sniper	16853	8874	2	1	true
62	sniper	16853	6808	5	1	true
63	sniper	16853	13675	7	1	true
64	sniper	16853	8697	0	1	true
65	sniper	16853	12769	0	1	true
66	sniper	16853	11319	3	1	true
67	sniper	16853	1214	7	1	true
68	sniper	16853	15114	1	1	true
69	sniper	16853	9409	3	1	true
70	sniper	16853	2356	2	1	true
71	sniper	16853	15178	6	1	true
72	sniper	16853	14310	2	1	true
73	sniper	16853	14474	4	1	true
74	sniper	16853	4610	2	1	true
75	sniper	16853	7730	2	1	true
76	sniper	16853	14686	0	1	true
77	sniper	16853	1684	4	1	true
78	sniper	16853	7660	2	1	true
79	sniper	16853	11834	4	1	true
80	sniper	16853	10115	2	1	true
81	sniper	16853	16295	3	1	true
82	sniper	16853	4434	0	1	true
83	sniper	16853	8100	2	1	true
84	sniper	16853	10169	2	1	true
85	sniper	16853	16411	3	1	true
86	sniper	16853	5772	6	1	true
87	sniper	16853	14467	6	1	true
88	sniper	16853	12038	0	1	true
89	sniper	16853	2403	5	1	true
90	sniper	16853	14318	6	1	true
91	sniper	16853	11905	4	1	true
92	sniper	16853	546	2	1	true
93	sniper	16853	13192	3	1	true
94	sniper	16853	10586	4	1	true
95	sniper	16853	11169	7	1	true
96	sniper	16853	6634	6	1	true
97	sniper	16853	11243	2	1	true
98	sniper	16853	10778	0	1	true
99	sniper	16853	16337	7	1	true
