# seed=42 mode=sniper file=sample.sit filesize=140
trial	mode	filesize	off	bit	span	detected
0	sniper	140	46	1	1	true
1	sniper	140	115	3	1	true
2	sniper	140	17	2	1	false
3	sniper	140	120	7	1	true
4	sniper	140	4	5	1	true
5	sniper	140	125	1	1	true
6	sniper	140	28	6	1	true
7	sniper	140	113	3	1	true
8	sniper	140	38	4	1	true
9	sniper	140	111	4	1	true
10	sniper	140	96	7	1	true
11	sniper	140	80	3	1	true
12	sniper	140	123	1	1	true
13	sniper	140	90	3	1	true
14	sniper	140	124	0	1	true
15	sniper	140	36	3	1	true
16	sniper	140	30	6	1	true
17	sniper	140	65	0	1	true
18	sniper	140	18	7	1	false
19	sniper	140	2	6	1	true
20	sniper	140	130	3	1	true
21	sniper	140	115	4	1	true
22	sniper	140	54	2	1	true
23	sniper	140	30	0	1	true
24	sniper	140	121	5	1	true
25	sniper	140	6	0	1	true
26	sniper	140	74	5	1	true
27	sniper	140	82	4	1	true
28	sniper	140	91	4	1	true
29	sniper	140	103	7	1	true
30	sniper	140	92	1	1	true
31	sniper	140	1	3	1	true
32	sniper	140	32	0	1	true
33	sniper	140	3	0	1	true
34	sniper	140	62	4	1	true
35	sniper	140	51	7	1	true
36	sniper	140	136	6	1	false
37	sniper	140	72	5	1	true
38	sniper	140	63	6	1	true
39	sniper	140	0	0	1	true
40	sniper	140	99	7	1	true
41	sniper	140	2	7	1	true
42	sniper	140	13	6	1	true
43	sniper	140	93	0	1	true
44	sniper	140	18	0	1	false
45	sniper	140	54	6	1	true
46	sniper	140	121	3	1	true
47	sniper	140	57	5	1	true
48	sniper	140	35	2	1	true
49	sniper	140	41	2	1	true
50	sniper	140	57	2	1	true
51	sniper	140	113	3	1	true
52	sniper	140	124	7	1	true
53	sniper	140	134	2	1	false
54	sniper	140	60	6	1	true
55	sniper	140	55	7	1	true
56	sniper	140	51	6	1	true
57	sniper	140	33	6	1	true
58	sniper	140	15	1	1	false
59	sniper	140	59	2	1	true
60	sniper	140	77	4	1	true
61	sniper	140	94	2	1	true
62	sniper	140	112	5	1	true
63	sniper	140	118	7	1	true
64	sniper	140	66	0	1	true
65	sniper	140	8	0	1	true
66	sniper	140	77	3	1	true
67	sniper	140	78	7	1	true
68	sniper	140	90	1	1	true
69	sniper	140	35	3	1	true
70	sniper	140	99	2	1	true
71	sniper	140	29	6	1	true
72	sniper	140	5	2	1	true
73	sniper	140	57	4	1	true
74	sniper	140	65	2	1	true
75	sniper	140	61	2	1	true
76	sniper	140	36	0	1	true
77	sniper	140	1	4	1	true
78	sniper	140	91	2	1	true
79	sniper	140	34	4	1	true
80	sniper	140	91	2	1	true
81	sniper	140	61	3	1	true
82	sniper	140	121	0	1	true
83	sniper	140	29	2	1	true
84	sniper	140	92	2	1	true
85	sniper	140	51	3	1	true
86	sniper	140	39	6	1	true
87	sniper	140	38	6	1	true
88	sniper	140	90	0	1	true
89	sniper	140	102	5	1	true
90	sniper	140	128	6	1	true
91	sniper	140	77	4	1	true
92	sniper	140	29	2	1	true
93	sniper	140	1	3	1	true
94	sniper	140	133	4	1	true
95	sniper	140	101	7	1	true
96	sniper	140	53	6	1	true
97	sniper	140	33	2	1	true
98	sniper	140	55	0	1	true
99	sniper	140	66	7	1	true
