# seed=42 mode=bolter file=sample.song filesize=42216
trial	mode	filesize	off	bit	span	detected
0	bolter	42216	14462	-	1	true
1	bolter	42216	13649	-	1	true
2	bolter	42216	13995	-	1	true
3	bolter	42216	36555	-	1	true
4	bolter	42216	25149	-	1	true
5	bolter	42216	3514	-	1	true
6	bolter	42216	8556	-	1	true
7	bolter	42216	14735	-	1	true
8	bolter	42216	37304	-	1	true
9	bolter	42216	14373	-	1	true
10	bolter	42216	12169	-	1	true
11	bolter	42216	9145	-	1	true
12	bolter	42216	28284	-	1	true
13	bolter	42216	1390	-	1	true
14	bolter	42216	30185	-	1	true
15	bolter	42216	4203	-	1	true
16	bolter	42216	28594	-	1	true
17	bolter	42216	41284	-	1	true
18	bolter	42216	34259	-	1	true
19	bolter	42216	27628	-	1	true
20	bolter	42216	13704	-	1	true
21	bolter	42216	13719	-	1	true
22	bolter	42216	14688	-	1	true
23	bolter	42216	18187	-	1	true
24	bolter	42216	33347	-	1	true
25	bolter	42216	6345	-	1	true
26	bolter	42216	41082	-	1	true
27	bolter	42216	10547	-	1	true
28	bolter	42216	13516	-	1	true
29	bolter	42216	31376	-	1	true
30	bolter	42216	192	-	1	true
31	bolter	42216	7643	-	1	true
32	bolter	42216	29302	-	1	true
33	bolter	42216	26638	-	1	true
34	bolter	42216	27565	-	1	true
35	bolter	42216	11752	-	1	true
36	bolter	42216	13674	-	1	true
37	bolter	42216	32231	-	1	true
38	bolter	42216	6662	-	1	true
39	bolter	42216	30886	-	1	true
40	bolter	42216	13370	-	1	true
41	bolter	42216	32091	-	1	true
42	bolter	42216	38583	-	1	true
43	bolter	42216	6020	-	1	true
44	bolter	42216	15886	-	1	true
45	bolter	42216	10394	-	1	true
46	bolter	42216	26546	-	1	true
47	bolter	42216	8792	-	1	true
48	bolter	42216	8505	-	1	true
49	bolter	42216	37005	-	1	true
50	bolter	42216	26574	-	1	true
51	bolter	42216	22736	-	1	true
52	bolter	42216	26306	-	1	true
53	bolter	42216	39133	-	1	true
54	bolter	42216	38434	-	1	true
55	bolter	42216	26812	-	1	true
56	bolter	42216	21927	-	1	true
57	bolter	42216	10348	-	1	true
58	bolter	42216	22303	-	1	true
59	bolter	42216	2431	-	1	true
60	bolter	42216	36552	-	1	true
61	bolter	42216	24417	-	1	true
62	bolter	42216	19937	-	1	true
63	bolter	42216	41955	-	1	true
64	bolter	42216	2968	-	1	true
65	bolter	42216	41736	-	1	false
66	bolter	42216	33475	-	1	true
67	bolter	42216	16056	-	1	true
68	bolter	42216	15418	-	1	true
69	bolter	42216	32228	-	1	true
70	bolter	42216	27239	-	1	true
71	bolter	42216	23415	-	1	true
72	bolter	42216	13860	-	1	true
73	bolter	42216	3854	-	1	true
74	bolter	42216	4436	-	1	true
75	bolter	42216	10469	-	1	true
76	bolter	42216	35603	-	1	true
77	bolter	42216	2062	-	1	true
78	bolter	42216	17256	-	1	true
79	bolter	42216	200	-	1	true
80	bolter	42216	4779	-	1	true
81	bolter	42216	41631	-	1	true
82	bolter	42216	15422	-	1	true
83	bolter	42216	35311	-	1	true
84	bolter	42216	19009	-	1	true
85	bolter	42216	24118	-	1	true
86	bolter	42216	11781	-	1	true
87	bolter	42216	30264	-	1	true
88	bolter	42216	2594	-	1	true
89	bolter	42216	26864	-	1	true
90	bolter	42216	33566	-	1	true
91	bolter	42216	15558	-	1	true
92	bolter	42216	37449	-	1	true
93	bolter	42216	35867	-	1	true
94	bolter	42216	18729	-	1	true
95	bolter	42216	20957	-	1	true
96	bolter	42216	23255	-	1	true
97	bolter	42216	2634	-	1	true
98	bolter	42216	31613	-	1	true
99	bolter	42216	25266	-	1	true
