# seed=42 mode=shotgun file=sample.song filesize=42216
trial	mode	filesize	off	bit	span	detected
0	shotgun	42216	9884	-	4096	true
1	shotgun	42216	1150	-	4096	true
2	shotgun	42216	23613	-	4096	true
3	shotgun	42216	18287	-	4096	true
4	shotgun	42216	22179	-	4096	true
5	shotgun	42216	22243	-	4096	true
6	shotgun	42216	11328	-	4096	true
7	shotgun	42216	23209	-	4096	true
8	shotgun	42216	22370	-	4096	true
9	shotgun	42216	23315	-	4096	true
10	shotgun	42216	5759	-	4096	true
11	shotgun	42216	33904	-	4096	true
12	shotgun	42216	13360	-	4096	true
13	shotgun	42216	7780	-	4096	true
14	shotgun	42216	15042	-	4096	true
15	shotgun	42216	7744	-	4096	true
16	shotgun	42216	26434	-	4096	true
17	shotgun	42216	37302	-	4096	true
18	shotgun	42216	2847	-	4096	true
19	shotgun	42216	3830	-	4096	true
20	shotgun	42216	3913	-	4096	true
21	shotgun	42216	10076	-	4096	true
22	shotgun	42216	16644	-	4096	true
23	shotgun	42216	11292	-	4096	true
24	shotgun	42216	15185	-	4096	true
25	shotgun	42216	18175	-	4096	true
26	shotgun	42216	6107	-	4096	true
27	shotgun	42216	10765	-	4096	true
28	shotgun	42216	3522	-	4096	true
29	shotgun	42216	35105	-	4096	true
30	shotgun	42216	19937	-	4096	true
31	shotgun	42216	7521	-	4096	true
32	shotgun	42216	36493	-	4096	true
33	shotgun	42216	2896	-	4096	true
34	shotgun	42216	12051	-	4096	true
35	shotgun	42216	10820	-	4096	true
36	shotgun	42216	34970	-	4096	true
37	shotgun	42216	27987	-	4096	true
38	shotgun	42216	29625	-	4096	true
39	shotgun	42216	24599	-	4096	true
40	shotgun	42216	37376	-	4096	true
41	shotgun	42216	14319	-	4096	true
42	shotgun	42216	26995	-	4096	true
43	shotgun	42216	6981	-	4096	true
44	shotgun	42216	36949	-	4096	true
45	shotgun	42216	13800	-	4096	true
46	shotgun	42216	23655	-	4096	true
47	shotgun	42216	10008	-	4096	true
48	shotgun	42216	29123	-	4096	true
49	shotgun	42216	20957	-	4096	true
50	shotgun	42216	31133	-	4096	true
51	shotgun	42216	34029	-	4096	true
52	shotgun	42216	26299	-	4096	true
53	shotgun	42216	24323	-	4096	true
54	shotgun	42216	32686	-	4096	true
55	shotgun	42216	20860	-	4096	true
56	shotgun	42216	1606	-	4096	true
57	shotgun	42216	13008	-	4096	true
58	shotgun	42216	37486	-	4096	true
59	shotgun	42216	12317	-	4096	true
60	shotgun	42216	2616	-	4096	true
61	shotgun	42216	36661	-	4096	true
62	shotgun	42216	21142	-	4096	true
63	shotgun	42216	10201	-	4096	true
64	shotgun	42216	35862	-	4096	true
65	shotgun	42216	25491	-	4096	true
66	shotgun	42216	28640	-	4096	true
67	shotgun	42216	1630	-	4096	true
68	shotgun	42216	11157	-	4096	true
69	shotgun	42216	3205	-	4096	true
70	shotgun	42216	8442	-	4096	true
71	shotgun	42216	10752	-	4096	true
72	shotgun	42216	15133	-	4096	true
73	shotgun	42216	16744	-	4096	true
74	shotgun	42216	3952	-	4096	true
75	shotgun	42216	34846	-	4096	true
76	shotgun	42216	4604	-	4096	true
77	shotgun	42216	35707	-	4096	true
78	shotgun	42216	2819	-	4096	true
79	shotgun	42216	5019	-	4096	true
80	shotgun	42216	22083	-	4096	true
81	shotgun	42216	6812	-	4096	true
82	shotgun	42216	30104	-	4096	true
83	shotgun	42216	21252	-	4096	true
84	shotgun	42216	10686	-	4096	true
85	shotgun	42216	5592	-	4096	true
86	shotgun	42216	16022	-	4096	true
87	shotgun	42216	32025	-	4096	true
88	shotgun	42216	26776	-	4096	true
89	shotgun	42216	36515	-	4096	true
90	shotgun	42216	31104	-	4096	true
91	shotgun	42216	18529	-	4096	true
92	shotgun	42216	769	-	4096	true
93	shotgun	42216	2478	-	4096	true
94	shotgun	42216	16407	-	4096	true
95	shotgun	42216	30868	-	4096	true
96	shotgun	42216	17628	-	4096	true
97	shotgun	42216	5157	-	4096	true
98	shotgun	42216	11712	-	4096	true
99	shotgun	42216	36621	-	4096	true
