# seed=42 mode=bolter file=chinook.sqlite filesize=1007616
trial	mode	filesize	off	bit	span	detected
0	bolter	1007616	146390	-	1	false
1	bolter	1007616	99497	-	1	false
2	bolter	1007616	94875	-	1	false
3	bolter	1007616	398211	-	1	false
4	bolter	1007616	761517	-	1	true
5	bolter	1007616	46642	-	1	false
6	bolter	1007616	995628	-	1	true
7	bolter	1007616	133079	-	1	true
8	bolter	1007616	706568	-	1	true
9	bolter	1007616	105141	-	1	false
10	bolter	1007616	712153	-	1	true
11	bolter	1007616	999553	-	1	true
12	bolter	1007616	781788	-	1	true
13	bolter	1007616	146326	-	1	true
14	bolter	1007616	358481	-	1	false
15	bolter	1007616	377451	-	1	false
16	bolter	1007616	879322	-	1	true
17	bolter	1007616	728644	-	1	true
18	bolter	1007616	907811	-	1	true
19	bolter	1007616	14788	-	1	false
20	bolter	1007616	89160	-	1	false
21	bolter	1007616	880407	-	1	true
22	bolter	1007616	280272	-	1	false
23	bolter	1007616	911275	-	1	true
24	bolter	1007616	191363	-	1	true
25	bolter	1007616	631329	-	1	true
26	bolter	1007616	269226	-	1	false
27	bolter	1007616	261275	-	1	false
28	bolter	1007616	67348	-	1	false
29	bolter	1007616	433352	-	1	false
30	bolter	1007616	762096	-	1	true
31	bolter	1007616	607499	-	1	true
32	bolter	1007616	555190	-	1	true
33	bolter	1007616	572902	-	1	true
34	bolter	1007616	639733	-	1	true
35	bolter	1007616	9448	-	1	false
36	bolter	1007616	297114	-	1	false
37	bolter	1007616	72047	-	1	false
38	bolter	1007616	5846	-	1	false
39	bolter	1007616	247990	-	1	false
40	bolter	1007616	766370	-	1	true
41	bolter	1007616	41787	-	1	false
42	bolter	1007616	714735	-	1	true
43	bolter	1007616	177308	-	1	false
44	bolter	1007616	914158	-	1	true
45	bolter	1007616	653018	-	1	true
46	bolter	1007616	691514	-	1	true
47	bolter	1007616	279392	-	1	false
48	bolter	1007616	229017	-	1	false
49	bolter	1007616	592341	-	1	true
50	bolter	1007616	675990	-	1	true
51	bolter	1007616	831512	-	1	true
52	bolter	1007616	622370	-	1	true
53	bolter	1007616	471685	-	1	false
54	bolter	1007616	567778	-	1	false
55	bolter	1007616	158356	-	1	false
56	bolter	1007616	701391	-	1	false
57	bolter	1007616	979612	-	1	false
58	bolter	1007616	136687	-	1	false
59	bolter	1007616	520711	-	1	true
60	bolter	1007616	424008	-	1	false
61	bolter	1007616	440985	-	1	false
62	bolter	1007616	190577	-	1	false
63	bolter	1007616	374043	-	1	false
64	bolter	1007616	278656	-	1	false
65	bolter	1007616	36720	-	1	false
66	bolter	1007616	932251	-	1	true
67	bolter	1007616	434736	-	1	true
68	bolter	1007616	99754	-	1	false
69	bolter	1007616	969740	-	1	true
70	bolter	1007616	463391	-	1	false
71	bolter	1007616	656463	-	1	true
72	bolter	1007616	754068	-	1	true
73	bolter	1007616	688502	-	1	true
74	bolter	1007616	647252	-	1	true
75	bolter	1007616	73637	-	1	false
76	bolter	1007616	865019	-	1	true
77	bolter	1007616	233014	-	1	true
78	bolter	1007616	578496	-	1	false
79	bolter	1007616	885824	-	1	false
80	bolter	1007616	445947	-	1	false
81	bolter	1007616	181119	-	1	true
82	bolter	1007616	933950	-	1	true
83	bolter	1007616	254335	-	1	true
84	bolter	1007616	771793	-	1	true
85	bolter	1007616	409990	-	1	false
86	bolter	1007616	490077	-	1	false
87	bolter	1007616	238872	-	1	false
88	bolter	1007616	49970	-	1	false
89	bolter	1007616	742136	-	1	false
90	bolter	1007616	380510	-	1	true
91	bolter	1007616	598422	-	1	true
92	bolter	1007616	238281	-	1	false
93	bolter	1007616	405923	-	1	true
94	bolter	1007616	408753	-	1	true
95	bolter	1007616	514973	-	1	true
96	bolter	1007616	713831	-	1	true
97	bolter	1007616	703674	-	1	true
98	bolter	1007616	682349	-	1	true
99	bolter	1007616	743058	-	1	true
