# seed=42 mode=shotgun file=sample.svg filesize=30151
trial	mode	filesize	off	bit	span	detected
0	shotgun	30151	6134	-	4096	true
1	shotgun	30151	21927	-	4096	true
2	shotgun	30151	6523	-	4096	true
3	shotgun	30151	8976	-	4096	true
4	shotgun	30151	9409	-	4096	true
5	shotgun	30151	23778	-	4096	true
6	shotgun	30151	15521	-	4096	true
7	shotgun	30151	1746	-	4096	true
8	shotgun	30151	6455	-	4096	true
9	shotgun	30151	6518	-	4096	true
10	shotgun	30151	18513	-	4096	true
11	shotgun	30151	17057	-	4096	true
12	shotgun	30151	16261	-	4096	true
13	shotgun	30151	18478	-	4096	true
14	shotgun	30151	15236	-	4096	true
15	shotgun	30151	7115	-	4096	true
16	shotgun	30151	7681	-	4096	true
17	shotgun	30151	14770	-	4096	true
18	shotgun	30151	4437	-	4096	true
19	shotgun	30151	16775	-	4096	true
20	shotgun	30151	12895	-	4096	true
21	shotgun	30151	8184	-	4096	true
22	shotgun	30151	3071	-	4096	true
23	shotgun	30151	12939	-	4096	true
24	shotgun	30151	11027	-	4096	true
25	shotgun	30151	2075	-	4096	true
26	shotgun	30151	11111	-	4096	true
27	shotgun	30151	13085	-	4096	true
28	shotgun	30151	16229	-	4096	true
29	shotgun	30151	8951	-	4096	true
30	shotgun	30151	17011	-	4096	true
31	shotgun	30151	24841	-	4096	true
32	shotgun	30151	22459	-	4096	true
33	shotgun	30151	4215	-	4096	true
34	shotgun	30151	22127	-	4096	true
35	shotgun	30151	8440	-	4096	true
36	shotgun	30151	12390	-	4096	true
37	shotgun	30151	24165	-	4096	true
38	shotgun	30151	24943	-	4096	true
39	shotgun	30151	14406	-	4096	true
40	shotgun	30151	14140	-	4096	true
41	shotgun	30151	8841	-	4096	true
42	shotgun	30151	2003	-	4096	true
43	shotgun	30151	12480	-	4096	true
44	shotgun	30151	876	-	4096	true
45	shotgun	30151	20179	-	4096	true
46	shotgun	30151	23373	-	4096	true
47	shotgun	30151	7634	-	4096	true
48	shotgun	30151	7061	-	4096	true
49	shotgun	30151	3386	-	4096	true
50	shotgun	30151	3135	-	4096	true
51	shotgun	30151	13491	-	4096	true
52	shotgun	30151	12951	-	4096	true
53	shotgun	30151	7661	-	4096	true
54	shotgun	30151	9130	-	4096	true
55	shotgun	30151	8981	-	4096	true
56	shotgun	30151	25733	-	4096	true
57	shotgun	30151	1325	-	4096	true
58	shotgun	30151	23529	-	4096	true
59	shotgun	30151	9179	-	4096	true
60	shotgun	30151	11576	-	4096	true
61	shotgun	30151	3250	-	4096	true
62	shotgun	30151	10423	-	4096	true
63	shotgun	30151	23965	-	4096	true
64	shotgun	30151	22776	-	4096	true
65	shotgun	30151	4988	-	4096	true
66	shotgun	30151	1523	-	4096	true
67	shotgun	30151	25683	-	4096	true
68	shotgun	30151	11290	-	4096	true
69	shotgun	30151	8053	-	4096	true
70	shotgun	30151	162	-	4096	false
71	shotgun	30151	19871	-	4096	true
72	shotgun	30151	23754	-	4096	true
73	shotgun	30151	23092	-	4096	true
74	shotgun	30151	15285	-	4096	true
75	shotgun	30151	15798	-	4096	true
76	shotgun	30151	23995	-	4096	true
77	shotgun	30151	19558	-	4096	true
78	shotgun	30151	1210	-	4096	true
79	shotgun	30151	8314	-	4096	true
80	shotgun	30151	11878	-	4096	true
81	shotgun	30151	13287	-	4096	true
82	shotgun	30151	17382	-	4096	true
83	shotgun	30151	18085	-	4096	true
84	shotgun	30151	6898	-	4096	true
85	shotgun	30151	17803	-	4096	true
86	shotgun	30151	4578	-	4096	true
87	shotgun	30151	8544	-	4096	true
88	shotgun	30151	5223	-	4096	true
89	shotgun	30151	1706	-	4096	true
90	shotgun	30151	14931	-	4096	true
91	shotgun	30151	1798	-	4096	true
92	shotgun	30151	19143	-	4096	true
93	shotgun	30151	5657	-	4096	true
94	shotgun	30151	2004	-	4096	true
95	shotgun	30151	7767	-	4096	true
96	shotgun	30151	18354	-	4096	true
97	shotgun	30151	12135	-	4096	true
98	shotgun	30151	14970	-	4096	true
99	shotgun	30151	18950	-	4096	true
