# seed=42 mode=sniper file=sample.svg filesize=30151
trial	mode	filesize	off	bit	span	detected
0	sniper	30151	27144	1	1	true
1	sniper	30151	12652	3	1	false
2	sniper	30151	28049	2	1	false
3	sniper	30151	7210	7	1	true
4	sniper	30151	20806	5	1	true
5	sniper	30151	24440	1	1	true
6	sniper	30151	27834	6	1	false
7	sniper	30151	2518	3	1	true
8	sniper	30151	13906	4	1	true
9	sniper	30151	16880	4	1	true
10	sniper	30151	15097	7	1	true
11	sniper	30151	20417	3	1	true
12	sniper	30151	27097	1	1	false
13	sniper	30151	12611	3	1	true
14	sniper	30151	21646	0	1	false
15	sniper	30151	29344	3	1	false
16	sniper	30151	3971	6	1	false
17	sniper	30151	19658	0	1	true
18	sniper	30151	774	7	1	true
19	sniper	30151	18300	6	1	false
20	sniper	30151	15098	3	1	true
21	sniper	30151	26630	4	1	true
22	sniper	30151	6246	2	1	true
23	sniper	30151	21677	0	1	false
24	sniper	30151	12751	5	1	true
25	sniper	30151	14474	0	1	false
26	sniper	30151	26041	5	1	false
27	sniper	30151	4464	4	1	true
28	sniper	30151	10869	4	1	false
29	sniper	30151	13683	7	1	true
30	sniper	30151	9838	1	1	true
31	sniper	30151	5716	3	1	false
32	sniper	30151	10176	0	1	true
33	sniper	30151	22297	0	1	false
34	sniper	30151	5596	4	1	false
35	sniper	30151	23114	7	1	true
36	sniper	30151	23965	6	1	true
37	sniper	30151	29825	5	1	false
38	sniper	30151	17552	6	1	false
39	sniper	30151	7933	0	1	true
40	sniper	30151	3737	7	1	true
41	sniper	30151	25876	7	1	true
42	sniper	30151	4327	6	1	true
43	sniper	30151	24408	0	1	true
44	sniper	30151	8688	0	1	false
45	sniper	30151	27446	6	1	false
46	sniper	30151	15056	3	1	true
47	sniper	30151	30012	5	1	true
48	sniper	30151	9960	2	1	false
49	sniper	30151	6177	2	1	false
50	sniper	30151	4192	2	1	true
51	sniper	30151	16535	3	1	false
52	sniper	30151	25285	7	1	true
53	sniper	30151	18942	2	1	false
54	sniper	30151	21583	6	1	true
55	sniper	30151	17655	7	1	true
56	sniper	30151	30121	6	1	false
57	sniper	30151	28033	6	1	false
58	sniper	30151	2738	1	1	false
59	sniper	30151	730	2	1	false
60	sniper	30151	28560	4	1	false
61	sniper	30151	926	2	1	false
62	sniper	30151	13070	5	1	true
63	sniper	30151	22331	7	1	true
64	sniper	30151	20658	0	1	false
65	sniper	30151	4102	0	1	false
66	sniper	30151	358	3	1	false
67	sniper	30151	9667	7	1	true
68	sniper	30151	22711	1	1	false
69	sniper	30151	19294	3	1	true
70	sniper	30151	21389	2	1	false
71	sniper	30151	5013	6	1	true
72	sniper	30151	20205	2	1	false
73	sniper	30151	27797	4	1	false
74	sniper	30151	9623	2	1	true
75	sniper	30151	7785	2	1	false
76	sniper	30151	9585	0	1	true
77	sniper	30151	16907	4	1	false
78	sniper	30151	6906	2	1	false
79	sniper	30151	27405	4	1	false
80	sniper	30151	1111	2	1	false
81	sniper	30151	21856	3	1	false
82	sniper	30151	18063	0	1	false
83	sniper	30151	25663	2	1	true
84	sniper	30151	12369	2	1	false
85	sniper	30151	9196	3	1	false
86	sniper	30151	29698	6	1	false
87	sniper	30151	26830	6	1	false
88	sniper	30151	23591	0	1	false
89	sniper	30151	17611	5	1	false
90	sniper	30151	25891	6	1	false
91	sniper	30151	27509	4	1	false
92	sniper	30151	4036	2	1	false
93	sniper	30151	24531	3	1	true
94	sniper	30151	2351	4	1	true
95	sniper	30151	24429	7	1	true
96	sniper	30151	22916	6	1	false
97	sniper	30151	28049	2	1	false
98	sniper	30151	2444	0	1	false
99	sniper	30151	16526	7	1	true
