# seed=42 mode=bolter file=cws_sample.swf filesize=24202
trial	mode	filesize	off	bit	span	detected
0	bolter	24202	16030	-	1	true
1	bolter	24202	3819	-	1	true
2	bolter	24202	1587	-	1	true
3	bolter	24202	22699	-	1	true
4	bolter	24202	19933	-	1	true
5	bolter	24202	21726	-	1	true
6	bolter	24202	6176	-	1	true
7	bolter	24202	7863	-	1	true
8	bolter	24202	12282	-	1	true
9	bolter	24202	4249	-	1	true
10	bolter	24202	2813	-	1	true
11	bolter	24202	3973	-	1	true
12	bolter	24202	20062	-	1	true
13	bolter	24202	23828	-	1	true
14	bolter	24202	829	-	1	true
15	bolter	24202	8671	-	1	true
16	bolter	24202	13318	-	1	true
17	bolter	24202	15080	-	1	true
18	bolter	24202	11003	-	1	true
19	bolter	24202	18188	-	1	true
20	bolter	24202	10720	-	1	true
21	bolter	24202	12499	-	1	true
22	bolter	24202	4736	-	1	true
23	bolter	24202	14325	-	1	true
24	bolter	24202	1995	-	1	true
25	bolter	24202	12173	-	1	true
26	bolter	24202	20668	-	1	true
27	bolter	24202	7211	-	1	true
28	bolter	24202	19480	-	1	true
29	bolter	24202	12990	-	1	true
30	bolter	24202	17964	-	1	true
31	bolter	24202	13781	-	1	true
32	bolter	24202	13468	-	1	true
33	bolter	24202	23464	-	1	true
34	bolter	24202	7549	-	1	true
35	bolter	24202	1590	-	1	true
36	bolter	24202	4642	-	1	true
37	bolter	24202	24107	-	1	true
38	bolter	24202	9716	-	1	true
39	bolter	24202	8846	-	1	true
40	bolter	24202	1554	-	1	true
41	bolter	24202	2423	-	1	true
42	bolter	24202	22279	-	1	true
43	bolter	24202	12712	-	1	true
44	bolter	24202	18672	-	1	true
45	bolter	24202	14318	-	1	true
46	bolter	24202	13970	-	1	true
47	bolter	24202	15768	-	1	true
48	bolter	24202	3329	-	1	true
49	bolter	24202	3489	-	1	true
50	bolter	24202	10516	-	1	true
51	bolter	24202	18098	-	1	true
52	bolter	24202	23036	-	1	true
53	bolter	24202	6087	-	1	true
54	bolter	24202	6656	-	1	true
55	bolter	24202	1402	-	1	true
56	bolter	24202	6511	-	1	true
57	bolter	24202	21398	-	1	true
58	bolter	24202	17549	-	1	true
59	bolter	24202	22357	-	1	true
60	bolter	24202	1730	-	1	true
61	bolter	24202	19167	-	1	true
62	bolter	24202	6679	-	1	true
63	bolter	24202	10529	-	1	true
64	bolter	24202	10848	-	1	true
65	bolter	24202	606	-	1	true
66	bolter	24202	13161	-	1	true
67	bolter	24202	11972	-	1	true
68	bolter	24202	22746	-	1	true
69	bolter	24202	3640	-	1	true
70	bolter	24202	20053	-	1	true
71	bolter	24202	6929	-	1	true
72	bolter	24202	8200	-	1	true
73	bolter	24202	18042	-	1	true
74	bolter	24202	3386	-	1	true
75	bolter	24202	14743	-	1	true
76	bolter	24202	917	-	1	true
77	bolter	24202	4390	-	1	true
78	bolter	24202	5792	-	1	true
79	bolter	24202	2542	-	1	true
80	bolter	24202	1797	-	1	true
81	bolter	24202	5813	-	1	true
82	bolter	24202	7094	-	1	true
83	bolter	24202	18165	-	1	true
84	bolter	24202	4369	-	1	true
85	bolter	24202	21232	-	1	true
86	bolter	24202	13185	-	1	true
87	bolter	24202	12166	-	1	true
88	bolter	24202	18212	-	1	true
89	bolter	24202	16540	-	1	true
90	bolter	24202	7002	-	1	true
91	bolter	24202	7870	-	1	true
92	bolter	24202	6755	-	1	true
93	bolter	24202	12325	-	1	true
94	bolter	24202	21475	-	1	true
95	bolter	24202	15563	-	1	true
96	bolter	24202	6165	-	1	true
97	bolter	24202	846	-	1	true
98	bolter	24202	2125	-	1	true
99	bolter	24202	2480	-	1	true
