# seed=42 mode=sniper file=sample.tga filesize=11564
trial	mode	filesize	off	bit	span	detected
0	sniper	11564	2090	1	1	false
1	sniper	11564	10223	3	1	false
2	sniper	11564	4105	2	1	false
3	sniper	11564	1884	7	1	false
4	sniper	11564	11400	5	1	false
5	sniper	11564	1385	1	1	false
6	sniper	11564	7644	6	1	false
7	sniper	11564	3333	3	1	false
8	sniper	11564	1102	4	1	false
9	sniper	11564	839	4	1	false
10	sniper	11564	9196	7	1	false
11	sniper	11564	1732	3	1	false
12	sniper	11564	3371	1	1	false
13	sniper	11564	2666	3	1	false
14	sniper	11564	5388	0	1	false
15	sniper	11564	2108	3	1	false
16	sniper	11564	3642	6	1	false
17	sniper	11564	2949	0	1	false
18	sniper	11564	8334	7	1	false
19	sniper	11564	8038	6	1	false
20	sniper	11564	2006	3	1	false
21	sniper	11564	2971	4	1	false
22	sniper	11564	6802	2	1	false
23	sniper	11564	1038	0	1	false
24	sniper	11564	4405	5	1	false
25	sniper	11564	678	0	1	false
26	sniper	11564	1782	5	1	false
27	sniper	11564	6270	4	1	false
28	sniper	11564	7343	4	1	false
29	sniper	11564	10995	7	1	false
30	sniper	11564	7064	1	1	false
31	sniper	11564	1233	3	1	false
32	sniper	11564	10700	0	1	false
33	sniper	11564	1991	0	1	false
34	sniper	11564	10534	4	1	false
35	sniper	11564	1647	7	1	false
36	sniper	11564	6660	6	1	false
37	sniper	11564	6400	5	1	false
38	sniper	11564	2387	6	1	false
39	sniper	11564	10920	0	1	false
40	sniper	11564	3739	7	1	false
41	sniper	11564	11034	7	1	false
42	sniper	11564	1161	6	1	false
43	sniper	11564	10565	0	1	false
44	sniper	11564	186	0	1	false
45	sniper	11564	10862	6	1	false
46	sniper	11564	1745	3	1	false
47	sniper	11564	6357	5	1	false
48	sniper	11564	9247	2	1	false
49	sniper	11564	11241	2	1	false
50	sniper	11564	3053	2	1	false
51	sniper	11564	4369	3	1	false
52	sniper	11564	10904	7	1	false
53	sniper	11564	1618	2	1	false
54	sniper	11564	6220	6	1	false
55	sniper	11564	3051	7	1	false
56	sniper	11564	9487	6	1	false
57	sniper	11564	3169	6	1	false
58	sniper	11564	7603	1	1	false
59	sniper	11564	1459	2	1	false
60	sniper	11564	3381	4	1	false
61	sniper	11564	2670	2	1	false
62	sniper	11564	8176	5	1	false
63	sniper	11564	3506	7	1	false
64	sniper	11564	8634	0	1	false
65	sniper	11564	1296	0	1	false
66	sniper	11564	11417	3	1	false
67	sniper	11564	5454	7	1	false
68	sniper	11564	3534	1	1	false
69	sniper	11564	10591	3	1	false
70	sniper	11564	7687	2	1	false
71	sniper	11564	10753	6	1	false
72	sniper	11564	1209	2	1	false
73	sniper	11564	673	4	1	false
74	sniper	11564	2389	2	1	false
75	sniper	11564	6305	2	1	false
76	sniper	11564	10452	0	1	false
77	sniper	11564	7505	4	1	false
78	sniper	11564	4991	2	1	false
79	sniper	11564	7202	4	1	false
80	sniper	11564	11151	2	1	false
81	sniper	11564	9553	3	1	false
82	sniper	11564	5105	0	1	false
83	sniper	11564	2885	2	1	false
84	sniper	11564	596	2	1	false
85	sniper	11564	5987	3	1	false
86	sniper	11564	6899	6	1	false
87	sniper	11564	7766	6	1	false
88	sniper	11564	9638	0	1	false
89	sniper	11564	130	5	1	false
90	sniper	11564	8472	6	1	false
91	sniper	11564	9289	4	1	false
92	sniper	11564	6637	2	1	false
93	sniper	11564	1401	3	1	false
94	sniper	11564	7889	4	1	false
95	sniper	11564	2761	7	1	false
96	sniper	11564	7697	6	1	false
97	sniper	11564	8125	2	1	false
98	sniper	11564	5739	0	1	false
99	sniper	11564	3090	7	1	false
