# seed=42 mode=sniper file=sample.ogv filesize=51561
trial	mode	filesize	off	bit	span	detected
0	sniper	51561	44330	1	1	true
1	sniper	51561	23988	3	1	true
2	sniper	51561	21495	2	1	true
3	sniper	51561	25434	7	1	true
4	sniper	51561	3587	5	1	true
5	sniper	51561	19435	1	1	true
6	sniper	51561	4881	6	1	true
7	sniper	51561	44612	3	1	true
8	sniper	51561	26893	4	1	true
9	sniper	51561	45938	4	1	true
10	sniper	51561	48909	7	1	true
11	sniper	51561	18921	3	1	true
12	sniper	51561	20729	1	1	true
13	sniper	51561	16284	3	1	true
14	sniper	51561	43738	0	1	true
15	sniper	51561	36042	3	1	true
16	sniper	51561	31426	6	1	true
17	sniper	51561	32560	0	1	true
18	sniper	51561	34275	7	1	true
19	sniper	51561	30311	6	1	true
20	sniper	51561	35777	3	1	true
21	sniper	51561	7662	4	1	true
22	sniper	51561	39157	2	1	true
23	sniper	51561	29384	0	1	true
24	sniper	51561	27513	5	1	true
25	sniper	51561	50874	0	1	true
26	sniper	51561	44462	5	1	true
27	sniper	51561	45742	4	1	true
28	sniper	51561	14913	4	1	true
29	sniper	51561	32065	7	1	true
30	sniper	51561	25227	1	1	true
31	sniper	51561	32726	3	1	true
32	sniper	51561	16210	0	1	true
33	sniper	51561	11173	0	1	true
34	sniper	51561	17764	4	1	true
35	sniper	51561	34139	7	1	true
36	sniper	51561	34605	6	1	true
37	sniper	51561	27461	5	1	true
38	sniper	51561	50843	6	1	true
39	sniper	51561	1980	0	1	true
40	sniper	51561	24072	7	1	true
41	sniper	51561	33362	7	1	true
42	sniper	51561	11287	6	1	true
43	sniper	51561	25113	0	1	true
44	sniper	51561	51548	0	1	true
45	sniper	51561	45971	6	1	true
46	sniper	51561	26100	3	1	true
47	sniper	51561	39183	5	1	true
48	sniper	51561	36989	2	1	true
49	sniper	51561	51083	2	1	true
50	sniper	51561	3928	2	1	true
51	sniper	51561	15923	3	1	true
52	sniper	51561	9905	7	1	true
53	sniper	51561	40900	2	1	true
54	sniper	51561	40288	6	1	true
55	sniper	51561	41124	7	1	true
56	sniper	51561	37823	6	1	true
57	sniper	51561	19756	6	1	true
58	sniper	51561	14776	1	1	true
59	sniper	51561	39831	2	1	true
60	sniper	51561	27592	4	1	true
61	sniper	51561	33435	2	1	true
62	sniper	51561	48104	5	1	true
63	sniper	51561	6394	7	1	true
64	sniper	51561	27911	0	1	true
65	sniper	51561	51159	0	1	true
66	sniper	51561	31281	3	1	true
67	sniper	51561	33523	7	1	true
68	sniper	51561	49454	1	1	true
69	sniper	51561	10800	3	1	true
70	sniper	51561	36739	2	1	true
71	sniper	51561	35048	6	1	true
72	sniper	51561	50459	2	1	true
73	sniper	51561	74	4	1	true
74	sniper	51561	27964	2	1	true
75	sniper	51561	37864	2	1	true
76	sniper	51561	14444	0	1	true
77	sniper	51561	13447	4	1	true
78	sniper	51561	22437	2	1	true
79	sniper	51561	41031	4	1	true
80	sniper	51561	16034	2	1	true
81	sniper	51561	7827	3	1	true
82	sniper	51561	38604	0	1	true
83	sniper	51561	23454	2	1	true
84	sniper	51561	47301	2	1	true
85	sniper	51561	45781	3	1	true
86	sniper	51561	7790	6	1	true
87	sniper	51561	3539	6	1	true
88	sniper	51561	23793	0	1	true
89	sniper	51561	33568	5	1	true
90	sniper	51561	39935	6	1	true
91	sniper	51561	6224	4	1	true
92	sniper	51561	7519	2	1	true
93	sniper	51561	41789	3	1	true
94	sniper	51561	43071	4	1	true
95	sniper	51561	46343	7	1	true
96	sniper	51561	34077	6	1	true
97	sniper	51561	39744	2	1	true
98	sniper	51561	24111	0	1	true
99	sniper	51561	13114	7	1	true
