# seed=42 mode=bolter file=bali.tif filesize=179378
trial	mode	filesize	off	bit	span	detected
0	bolter	179378	89474	-	1	true
1	bolter	179378	97429	-	1	true
2	bolter	179378	94873	-	1	true
3	bolter	179378	38139	-	1	true
4	bolter	179378	163273	-	1	true
5	bolter	179378	142058	-	1	true
6	bolter	179378	63798	-	1	true
7	bolter	179378	86869	-	1	true
8	bolter	179378	159416	-	1	true
9	bolter	179378	29347	-	1	true
10	bolter	179378	68643	-	1	true
11	bolter	179378	78525	-	1	true
12	bolter	179378	30936	-	1	true
13	bolter	179378	35220	-	1	true
14	bolter	179378	10803	-	1	true
15	bolter	179378	144635	-	1	true
16	bolter	179378	47606	-	1	false
17	bolter	179378	121012	-	1	true
18	bolter	179378	134419	-	1	true
19	bolter	179378	128422	-	1	true
20	bolter	179378	43516	-	1	true
21	bolter	179378	23615	-	1	true
22	bolter	179378	117514	-	1	true
23	bolter	179378	107169	-	1	true
24	bolter	179378	25131	-	1	true
25	bolter	179378	81171	-	1	true
26	bolter	179378	80080	-	1	true
27	bolter	179378	138901	-	1	true
28	bolter	179378	47060	-	1	true
29	bolter	179378	62762	-	1	true
30	bolter	179378	117834	-	1	true
31	bolter	179378	12451	-	1	true
32	bolter	179378	107212	-	1	true
33	bolter	179378	19176	-	1	true
34	bolter	179378	168087	-	1	false
35	bolter	179378	52364	-	1	true
36	bolter	179378	157272	-	1	true
37	bolter	179378	84065	-	1	true
38	bolter	179378	83232	-	1	true
39	bolter	179378	47668	-	1	false
40	bolter	179378	38054	-	1	true
41	bolter	179378	83577	-	1	true
42	bolter	179378	140913	-	1	true
43	bolter	179378	159650	-	1	true
44	bolter	179378	172134	-	1	true
45	bolter	179378	136576	-	1	true
46	bolter	179378	3958	-	1	true
47	bolter	179378	148754	-	1	true
48	bolter	179378	68043	-	1	true
49	bolter	179378	77683	-	1	true
50	bolter	179378	64506	-	1	true
51	bolter	179378	165086	-	1	false
52	bolter	179378	148190	-	1	true
53	bolter	179378	119031	-	1	true
54	bolter	179378	88904	-	1	true
55	bolter	179378	15322	-	1	true
56	bolter	179378	136019	-	1	true
57	bolter	179378	59052	-	1	true
58	bolter	179378	76953	-	1	true
59	bolter	179378	103257	-	1	true
60	bolter	179378	3830	-	1	true
61	bolter	179378	44099	-	1	true
62	bolter	179378	63415	-	1	true
63	bolter	179378	122349	-	1	true
64	bolter	179378	66780	-	1	false
65	bolter	179378	4600	-	1	true
66	bolter	179378	17795	-	1	true
67	bolter	179378	37568	-	1	true
68	bolter	179378	31382	-	1	true
69	bolter	179378	54346	-	1	true
70	bolter	179378	107451	-	1	true
71	bolter	179378	19059	-	1	false
72	bolter	179378	69142	-	1	true
73	bolter	179378	110264	-	1	true
74	bolter	179378	155132	-	1	true
75	bolter	179378	78329	-	1	true
76	bolter	179378	153705	-	1	true
77	bolter	179378	149802	-	1	true
78	bolter	179378	84592	-	1	true
79	bolter	179378	35422	-	1	true
80	bolter	179378	84653	-	1	true
81	bolter	179378	96967	-	1	true
82	bolter	179378	90402	-	1	true
83	bolter	179378	133839	-	1	true
84	bolter	179378	54277	-	1	false
85	bolter	179378	141296	-	1	true
86	bolter	179378	172547	-	1	true
87	bolter	179378	109922	-	1	true
88	bolter	179378	72226	-	1	true
89	bolter	179378	36642	-	1	true
90	bolter	179378	50958	-	1	true
91	bolter	179378	116636	-	1	true
92	bolter	179378	42937	-	1	true
93	bolter	179378	10537	-	1	true
94	bolter	179378	36001	-	1	true
95	bolter	179378	151333	-	1	true
96	bolter	179378	83751	-	1	true
97	bolter	179378	116234	-	1	true
98	bolter	179378	37899	-	1	true
99	bolter	179378	88278	-	1	true
