# seed=42 mode=bolter file=pc260001.tif filesize=936524
trial	mode	filesize	off	bit	span	detected
0	bolter	936524	526118	-	1	false
1	bolter	936524	354701	-	1	false
2	bolter	936524	84615	-	1	false
3	bolter	936524	475475	-	1	false
4	bolter	936524	268833	-	1	false
5	bolter	936524	409922	-	1	false
6	bolter	936524	516500	-	1	false
7	bolter	936524	501303	-	1	false
8	bolter	936524	63056	-	1	false
9	bolter	936524	472137	-	1	false
10	bolter	936524	151657	-	1	false
11	bolter	936524	379873	-	1	false
12	bolter	936524	754256	-	1	false
13	bolter	936524	611946	-	1	false
14	bolter	936524	705749	-	1	false
15	bolter	936524	285403	-	1	false
16	bolter	936524	343482	-	1	false
17	bolter	936524	180460	-	1	false
18	bolter	936524	701935	-	1	false
19	bolter	936524	419172	-	1	false
20	bolter	936524	568320	-	1	false
21	bolter	936524	191703	-	1	false
22	bolter	936524	816564	-	1	false
23	bolter	936524	492559	-	1	false
24	bolter	936524	283427	-	1	false
25	bolter	936524	709837	-	1	false
26	bolter	936524	750438	-	1	false
27	bolter	936524	647983	-	1	false
28	bolter	936524	271188	-	1	false
29	bolter	936524	243504	-	1	false
30	bolter	936524	379540	-	1	false
31	bolter	936524	60963	-	1	false
32	bolter	936524	311522	-	1	false
33	bolter	936524	346490	-	1	false
34	bolter	936524	16369	-	1	false
35	bolter	936524	750388	-	1	false
36	bolter	936524	454518	-	1	false
37	bolter	936524	899283	-	1	false
38	bolter	936524	49406	-	1	false
39	bolter	936524	500722	-	1	false
40	bolter	936524	896662	-	1	false
41	bolter	936524	591635	-	1	false
42	bolter	936524	434067	-	1	false
43	bolter	936524	216360	-	1	false
44	bolter	936524	861970	-	1	false
45	bolter	936524	201826	-	1	false
46	bolter	936524	114990	-	1	false
47	bolter	936524	791432	-	1	false
48	bolter	936524	917769	-	1	false
49	bolter	936524	293609	-	1	false
50	bolter	936524	230550	-	1	false
51	bolter	936524	649904	-	1	false
52	bolter	936524	34746	-	1	false
53	bolter	936524	740865	-	1	false
54	bolter	936524	420666	-	1	false
55	bolter	936524	390132	-	1	false
56	bolter	936524	6515	-	1	false
57	bolter	936524	589656	-	1	false
58	bolter	936524	23295	-	1	false
59	bolter	936524	758239	-	1	false
60	bolter	936524	29108	-	1	false
61	bolter	936524	46489	-	1	false
62	bolter	936524	220581	-	1	false
63	bolter	936524	269263	-	1	false
64	bolter	936524	849880	-	1	false
65	bolter	936524	60972	-	1	false
66	bolter	936524	821735	-	1	false
67	bolter	936524	458164	-	1	false
68	bolter	936524	679186	-	1	false
69	bolter	936524	389516	-	1	false
70	bolter	936524	9727	-	1	false
71	bolter	936524	385667	-	1	false
72	bolter	936524	12756	-	1	false
73	bolter	936524	409902	-	1	false
74	bolter	936524	516604	-	1	false
75	bolter	936524	559389	-	1	false
76	bolter	936524	68627	-	1	false
77	bolter	936524	408094	-	1	false
78	bolter	936524	295388	-	1	false
79	bolter	936524	79156	-	1	false
80	bolter	936524	461167	-	1	false
81	bolter	936524	812755	-	1	false
82	bolter	936524	218522	-	1	false
83	bolter	936524	654195	-	1	false
84	bolter	936524	751273	-	1	false
85	bolter	936524	305630	-	1	false
86	bolter	936524	2725	-	1	false
87	bolter	936524	95896	-	1	false
88	bolter	936524	635978	-	1	false
89	bolter	936524	632848	-	1	false
90	bolter	936524	918450	-	1	false
91	bolter	936524	97498	-	1	false
92	bolter	936524	579361	-	1	false
93	bolter	936524	571551	-	1	false
94	bolter	936524	613417	-	1	false
95	bolter	936524	287317	-	1	false
96	bolter	936524	774259	-	1	false
97	bolter	936524	80698	-	1	false
98	bolter	936524	578409	-	1	false
99	bolter	936524	93390	-	1	false
