# seed=42 mode=shotgun file=cmyk_ycck_decode_overrun_repro.jpg filesize=43629
trial	mode	filesize	off	bit	span	detected
0	shotgun	43629	22436	-	4096	true
1	shotgun	43629	34753	-	4096	true
2	shotgun	43629	23379	-	4096	true
3	shotgun	43629	31748	-	4096	true
4	shotgun	43629	38511	-	4096	true
5	shotgun	43629	4456	-	4096	true
6	shotgun	43629	12597	-	4096	true
7	shotgun	43629	29164	-	4096	true
8	shotgun	43629	23627	-	4096	true
9	shotgun	43629	25508	-	4096	true
10	shotgun	43629	13691	-	4096	true
11	shotgun	43629	33049	-	4096	true
12	shotgun	43629	5485	-	4096	true
13	shotgun	43629	5806	-	4096	true
14	shotgun	43629	8634	-	4096	true
15	shotgun	43629	4729	-	4096	true
16	shotgun	43629	31429	-	4096	true
17	shotgun	43629	11592	-	4096	true
18	shotgun	43629	22671	-	4096	true
19	shotgun	43629	20183	-	4096	true
20	shotgun	43629	14587	-	4096	true
21	shotgun	43629	16976	-	4096	true
22	shotgun	43629	1149	-	4096	true
23	shotgun	43629	34689	-	4096	true
24	shotgun	43629	31877	-	4096	true
25	shotgun	43629	14275	-	4096	true
26	shotgun	43629	19403	-	4096	true
27	shotgun	43629	4039	-	4096	true
28	shotgun	43629	15525	-	4096	true
29	shotgun	43629	34505	-	4096	true
30	shotgun	43629	2159	-	4096	true
31	shotgun	43629	38517	-	4096	true
32	shotgun	43629	32557	-	4096	true
33	shotgun	43629	34465	-	4096	true
34	shotgun	43629	7587	-	4096	true
35	shotgun	43629	9104	-	4096	true
36	shotgun	43629	33656	-	4096	true
37	shotgun	43629	34293	-	4096	true
38	shotgun	43629	33453	-	4096	true
39	shotgun	43629	10436	-	4096	true
40	shotgun	43629	23846	-	4096	true
41	shotgun	43629	15405	-	4096	true
42	shotgun	43629	35071	-	4096	true
43	shotgun	43629	25056	-	4096	true
44	shotgun	43629	28534	-	4096	true
45	shotgun	43629	14469	-	4096	true
46	shotgun	43629	15159	-	4096	true
47	shotgun	43629	33504	-	4096	true
48	shotgun	43629	19823	-	4096	true
49	shotgun	43629	34580	-	4096	true
50	shotgun	43629	13037	-	4096	true
51	shotgun	43629	2037	-	4096	true
52	shotgun	43629	391	-	4096	true
53	shotgun	43629	65	-	4096	true
54	shotgun	43629	18502	-	4096	true
55	shotgun	43629	35665	-	4096	true
56	shotgun	43629	37807	-	4096	true
57	shotgun	43629	2703	-	4096	true
58	shotgun	43629	34825	-	4096	true
59	shotgun	43629	19715	-	4096	true
60	shotgun	43629	27678	-	4096	true
61	shotgun	43629	7786	-	4096	true
62	shotgun	43629	6205	-	4096	true
63	shotgun	43629	29755	-	4096	true
64	shotgun	43629	5412	-	4096	true
65	shotgun	43629	11460	-	4096	true
66	shotgun	43629	23321	-	4096	true
67	shotgun	43629	26089	-	4096	true
68	shotgun	43629	36330	-	4096	true
69	shotgun	43629	32653	-	4096	true
70	shotgun	43629	39462	-	4096	true
71	shotgun	43629	11445	-	4096	true
72	shotgun	43629	25876	-	4096	true
73	shotgun	43629	32392	-	4096	true
74	shotgun	43629	36817	-	4096	true
75	shotgun	43629	16582	-	4096	true
76	shotgun	43629	37205	-	4096	true
77	shotgun	43629	8434	-	4096	true
78	shotgun	43629	140	-	4096	true
79	shotgun	43629	20514	-	4096	true
80	shotgun	43629	12366	-	4096	true
81	shotgun	43629	4835	-	4096	true
82	shotgun	43629	28652	-	4096	true
83	shotgun	43629	20565	-	4096	true
84	shotgun	43629	9132	-	4096	true
85	shotgun	43629	33141	-	4096	true
86	shotgun	43629	18302	-	4096	true
87	shotgun	43629	13620	-	4096	true
88	shotgun	43629	27667	-	4096	true
89	shotgun	43629	15446	-	4096	true
90	shotgun	43629	1749	-	4096	true
91	shotgun	43629	1756	-	4096	true
92	shotgun	43629	21223	-	4096	true
93	shotgun	43629	33891	-	4096	true
94	shotgun	43629	38952	-	4096	true
95	shotgun	43629	23809	-	4096	true
96	shotgun	43629	4284	-	4096	true
97	shotgun	43629	32055	-	4096	true
98	shotgun	43629	10362	-	4096	true
99	shotgun	43629	26562	-	4096	true
