# seed=42 mode=bolter file=noto_sans_regular.ttf filesize=621572
trial	mode	filesize	off	bit	span	detected
0	bolter	621572	156062	-	1	true
1	bolter	621572	571273	-	1	true
2	bolter	621572	254523	-	1	true
3	bolter	621572	585419	-	1	true
4	bolter	621572	267025	-	1	true
5	bolter	621572	144902	-	1	true
6	bolter	621572	183100	-	1	true
7	bolter	621572	304543	-	1	true
8	bolter	621572	534580	-	1	true
9	bolter	621572	548645	-	1	true
10	bolter	621572	24905	-	1	true
11	bolter	621572	619777	-	1	true
12	bolter	621572	292656	-	1	true
13	bolter	621572	221862	-	1	true
14	bolter	621572	75713	-	1	true
15	bolter	621572	158747	-	1	true
16	bolter	621572	100082	-	1	true
17	bolter	621572	347076	-	1	true
18	bolter	621572	521947	-	1	true
19	bolter	621572	554040	-	1	true
20	bolter	621572	198336	-	1	true
21	bolter	621572	228239	-	1	true
22	bolter	621572	238220	-	1	true
23	bolter	621572	140807	-	1	true
24	bolter	621572	58391	-	1	true
25	bolter	621572	194821	-	1	true
26	bolter	621572	222158	-	1	true
27	bolter	621572	539583	-	1	true
28	bolter	621572	257780	-	1	true
29	bolter	621572	76840	-	1	true
30	bolter	621572	359416	-	1	true
31	bolter	621572	457523	-	1	true
32	bolter	621572	461414	-	1	true
33	bolter	621572	236438	-	1	true
34	bolter	621572	454505	-	1	true
35	bolter	621572	3728	-	1	true
36	bolter	621572	9510	-	1	true
37	bolter	621572	365927	-	1	true
38	bolter	621572	524330	-	1	true
39	bolter	621572	372378	-	1	true
40	bolter	621572	493266	-	1	true
41	bolter	621572	303271	-	1	true
42	bolter	621572	489051	-	1	true
43	bolter	621572	152972	-	1	true
44	bolter	621572	517018	-	1	true
45	bolter	621572	563358	-	1	true
46	bolter	621572	596486	-	1	true
47	bolter	621572	563068	-	1	true
48	bolter	621572	447729	-	1	true
49	bolter	621572	141873	-	1	true
50	bolter	621572	505434	-	1	true
51	bolter	621572	389816	-	1	true
52	bolter	621572	301298	-	1	true
53	bolter	621572	507485	-	1	true
54	bolter	621572	613954	-	1	true
55	bolter	621572	450084	-	1	true
56	bolter	621572	248059	-	1	true
57	bolter	621572	426236	-	1	true
58	bolter	621572	121483	-	1	true
59	bolter	621572	109971	-	1	true
60	bolter	621572	419000	-	1	true
61	bolter	621572	48141	-	1	true
62	bolter	621572	405525	-	1	true
63	bolter	621572	589171	-	1	true
64	bolter	621572	254860	-	1	true
65	bolter	621572	332564	-	1	true
66	bolter	621572	255027	-	1	true
67	bolter	621572	614784	-	1	true
68	bolter	621572	72554	-	1	true
69	bolter	621572	177792	-	1	true
70	bolter	621572	26343	-	1	true
71	bolter	621572	307291	-	1	true
72	bolter	621572	444272	-	1	true
73	bolter	621572	576470	-	1	true
74	bolter	621572	253164	-	1	true
75	bolter	621572	487609	-	1	true
76	bolter	621572	550207	-	1	true
77	bolter	621572	206354	-	1	true
78	bolter	621572	545216	-	1	true
79	bolter	621572	460764	-	1	true
80	bolter	621572	7827	-	1	true
81	bolter	621572	199383	-	1	true
82	bolter	621572	260122	-	1	true
83	bolter	621572	602443	-	1	true
84	bolter	621572	469517	-	1	true
85	bolter	621572	507178	-	1	true
86	bolter	621572	32629	-	1	true
87	bolter	621572	512352	-	1	true
88	bolter	621572	57670	-	1	true
89	bolter	621572	414444	-	1	true
90	bolter	621572	570050	-	1	true
91	bolter	621572	189114	-	1	true
92	bolter	621572	506025	-	1	true
93	bolter	621572	384811	-	1	true
94	bolter	621572	93409	-	1	true
95	bolter	621572	180653	-	1	true
96	bolter	621572	404215	-	1	true
97	bolter	621572	482286	-	1	true
98	bolter	621572	40025	-	1	true
99	bolter	621572	418230	-	1	true
