# seed=42 mode=shotgun file=noto_sans_regular.ttf filesize=621572
trial	mode	filesize	off	bit	span	detected
0	shotgun	621572	92257	-	4096	false
1	shotgun	621572	507274	-	4096	false
2	shotgun	621572	308989	-	4096	false
3	shotgun	621572	178521	-	4096	false
4	shotgun	621572	595136	-	4096	false
5	shotgun	621572	346874	-	4096	false
6	shotgun	621572	597287	-	4096	false
7	shotgun	621572	321163	-	4096	false
8	shotgun	621572	318411	-	4096	false
9	shotgun	621572	101568	-	4096	false
10	shotgun	621572	217002	-	4096	false
11	shotgun	621572	495953	-	4096	false
12	shotgun	621572	248013	-	4096	false
13	shotgun	621572	371963	-	4096	false
14	shotgun	621572	237753	-	4096	false
15	shotgun	621572	322847	-	4096	false
16	shotgun	621572	5838	-	4096	false
17	shotgun	621572	305381	-	4096	false
18	shotgun	621572	172628	-	4096	false
19	shotgun	621572	114430	-	4096	false
20	shotgun	621572	398652	-	4096	false
21	shotgun	621572	348679	-	4096	false
22	shotgun	621572	399192	-	4096	false
23	shotgun	621572	207901	-	4096	false
24	shotgun	621572	211023	-	4096	false
25	shotgun	621572	545764	-	4096	false
26	shotgun	621572	99821	-	4096	false
27	shotgun	621572	510850	-	4096	false
28	shotgun	621572	166395	-	4096	false
29	shotgun	621572	366898	-	4096	false
30	shotgun	621572	253268	-	4096	false
31	shotgun	621572	250852	-	4096	false
32	shotgun	621572	251557	-	4096	false
33	shotgun	621572	2591	-	4096	false
34	shotgun	621572	484484	-	4096	false
35	shotgun	621572	90485	-	4096	false
36	shotgun	621572	113003	-	4096	false
37	shotgun	621572	493605	-	4096	false
38	shotgun	621572	379680	-	4096	false
39	shotgun	621572	206762	-	4096	false
40	shotgun	621572	578775	-	4096	false
41	shotgun	621572	344872	-	4096	false
42	shotgun	621572	67641	-	4096	false
43	shotgun	621572	428866	-	4096	false
44	shotgun	621572	528542	-	4096	false
45	shotgun	621572	232078	-	4096	false
46	shotgun	621572	249238	-	4096	false
47	shotgun	621572	82535	-	4096	false
48	shotgun	621572	301468	-	4096	false
49	shotgun	621572	319976	-	4096	false
50	shotgun	621572	274098	-	4096	false
51	shotgun	621572	372828	-	4096	false
52	shotgun	621572	192805	-	4096	false
53	shotgun	621572	494541	-	4096	false
54	shotgun	621572	551711	-	4096	false
55	shotgun	621572	270627	-	4096	false
56	shotgun	621572	408340	-	4096	false
57	shotgun	621572	13318	-	4096	false
58	shotgun	621572	98251	-	4096	false
59	shotgun	621572	7982	-	4096	false
60	shotgun	621572	534847	-	4096	false
61	shotgun	621572	295744	-	4096	false
62	shotgun	621572	313887	-	4096	false
63	shotgun	621572	420573	-	4096	false
64	shotgun	621572	194281	-	4096	false
65	shotgun	621572	528610	-	4096	false
66	shotgun	621572	449391	-	4096	false
67	shotgun	621572	609931	-	4096	false
68	shotgun	621572	359487	-	4096	false
69	shotgun	621572	260208	-	4096	false
70	shotgun	621572	88637	-	4096	false
71	shotgun	621572	601374	-	4096	false
72	shotgun	621572	571707	-	4096	false
73	shotgun	621572	296015	-	4096	false
74	shotgun	621572	561697	-	4096	false
75	shotgun	621572	76064	-	4096	false
76	shotgun	621572	62682	-	4096	false
77	shotgun	621572	471291	-	4096	false
78	shotgun	621572	431927	-	4096	false
79	shotgun	621572	300196	-	4096	false
80	shotgun	621572	182153	-	4096	false
81	shotgun	621572	503508	-	4096	false
82	shotgun	621572	73956	-	4096	false
83	shotgun	621572	499305	-	4096	false
84	shotgun	621572	600622	-	4096	false
85	shotgun	621572	316095	-	4096	false
86	shotgun	621572	483495	-	4096	false
87	shotgun	621572	215073	-	4096	false
88	shotgun	621572	554977	-	4096	false
89	shotgun	621572	166850	-	4096	false
90	shotgun	621572	182785	-	4096	false
91	shotgun	621572	338152	-	4096	false
92	shotgun	621572	66571	-	4096	false
93	shotgun	621572	440081	-	4096	false
94	shotgun	621572	356809	-	4096	false
95	shotgun	621572	448429	-	4096	false
96	shotgun	621572	20945	-	4096	false
97	shotgun	621572	488761	-	4096	false
98	shotgun	621572	476694	-	4096	false
99	shotgun	621572	347712	-	4096	false
