# seed=42 mode=sniper file=sample.txf filesize=140
trial	mode	filesize	off	bit	span	detected
0	sniper	140	46	1	1	false
1	sniper	140	115	3	1	false
2	sniper	140	17	2	1	false
3	sniper	140	120	7	1	false
4	sniper	140	4	5	1	false
5	sniper	140	125	1	1	false
6	sniper	140	28	6	1	false
7	sniper	140	113	3	1	false
8	sniper	140	38	4	1	false
9	sniper	140	111	4	1	false
10	sniper	140	96	7	1	false
11	sniper	140	80	3	1	false
12	sniper	140	123	1	1	false
13	sniper	140	90	3	1	false
14	sniper	140	124	0	1	false
15	sniper	140	36	3	1	false
16	sniper	140	30	6	1	false
17	sniper	140	65	0	1	false
18	sniper	140	18	7	1	false
19	sniper	140	2	6	1	true
20	sniper	140	130	3	1	false
21	sniper	140	115	4	1	false
22	sniper	140	54	2	1	false
23	sniper	140	30	0	1	false
24	sniper	140	121	5	1	false
25	sniper	140	6	0	1	false
26	sniper	140	74	5	1	false
27	sniper	140	82	4	1	false
28	sniper	140	91	4	1	false
29	sniper	140	103	7	1	false
30	sniper	140	92	1	1	false
31	sniper	140	1	3	1	false
32	sniper	140	32	0	1	false
33	sniper	140	3	0	1	false
34	sniper	140	62	4	1	false
35	sniper	140	51	7	1	false
36	sniper	140	136	6	1	false
37	sniper	140	72	5	1	false
38	sniper	140	63	6	1	false
39	sniper	140	0	0	1	true
40	sniper	140	99	7	1	false
41	sniper	140	2	7	1	false
42	sniper	140	13	6	1	false
43	sniper	140	93	0	1	false
44	sniper	140	18	0	1	false
45	sniper	140	54	6	1	false
46	sniper	140	121	3	1	false
47	sniper	140	57	5	1	false
48	sniper	140	35	2	1	false
49	sniper	140	41	2	1	false
50	sniper	140	57	2	1	false
51	sniper	140	113	3	1	false
52	sniper	140	124	7	1	false
53	sniper	140	134	2	1	false
54	sniper	140	60	6	1	false
55	sniper	140	55	7	1	false
56	sniper	140	51	6	1	false
57	sniper	140	33	6	1	false
58	sniper	140	15	1	1	false
59	sniper	140	59	2	1	false
60	sniper	140	77	4	1	false
61	sniper	140	94	2	1	false
62	sniper	140	112	5	1	false
63	sniper	140	118	7	1	false
64	sniper	140	66	0	1	false
65	sniper	140	8	0	1	false
66	sniper	140	77	3	1	false
67	sniper	140	78	7	1	false
68	sniper	140	90	1	1	false
69	sniper	140	35	3	1	false
70	sniper	140	99	2	1	false
71	sniper	140	29	6	1	false
72	sniper	140	5	2	1	false
73	sniper	140	57	4	1	false
74	sniper	140	65	2	1	false
75	sniper	140	61	2	1	false
76	sniper	140	36	0	1	false
77	sniper	140	1	4	1	true
78	sniper	140	91	2	1	false
79	sniper	140	34	4	1	false
80	sniper	140	91	2	1	false
81	sniper	140	61	3	1	false
82	sniper	140	121	0	1	false
83	sniper	140	29	2	1	false
84	sniper	140	92	2	1	false
85	sniper	140	51	3	1	false
86	sniper	140	39	6	1	false
87	sniper	140	38	6	1	false
88	sniper	140	90	0	1	false
89	sniper	140	102	5	1	false
90	sniper	140	128	6	1	false
91	sniper	140	77	4	1	false
92	sniper	140	29	2	1	false
93	sniper	140	1	3	1	false
94	sniper	140	133	4	1	false
95	sniper	140	101	7	1	false
96	sniper	140	53	6	1	false
97	sniper	140	33	2	1	false
98	sniper	140	55	0	1	false
99	sniper	140	66	7	1	false
