# seed=42 mode=sniper file=sample.pfa filesize=174
trial	mode	filesize	off	bit	span	detected
0	sniper	174	92	1	1	false
1	sniper	174	117	3	1	false
2	sniper	174	75	2	1	false
3	sniper	174	18	7	1	false
4	sniper	174	14	5	1	false
5	sniper	174	37	1	1	false
6	sniper	174	30	6	1	false
7	sniper	174	155	3	1	false
8	sniper	174	112	4	1	false
9	sniper	174	47	4	1	false
10	sniper	174	138	7	1	false
11	sniper	174	108	3	1	false
12	sniper	174	137	1	1	false
13	sniper	174	30	3	1	false
14	sniper	174	142	0	1	false
15	sniper	174	36	3	1	false
16	sniper	174	46	6	1	false
17	sniper	174	73	0	1	false
18	sniper	174	18	7	1	false
19	sniper	174	110	6	1	false
20	sniper	174	98	3	1	false
21	sniper	174	159	4	1	false
22	sniper	174	40	2	1	false
23	sniper	174	74	0	1	false
24	sniper	174	117	5	1	false
25	sniper	174	90	0	1	false
26	sniper	174	98	5	1	false
27	sniper	174	106	4	1	false
28	sniper	174	75	4	1	false
29	sniper	174	169	7	1	false
30	sniper	174	102	1	1	false
31	sniper	174	17	3	1	false
32	sniper	174	148	0	1	false
33	sniper	174	61	0	1	false
34	sniper	174	130	4	1	false
35	sniper	174	65	7	1	false
36	sniper	174	168	6	1	false
37	sniper	174	38	5	1	false
38	sniper	174	113	6	1	false
39	sniper	174	78	0	1	false
40	sniper	174	117	7	1	false
41	sniper	174	56	7	1	false
42	sniper	174	73	6	1	false
43	sniper	174	57	0	1	false
44	sniper	174	110	0	1	false
45	sniper	174	2	6	1	false
46	sniper	174	9	3	1	false
47	sniper	174	99	5	1	false
48	sniper	174	101	2	1	false
49	sniper	174	23	2	1	false
50	sniper	174	13	2	1	false
51	sniper	174	17	3	1	false
52	sniper	174	104	7	1	false
53	sniper	174	106	2	1	false
54	sniper	174	130	6	1	false
55	sniper	174	105	7	1	false
56	sniper	174	17	6	1	false
57	sniper	174	127	6	1	false
58	sniper	174	169	1	1	false
59	sniper	174	57	2	1	false
60	sniper	174	115	4	1	false
61	sniper	174	96	2	1	false
62	sniper	174	170	5	1	false
63	sniper	174	82	7	1	false
64	sniper	174	26	0	1	false
65	sniper	174	156	0	1	false
66	sniper	174	39	3	1	false
67	sniper	174	40	7	1	false
68	sniper	174	170	1	1	false
69	sniper	174	111	3	1	false
70	sniper	174	61	2	1	false
71	sniper	174	143	6	1	false
72	sniper	174	41	2	1	false
73	sniper	174	5	4	1	false
74	sniper	174	145	2	1	false
75	sniper	174	67	2	1	false
76	sniper	174	152	0	1	false
77	sniper	174	13	4	1	false
78	sniper	174	15	2	1	false
79	sniper	174	162	4	1	false
80	sniper	174	29	2	1	false
81	sniper	174	93	3	1	false
82	sniper	174	99	0	1	false
83	sniper	174	33	2	1	false
84	sniper	174	150	2	1	false
85	sniper	174	91	3	1	false
86	sniper	174	29	6	1	false
87	sniper	174	80	6	1	false
88	sniper	174	144	0	1	false
89	sniper	174	142	5	1	false
90	sniper	174	104	6	1	false
91	sniper	174	161	4	1	false
92	sniper	174	121	2	1	false
93	sniper	174	53	3	1	false
94	sniper	174	153	4	1	false
95	sniper	174	89	7	1	false
96	sniper	174	15	6	1	false
97	sniper	174	75	2	1	false
98	sniper	174	165	0	1	false
99	sniper	174	136	7	1	false
