# seed=42 mode=sniper file=sample.vcf filesize=198
trial	mode	filesize	off	bit	span	detected
0	sniper	198	194	1	1	true
1	sniper	198	57	3	1	false
2	sniper	198	21	2	1	true
3	sniper	198	126	7	1	false
4	sniper	198	104	5	1	false
5	sniper	198	31	1	1	false
6	sniper	198	48	6	1	false
7	sniper	198	197	3	1	true
8	sniper	198	46	4	1	false
9	sniper	198	83	4	1	false
10	sniper	198	192	7	1	true
11	sniper	198	12	3	1	true
12	sniper	198	191	1	1	true
13	sniper	198	192	3	1	true
14	sniper	198	196	0	1	true
15	sniper	198	150	3	1	false
16	sniper	198	88	6	1	false
17	sniper	198	133	0	1	false
18	sniper	198	48	7	1	false
19	sniper	198	62	6	1	false
20	sniper	198	182	3	1	false
21	sniper	198	21	4	1	true
22	sniper	198	196	2	1	true
23	sniper	198	62	0	1	false
24	sniper	198	189	5	1	true
25	sniper	198	42	0	1	false
26	sniper	198	92	5	1	false
27	sniper	198	130	4	1	false
28	sniper	198	45	4	1	false
29	sniper	198	43	7	1	false
30	sniper	198	180	1	1	false
31	sniper	198	29	3	1	false
32	sniper	198	100	0	1	false
33	sniper	198	121	0	1	false
34	sniper	198	52	4	1	false
35	sniper	198	47	7	1	false
36	sniper	198	18	6	1	true
37	sniper	198	92	5	1	false
38	sniper	198	29	6	1	true
39	sniper	198	90	0	1	false
40	sniper	198	195	7	1	true
41	sniper	198	26	7	1	true
42	sniper	198	37	6	1	false
43	sniper	198	21	0	1	true
44	sniper	198	86	0	1	false
45	sniper	198	188	6	1	true
46	sniper	198	63	3	1	false
47	sniper	198	15	5	1	true
48	sniper	198	71	2	1	false
49	sniper	198	17	2	1	true
50	sniper	198	67	2	1	false
51	sniper	198	101	3	1	true
52	sniper	198	194	7	1	true
53	sniper	198	22	2	1	true
54	sniper	198	166	6	1	false
55	sniper	198	165	7	1	false
56	sniper	198	113	6	1	false
57	sniper	198	181	6	1	false
58	sniper	198	43	1	1	false
59	sniper	198	15	2	1	true
60	sniper	198	169	4	1	false
61	sniper	198	90	2	1	false
62	sniper	198	134	5	1	false
63	sniper	198	166	7	1	false
64	sniper	198	110	0	1	false
65	sniper	198	120	0	1	false
66	sniper	198	105	3	1	false
67	sniper	198	196	7	1	true
68	sniper	198	62	1	1	false
69	sniper	198	99	3	1	false
70	sniper	198	181	2	1	false
71	sniper	198	173	6	1	false
72	sniper	198	185	2	1	false
73	sniper	198	11	4	1	true
74	sniper	198	163	2	1	false
75	sniper	198	19	2	1	true
76	sniper	198	26	0	1	true
77	sniper	198	55	4	1	false
78	sniper	198	9	2	1	true
79	sniper	198	180	4	1	false
80	sniper	198	77	2	1	false
81	sniper	198	87	3	1	false
82	sniper	198	111	0	1	false
83	sniper	198	99	2	1	false
84	sniper	198	60	2	1	false
85	sniper	198	187	3	1	true
86	sniper	198	185	6	1	false
87	sniper	198	56	6	1	false
88	sniper	198	150	0	1	false
89	sniper	198	88	5	1	false
90	sniper	198	74	6	1	false
91	sniper	198	185	4	1	false
92	sniper	198	175	2	1	false
93	sniper	198	155	3	1	false
94	sniper	198	195	4	1	true
95	sniper	198	119	7	1	false
96	sniper	198	3	6	1	true
97	sniper	198	153	2	1	false
98	sniper	198	189	0	1	true
99	sniper	198	136	7	1	false
