# seed=42 mode=sniper file=sample.warc filesize=1165
trial	mode	filesize	off	bit	span	detected
0	sniper	1165	1111	1	1	true
1	sniper	1165	855	3	1	false
2	sniper	1165	1157	2	1	true
3	sniper	1165	295	7	1	true
4	sniper	1165	79	5	1	false
5	sniper	1165	635	1	1	true
6	sniper	1165	278	6	1	true
7	sniper	1165	58	3	1	false
8	sniper	1165	548	4	1	false
9	sniper	1165	701	4	1	true
10	sniper	1165	511	7	1	false
11	sniper	1165	750	3	1	false
12	sniper	1165	383	1	1	false
13	sniper	1165	865	3	1	false
14	sniper	1165	554	0	1	false
15	sniper	1165	916	3	1	false
16	sniper	1165	460	6	1	false
17	sniper	1165	245	0	1	true
18	sniper	1165	263	7	1	true
19	sniper	1165	117	6	1	false
20	sniper	1165	475	3	1	false
21	sniper	1165	1075	4	1	true
22	sniper	1165	499	2	1	false
23	sniper	1165	665	0	1	true
24	sniper	1165	1091	5	1	true
25	sniper	1165	1086	0	1	true
26	sniper	1165	109	5	1	false
27	sniper	1165	487	4	1	false
28	sniper	1165	21	4	1	false
29	sniper	1165	1133	7	1	true
30	sniper	1165	692	1	1	true
31	sniper	1165	421	3	1	true
32	sniper	1165	192	0	1	true
33	sniper	1165	293	0	1	true
34	sniper	1165	657	4	1	true
35	sniper	1165	826	7	1	false
36	sniper	1165	886	6	1	false
37	sniper	1165	1022	5	1	true
38	sniper	1165	673	6	1	true
39	sniper	1165	665	0	1	true
40	sniper	1165	194	7	1	true
41	sniper	1165	802	7	1	true
42	sniper	1165	88	6	1	false
43	sniper	1165	663	0	1	true
44	sniper	1165	308	0	1	true
45	sniper	1165	1149	6	1	true
46	sniper	1165	126	3	1	false
47	sniper	1165	207	5	1	false
48	sniper	1165	575	2	1	true
49	sniper	1165	206	2	1	true
50	sniper	1165	387	2	1	true
51	sniper	1165	1163	3	1	false
52	sniper	1165	569	7	1	true
53	sniper	1165	934	2	1	false
54	sniper	1165	90	6	1	false
55	sniper	1165	530	7	1	false
56	sniper	1165	681	6	1	true
57	sniper	1165	173	6	1	false
58	sniper	1165	230	1	1	true
59	sniper	1165	509	2	1	false
60	sniper	1165	597	4	1	true
61	sniper	1165	734	2	1	false
62	sniper	1165	682	5	1	true
63	sniper	1165	1098	7	1	true
64	sniper	1165	471	0	1	false
65	sniper	1165	798	0	1	true
66	sniper	1165	562	3	1	true
67	sniper	1165	148	7	1	false
68	sniper	1165	45	1	1	false
69	sniper	1165	800	3	1	true
70	sniper	1165	1059	2	1	true
71	sniper	1165	309	6	1	true
72	sniper	1165	135	2	1	false
73	sniper	1165	297	4	1	true
74	sniper	1165	145	2	1	false
75	sniper	1165	861	2	1	false
76	sniper	1165	291	0	1	true
77	sniper	1165	236	4	1	true
78	sniper	1165	461	2	1	false
79	sniper	1165	824	4	1	false
80	sniper	1165	776	2	1	false
81	sniper	1165	641	3	1	true
82	sniper	1165	86	0	1	false
83	sniper	1165	959	2	1	false
84	sniper	1165	272	2	1	true
85	sniper	1165	986	3	1	false
86	sniper	1165	489	6	1	false
87	sniper	1165	408	6	1	false
88	sniper	1165	490	0	1	false
89	sniper	1165	932	5	1	false
90	sniper	1165	463	6	1	false
91	sniper	1165	302	4	1	true
92	sniper	1165	819	2	1	false
93	sniper	1165	926	3	1	false
94	sniper	1165	1133	4	1	true
95	sniper	1165	486	7	1	false
96	sniper	1165	763	6	1	true
97	sniper	1165	368	2	1	false
98	sniper	1165	970	0	1	false
99	sniper	1165	376	7	1	false
