# seed=42 mode=sniper file=minimal.wasm filesize=24
trial	mode	filesize	off	bit	span	detected
0	sniper	24	14	1	1	true
1	sniper	24	3	3	1	false
2	sniper	24	21	2	1	false
3	sniper	24	12	7	1	false
4	sniper	24	8	5	1	true
5	sniper	24	1	1	1	false
6	sniper	24	12	6	1	false
7	sniper	24	17	3	1	false
8	sniper	24	10	4	1	false
9	sniper	24	11	4	1	false
10	sniper	24	0	7	1	false
11	sniper	24	0	3	1	false
12	sniper	24	11	1	1	false
13	sniper	24	18	3	1	true
14	sniper	24	4	0	1	true
15	sniper	24	0	3	1	false
16	sniper	24	22	6	1	false
17	sniper	24	13	0	1	false
18	sniper	24	18	7	1	true
19	sniper	24	14	6	1	true
20	sniper	24	2	3	1	false
21	sniper	24	15	4	1	true
22	sniper	24	22	2	1	false
23	sniper	24	2	0	1	false
24	sniper	24	9	5	1	true
25	sniper	24	6	0	1	true
26	sniper	24	2	5	1	false
27	sniper	24	10	4	1	false
28	sniper	24	15	4	1	true
29	sniper	24	7	7	1	true
30	sniper	24	0	1	1	false
31	sniper	24	17	3	1	false
32	sniper	24	16	0	1	false
33	sniper	24	19	0	1	true
34	sniper	24	10	4	1	false
35	sniper	24	23	7	1	false
36	sniper	24	12	6	1	false
37	sniper	24	20	5	1	false
38	sniper	24	11	6	1	false
39	sniper	24	0	0	1	false
40	sniper	24	3	7	1	false
41	sniper	24	14	7	1	true
42	sniper	24	1	6	1	false
43	sniper	24	21	0	1	false
44	sniper	24	2	0	1	false
45	sniper	24	14	6	1	true
46	sniper	24	9	3	1	true
47	sniper	24	9	5	1	true
48	sniper	24	23	2	1	false
49	sniper	24	5	2	1	true
50	sniper	24	1	2	1	false
51	sniper	24	5	3	1	true
52	sniper	24	8	7	1	true
53	sniper	24	22	2	1	false
54	sniper	24	4	6	1	true
55	sniper	24	15	7	1	true
56	sniper	24	11	6	1	false
57	sniper	24	13	6	1	false
58	sniper	24	7	1	1	true
59	sniper	24	3	2	1	false
60	sniper	24	1	4	1	false
61	sniper	24	6	2	1	true
62	sniper	24	20	5	1	false
63	sniper	24	22	7	1	false
64	sniper	24	2	0	1	false
65	sniper	24	12	0	1	false
66	sniper	24	9	3	1	true
67	sniper	24	10	7	1	false
68	sniper	24	14	1	1	true
69	sniper	24	3	3	1	false
70	sniper	24	19	2	1	true
71	sniper	24	5	6	1	true
72	sniper	24	5	2	1	true
73	sniper	24	5	4	1	true
74	sniper	24	13	2	1	false
75	sniper	24	13	2	1	false
76	sniper	24	8	0	1	false
77	sniper	24	13	4	1	false
78	sniper	24	3	2	1	false
79	sniper	24	18	4	1	true
80	sniper	24	11	2	1	false
81	sniper	24	21	3	1	false
82	sniper	24	21	0	1	false
83	sniper	24	21	2	1	false
84	sniper	24	0	2	1	false
85	sniper	24	7	3	1	true
86	sniper	24	11	6	1	false
87	sniper	24	14	6	1	true
88	sniper	24	6	0	1	true
89	sniper	24	22	5	1	false
90	sniper	24	20	6	1	false
91	sniper	24	17	4	1	false
92	sniper	24	1	2	1	false
93	sniper	24	17	3	1	false
94	sniper	24	9	4	1	true
95	sniper	24	17	7	1	false
96	sniper	24	9	6	1	true
97	sniper	24	21	2	1	false
98	sniper	24	3	0	1	false
99	sniper	24	10	7	1	false
