# seed=42 mode=bolter file=sample.wav filesize=8864
trial	mode	filesize	off	bit	span	detected
0	bolter	8864	7606	-	1	false
1	bolter	8864	2089	-	1	false
2	bolter	8864	1115	-	1	false
3	bolter	8864	4227	-	1	false
4	bolter	8864	269	-	1	false
5	bolter	8864	5490	-	1	false
6	bolter	8864	2028	-	1	false
7	bolter	8864	6071	-	1	false
8	bolter	8864	8392	-	1	false
9	bolter	8864	8597	-	1	false
10	bolter	8864	4121	-	1	false
11	bolter	8864	7937	-	1	false
12	bolter	8864	732	-	1	false
13	bolter	8864	3606	-	1	false
14	bolter	8864	7857	-	1	false
15	bolter	8864	6027	-	1	false
16	bolter	8864	6842	-	1	false
17	bolter	8864	164	-	1	false
18	bolter	8864	7363	-	1	false
19	bolter	8864	4068	-	1	false
20	bolter	8864	1896	-	1	false
21	bolter	8864	3767	-	1	false
22	bolter	8864	5776	-	1	false
23	bolter	8864	2379	-	1	false
24	bolter	8864	195	-	1	false
25	bolter	8864	7713	-	1	false
26	bolter	8864	5706	-	1	false
27	bolter	8864	6363	-	1	false
28	bolter	8864	5300	-	1	false
29	bolter	8864	6632	-	1	false
30	bolter	8864	4944	-	1	false
31	bolter	8864	4043	-	1	false
32	bolter	8864	3158	-	1	false
33	bolter	8864	3206	-	1	false
34	bolter	8864	5429	-	1	false
35	bolter	8864	1064	-	1	false
36	bolter	8864	2586	-	1	false
37	bolter	8864	6639	-	1	false
38	bolter	8864	1942	-	1	false
39	bolter	8864	2934	-	1	false
40	bolter	8864	5826	-	1	false
41	bolter	8864	4731	-	1	false
42	bolter	8864	1359	-	1	false
43	bolter	8864	2844	-	1	false
44	bolter	8864	5038	-	1	false
45	bolter	8864	6234	-	1	false
46	bolter	8864	6138	-	1	false
47	bolter	8864	1024	-	1	false
48	bolter	8864	2905	-	1	false
49	bolter	8864	2805	-	1	false
50	bolter	8864	5590	-	1	false
51	bolter	8864	1688	-	1	false
52	bolter	8864	2050	-	1	false
53	bolter	8864	4901	-	1	false
54	bolter	8864	8162	-	1	false
55	bolter	8864	8788	-	1	false
56	bolter	8864	3119	-	1	false
57	bolter	8864	5820	-	1	false
58	bolter	8864	7183	-	1	false
59	bolter	8864	1831	-	1	false
60	bolter	8864	5864	-	1	false
61	bolter	8864	5209	-	1	false
62	bolter	8864	2417	-	1	false
63	bolter	8864	539	-	1	false
64	bolter	8864	224	-	1	false
65	bolter	8864	5136	-	1	false
66	bolter	8864	2043	-	1	false
67	bolter	8864	8240	-	1	false
68	bolter	8864	2698	-	1	false
69	bolter	8864	7628	-	1	false
70	bolter	8864	5791	-	1	false
71	bolter	8864	5999	-	1	false
72	bolter	8864	596	-	1	false
73	bolter	8864	7446	-	1	false
74	bolter	8864	3572	-	1	false
75	bolter	8864	7813	-	1	false
76	bolter	8864	7291	-	1	false
77	bolter	8864	5398	-	1	false
78	bolter	8864	1664	-	1	false
79	bolter	8864	544	-	1	false
80	bolter	8864	6491	-	1	false
81	bolter	8864	5119	-	1	false
82	bolter	8864	3294	-	1	false
83	bolter	8864	6303	-	1	false
84	bolter	8864	8113	-	1	false
85	bolter	8864	5830	-	1	false
86	bolter	8864	1789	-	1	false
87	bolter	8864	952	-	1	false
88	bolter	8864	5106	-	1	false
89	bolter	8864	3064	-	1	false
90	bolter	8864	574	-	1	false
91	bolter	8864	950	-	1	false
92	bolter	8864	8137	-	1	false
93	bolter	8864	4963	-	1	false
94	bolter	8864	5905	-	1	false
95	bolter	8864	6493	-	1	false
96	bolter	8864	5479	-	1	false
97	bolter	8864	2714	-	1	false
98	bolter	8864	8205	-	1	false
99	bolter	8864	6354	-	1	false
