# seed=42 mode=bolter file=corpus_xorshift.wv filesize=120654
trial	mode	filesize	off	bit	span	detected
0	bolter	120654	58640	-	1	true
1	bolter	120654	98381	-	1	true
2	bolter	120654	89481	-	1	true
3	bolter	120654	79413	-	1	true
4	bolter	120654	8355	-	1	true
5	bolter	120654	3436	-	1	true
6	bolter	120654	98010	-	1	true
7	bolter	120654	46079	-	1	true
8	bolter	120654	70736	-	1	true
9	bolter	120654	94221	-	1	true
10	bolter	120654	58783	-	1	true
11	bolter	120654	53287	-	1	true
12	bolter	120654	43986	-	1	true
13	bolter	120654	71014	-	1	true
14	bolter	120654	8621	-	1	true
15	bolter	120654	72207	-	1	true
16	bolter	120654	89200	-	1	true
17	bolter	120654	57616	-	1	true
18	bolter	120654	102089	-	1	true
19	bolter	120654	31594	-	1	true
20	bolter	120654	40764	-	1	true
21	bolter	120654	59295	-	1	true
22	bolter	120654	65208	-	1	true
23	bolter	120654	109819	-	1	true
24	bolter	120654	83927	-	1	true
25	bolter	120654	65079	-	1	true
26	bolter	120654	77124	-	1	true
27	bolter	120654	36743	-	1	true
28	bolter	120654	826	-	1	true
29	bolter	120654	4220	-	1	true
30	bolter	120654	64446	-	1	true
31	bolter	120654	42527	-	1	true
32	bolter	120654	92158	-	1	true
33	bolter	120654	48418	-	1	true
34	bolter	120654	42361	-	1	true
35	bolter	120654	72916	-	1	true
36	bolter	120654	51456	-	1	true
37	bolter	120654	18845	-	1	true
38	bolter	120654	34352	-	1	true
39	bolter	120654	87790	-	1	true
40	bolter	120654	85700	-	1	true
41	bolter	120654	44229	-	1	true
42	bolter	120654	24933	-	1	true
43	bolter	120654	19064	-	1	true
44	bolter	120654	71800	-	1	true
45	bolter	120654	2132	-	1	true
46	bolter	120654	23516	-	1	true
47	bolter	120654	71972	-	1	true
48	bolter	120654	53397	-	1	true
49	bolter	120654	101553	-	1	true
50	bolter	120654	85056	-	1	true
51	bolter	120654	88082	-	1	true
52	bolter	120654	67322	-	1	true
53	bolter	120654	25633	-	1	true
54	bolter	120654	114124	-	1	true
55	bolter	120654	97258	-	1	true
56	bolter	120654	153	-	1	true
57	bolter	120654	115954	-	1	true
58	bolter	120654	8935	-	1	true
59	bolter	120654	36949	-	1	true
60	bolter	120654	86760	-	1	true
61	bolter	120654	95283	-	1	true
62	bolter	120654	1577	-	1	true
63	bolter	120654	24975	-	1	true
64	bolter	120654	2170	-	1	true
65	bolter	120654	29076	-	1	true
66	bolter	120654	110551	-	1	true
67	bolter	120654	12102	-	1	true
68	bolter	120654	93022	-	1	true
69	bolter	120654	98084	-	1	true
70	bolter	120654	15383	-	1	true
71	bolter	120654	50445	-	1	true
72	bolter	120654	115002	-	1	true
73	bolter	120654	45584	-	1	true
74	bolter	120654	98336	-	1	true
75	bolter	120654	87503	-	1	true
76	bolter	120654	7607	-	1	true
77	bolter	120654	108040	-	1	true
78	bolter	120654	110790	-	1	true
79	bolter	120654	73736	-	1	true
80	bolter	120654	115521	-	1	true
81	bolter	120654	795	-	1	true
82	bolter	120654	82052	-	1	true
83	bolter	120654	14455	-	1	true
84	bolter	120654	37081	-	1	true
85	bolter	120654	1750	-	1	true
86	bolter	120654	97347	-	1	true
87	bolter	120654	120294	-	1	true
88	bolter	120654	35564	-	1	true
89	bolter	120654	85664	-	1	true
90	bolter	120654	30194	-	1	true
91	bolter	120654	38904	-	1	true
92	bolter	120654	59013	-	1	true
93	bolter	120654	17339	-	1	true
94	bolter	120654	33297	-	1	true
95	bolter	120654	117287	-	1	true
96	bolter	120654	35351	-	1	true
97	bolter	120654	27912	-	1	true
98	bolter	120654	94283	-	1	true
99	bolter	120654	55728	-	1	true
