# seed=42 mode=shotgun file=jellyfish_vp9_opus.webm filesize=1805718
trial	mode	filesize	off	bit	span	detected
0	shotgun	1805718	922181	-	4096	true
1	shotgun	1805718	1406719	-	4096	true
2	shotgun	1805718	1348074	-	4096	true
3	shotgun	1805718	683450	-	4096	true
4	shotgun	1805718	1529364	-	4096	true
5	shotgun	1805718	921832	-	4096	true
6	shotgun	1805718	1074243	-	4096	true
7	shotgun	1805718	20482	-	4096	true
8	shotgun	1805718	1173485	-	4096	true
9	shotgun	1805718	470516	-	4096	true
10	shotgun	1805718	1348115	-	4096	true
11	shotgun	1805718	1499329	-	4096	true
12	shotgun	1805718	233422	-	4096	true
13	shotgun	1805718	772498	-	4096	true
14	shotgun	1805718	1085046	-	4096	false
15	shotgun	1805718	1738153	-	4096	true
16	shotgun	1805718	1420681	-	4096	true
17	shotgun	1805718	1365957	-	4096	true
18	shotgun	1805718	151137	-	4096	true
19	shotgun	1805718	840005	-	4096	true
20	shotgun	1805718	824845	-	4096	true
21	shotgun	1805718	744629	-	4096	true
22	shotgun	1805718	779580	-	4096	true
23	shotgun	1805718	445035	-	4096	false
24	shotgun	1805718	736517	-	4096	false
25	shotgun	1805718	1266709	-	4096	true
26	shotgun	1805718	53135	-	4096	true
27	shotgun	1805718	1665769	-	4096	true
28	shotgun	1805718	965658	-	4096	true
29	shotgun	1805718	1306682	-	4096	true
30	shotgun	1805718	853376	-	4096	false
31	shotgun	1805718	275121	-	4096	true
32	shotgun	1805718	594892	-	4096	false
33	shotgun	1805718	116155	-	4096	true
34	shotgun	1805718	207609	-	4096	true
35	shotgun	1805718	1772705	-	4096	true
36	shotgun	1805718	443972	-	4096	false
37	shotgun	1805718	482673	-	4096	true
38	shotgun	1805718	1298346	-	4096	true
39	shotgun	1805718	1200968	-	4096	true
40	shotgun	1805718	1020530	-	4096	true
41	shotgun	1805718	627348	-	4096	false
42	shotgun	1805718	1445431	-	4096	true
43	shotgun	1805718	874743	-	4096	true
44	shotgun	1805718	534979	-	4096	true
45	shotgun	1805718	1135227	-	4096	true
46	shotgun	1805718	1303467	-	4096	true
47	shotgun	1805718	190125	-	4096	true
48	shotgun	1805718	928115	-	4096	true
49	shotgun	1805718	701798	-	4096	true
50	shotgun	1805718	1155293	-	4096	true
51	shotgun	1805718	214938	-	4096	true
52	shotgun	1805718	354862	-	4096	true
53	shotgun	1805718	805826	-	4096	true
54	shotgun	1805718	150340	-	4096	false
55	shotgun	1805718	1011256	-	4096	true
56	shotgun	1805718	1434178	-	4096	true
57	shotgun	1805718	177645	-	4096	false
58	shotgun	1805718	1320421	-	4096	false
59	shotgun	1805718	1588541	-	4096	false
60	shotgun	1805718	520719	-	4096	false
61	shotgun	1805718	1556401	-	4096	true
62	shotgun	1805718	79531	-	4096	true
63	shotgun	1805718	1087096	-	4096	true
64	shotgun	1805718	1578045	-	4096	true
65	shotgun	1805718	189024	-	4096	false
66	shotgun	1805718	1359395	-	4096	false
67	shotgun	1805718	1741462	-	4096	true
68	shotgun	1805718	481713	-	4096	true
69	shotgun	1805718	496924	-	4096	false
70	shotgun	1805718	171540	-	4096	true
71	shotgun	1805718	1616235	-	4096	true
72	shotgun	1805718	1025320	-	4096	true
73	shotgun	1805718	254422	-	4096	true
74	shotgun	1805718	1017625	-	4096	true
75	shotgun	1805718	598870	-	4096	false
76	shotgun	1805718	1608503	-	4096	true
77	shotgun	1805718	1040275	-	4096	true
78	shotgun	1805718	499268	-	4096	true
79	shotgun	1805718	196818	-	4096	true
80	shotgun	1805718	1429473	-	4096	true
81	shotgun	1805718	1123808	-	4096	true
82	shotgun	1805718	613205	-	4096	true
83	shotgun	1805718	1163976	-	4096	true
84	shotgun	1805718	1752300	-	4096	true
85	shotgun	1805718	1409184	-	4096	false
86	shotgun	1805718	1180634	-	4096	true
87	shotgun	1805718	1639086	-	4096	false
88	shotgun	1805718	206221	-	4096	true
89	shotgun	1805718	1441217	-	4096	true
90	shotgun	1805718	282594	-	4096	true
91	shotgun	1805718	703486	-	4096	false
92	shotgun	1805718	566452	-	4096	false
93	shotgun	1805718	974745	-	4096	true
94	shotgun	1805718	680460	-	4096	false
95	shotgun	1805718	1390438	-	4096	true
96	shotgun	1805718	581730	-	4096	true
97	shotgun	1805718	1439985	-	4096	true
98	shotgun	1805718	943644	-	4096	true
99	shotgun	1805718	1580904	-	4096	false
