# seed=42 mode=sniper file=jellyfish_vp9_opus.webm filesize=1805718
trial	mode	filesize	off	bit	span	detected
0	sniper	1805718	712628	1	1	false
1	sniper	1805718	1551765	3	1	false
2	sniper	1805718	1262481	2	1	false
3	sniper	1805718	604926	7	1	false
4	sniper	1805718	158948	5	1	false
5	sniper	1805718	1287157	1	1	false
6	sniper	1805718	44106	6	1	false
7	sniper	1805718	628487	3	1	false
8	sniper	1805718	536362	4	1	false
9	sniper	1805718	1478867	4	1	false
10	sniper	1805718	1252716	7	1	false
11	sniper	1805718	305664	3	1	false
12	sniper	1805718	1579067	1	1	false
13	sniper	1805718	1141404	3	1	false
14	sniper	1805718	1076956	0	1	false
15	sniper	1805718	602352	3	1	false
16	sniper	1805718	39736	6	1	false
17	sniper	1805718	330895	0	1	false
18	sniper	1805718	1186860	7	1	false
19	sniper	1805718	275780	6	1	false
20	sniper	1805718	1633730	3	1	false
21	sniper	1805718	286941	4	1	false
22	sniper	1805718	1094440	2	1	false
23	sniper	1805718	1734266	0	1	false
24	sniper	1805718	296319	5	1	false
25	sniper	1805718	148836	0	1	false
26	sniper	1805718	1691420	5	1	false
27	sniper	1805718	799714	4	1	false
28	sniper	1805718	475359	4	1	false
29	sniper	1805718	1005025	7	1	false
30	sniper	1805718	1239678	1	1	false
31	sniper	1805718	1352177	3	1	false
32	sniper	1805718	1024198	0	1	false
33	sniper	1805718	1650517	0	1	false
34	sniper	1805718	1485502	4	1	false
35	sniper	1805718	1618181	7	1	false
36	sniper	1805718	408174	6	1	false
37	sniper	1805718	610304	5	1	false
38	sniper	1805718	1365911	6	1	false
39	sniper	1805718	499638	0	1	false
40	sniper	1805718	1126179	7	1	false
41	sniper	1805718	1043126	7	1	false
42	sniper	1805718	74137	6	1	false
43	sniper	1805718	1781319	0	1	false
44	sniper	1805718	1276880	0	1	false
45	sniper	1805718	688514	6	1	false
46	sniper	1805718	609567	3	1	false
47	sniper	1805718	1559667	5	1	false
48	sniper	1805718	140891	2	1	false
49	sniper	1805718	1241777	2	1	false
50	sniper	1805718	251785	2	1	false
51	sniper	1805718	1599881	3	1	false
52	sniper	1805718	1203170	7	1	false
53	sniper	1805718	308302	2	1	false
54	sniper	1805718	878296	6	1	false
55	sniper	1805718	853155	7	1	false
56	sniper	1805718	792017	6	1	false
57	sniper	1805718	1267915	6	1	false
58	sniper	1805718	690469	1	1	false
59	sniper	1805718	865197	2	1	false
60	sniper	1805718	1194391	4	1	false
61	sniper	1805718	811962	2	1	false
62	sniper	1805718	1439828	5	1	false
63	sniper	1805718	1654468	7	1	false
64	sniper	1805718	421244	0	1	false
65	sniper	1805718	1502178	0	1	false
66	sniper	1805718	364677	3	1	false
67	sniper	1805718	75964	7	1	false
68	sniper	1805718	814190	1	1	false
69	sniper	1805718	430125	3	1	false
70	sniper	1805718	684679	2	1	false
71	sniper	1805718	1010663	6	1	false
72	sniper	1805718	1680563	2	1	false
73	sniper	1805718	158363	4	1	false
74	sniper	1805718	501271	2	1	false
75	sniper	1805718	402499	2	1	false
76	sniper	1805718	1348568	0	1	false
77	sniper	1805718	1441621	4	1	false
78	sniper	1805718	37041	2	1	false
79	sniper	1805718	1202484	4	1	false
80	sniper	1805718	1588367	2	1	false
81	sniper	1805718	1204137	3	1	false
82	sniper	1805718	1004457	0	1	false
83	sniper	1805718	197193	2	1	false
84	sniper	1805718	355890	2	1	false
85	sniper	1805718	1182409	3	1	false
86	sniper	1805718	627065	6	1	false
87	sniper	1805718	937088	6	1	false
88	sniper	1805718	1719486	0	1	false
89	sniper	1805718	1543324	5	1	false
90	sniper	1805718	1373228	6	1	false
91	sniper	1805718	1597373	4	1	false
92	sniper	1805718	949003	2	1	false
93	sniper	1805718	22991	3	1	false
94	sniper	1805718	59961	4	1	false
95	sniper	1805718	924725	7	1	false
96	sniper	1805718	511359	6	1	false
97	sniper	1805718	1089021	2	1	false
98	sniper	1805718	216633	0	1	false
99	sniper	1805718	911566	7	1	false
