# seed=42 mode=sniper file=google_gallery_3.webp filesize=203138
trial	mode	filesize	off	bit	span	detected
0	sniper	203138	142988	1	1	true
1	sniper	203138	112023	3	1	true
2	sniper	203138	37799	2	1	true
3	sniper	203138	16560	7	1	true
4	sniper	203138	31928	5	1	false
5	sniper	203138	79671	1	1	true
6	sniper	203138	137156	6	1	true
7	sniper	203138	51093	3	1	true
8	sniper	203138	50488	4	1	true
9	sniper	203138	158813	4	1	true
10	sniper	203138	19224	7	1	true
11	sniper	203138	199744	3	1	true
12	sniper	203138	52183	1	1	true
13	sniper	203138	33350	3	1	false
14	sniper	203138	51508	0	1	true
15	sniper	203138	179250	3	1	true
16	sniper	203138	194398	6	1	true
17	sniper	203138	45891	0	1	true
18	sniper	203138	92996	7	1	true
19	sniper	203138	165692	6	1	true
20	sniper	203138	57262	3	1	true
21	sniper	203138	157283	4	1	true
22	sniper	203138	59602	2	1	true
23	sniper	203138	137542	0	1	true
24	sniper	203138	200105	5	1	true
25	sniper	203138	46872	0	1	true
26	sniper	203138	9400	5	1	false
27	sniper	203138	112020	4	1	true
28	sniper	203138	179119	4	1	true
29	sniper	203138	200703	7	1	true
30	sniper	203138	57564	1	1	true
31	sniper	203138	199497	3	1	true
32	sniper	203138	69540	0	1	true
33	sniper	203138	9009	0	1	false
34	sniper	203138	39430	4	1	true
35	sniper	203138	6845	7	1	false
36	sniper	203138	43518	6	1	true
37	sniper	203138	134400	5	1	true
38	sniper	203138	202259	6	1	true
39	sniper	203138	14028	0	1	false
40	sniper	203138	54839	7	1	true
41	sniper	203138	73012	7	1	true
42	sniper	203138	196675	6	1	true
43	sniper	203138	89857	0	1	true
44	sniper	203138	37744	0	1	true
45	sniper	203138	79312	6	1	true
46	sniper	203138	55751	3	1	true
47	sniper	203138	181009	5	1	true
48	sniper	203138	58761	2	1	true
49	sniper	203138	10343	2	1	false
50	sniper	203138	192443	2	1	true
51	sniper	203138	62711	3	1	true
52	sniper	203138	166328	7	1	true
53	sniper	203138	168992	2	1	true
54	sniper	203138	167868	6	1	true
55	sniper	203138	97467	7	1	true
56	sniper	203138	110021	6	1	true
57	sniper	203138	21341	6	1	false
58	sniper	203138	104635	1	1	true
59	sniper	203138	113149	2	1	true
60	sniper	203138	36911	4	1	true
61	sniper	203138	7376	2	1	false
62	sniper	203138	155538	5	1	true
63	sniper	203138	203068	7	1	true
64	sniper	203138	155440	0	1	true
65	sniper	203138	138184	0	1	true
66	sniper	203138	137433	3	1	true
67	sniper	203138	28490	7	1	false
68	sniper	203138	138682	1	1	true
69	sniper	203138	95483	3	1	true
70	sniper	203138	69041	2	1	true
71	sniper	203138	123629	6	1	true
72	sniper	203138	30773	2	1	false
73	sniper	203138	78343	4	1	true
74	sniper	203138	19195	2	1	true
75	sniper	203138	164231	2	1	true
76	sniper	203138	29570	0	1	false
77	sniper	203138	169147	4	1	true
78	sniper	203138	33929	2	1	false
79	sniper	203138	175454	4	1	true
80	sniper	203138	22185	2	1	false
81	sniper	203138	145087	3	1	true
82	sniper	203138	28805	0	1	false
83	sniper	203138	41847	2	1	true
84	sniper	203138	61760	2	1	true
85	sniper	203138	172575	3	1	true
86	sniper	203138	43921	6	1	true
87	sniper	203138	68992	6	1	true
88	sniper	203138	35356	0	1	true
89	sniper	203138	187454	5	1	true
90	sniper	203138	12346	6	1	false
91	sniper	203138	157367	4	1	true
92	sniper	203138	60967	2	1	true
93	sniper	203138	15871	3	1	true
94	sniper	203138	62705	4	1	true
95	sniper	203138	136649	7	1	true
96	sniper	203138	63833	6	1	true
97	sniper	203138	24433	2	1	false
98	sniper	203138	182505	0	1	true
99	sniper	203138	153874	7	1	true
