# seed=42 mode=shotgun file=roboto_regular.woff2 filesize=177100
trial	mode	filesize	off	bit	span	detected
0	shotgun	177100	35396	-	4096	false
1	shotgun	177100	150869	-	4096	false
2	shotgun	177100	154884	-	4096	false
3	shotgun	177100	122066	-	4096	false
4	shotgun	177100	96575	-	4096	false
5	shotgun	177100	69779	-	4096	false
6	shotgun	177100	35327	-	4096	false
7	shotgun	177100	159925	-	4096	false
8	shotgun	177100	23781	-	4096	false
9	shotgun	177100	163952	-	4096	false
10	shotgun	177100	54273	-	4096	false
11	shotgun	177100	10650	-	4096	false
12	shotgun	177100	16719	-	4096	false
13	shotgun	177100	34724	-	4096	false
14	shotgun	177100	102198	-	4096	false
15	shotgun	177100	166152	-	4096	false
16	shotgun	177100	131481	-	4096	false
17	shotgun	177100	111383	-	4096	false
18	shotgun	177100	39516	-	4096	false
19	shotgun	177100	138027	-	4096	false
20	shotgun	177100	75553	-	4096	false
21	shotgun	177100	81972	-	4096	false
22	shotgun	177100	104625	-	4096	false
23	shotgun	177100	97147	-	4096	false
24	shotgun	177100	160336	-	4096	false
25	shotgun	177100	105646	-	4096	false
26	shotgun	177100	16241	-	4096	false
27	shotgun	177100	107573	-	4096	false
28	shotgun	177100	117486	-	4096	false
29	shotgun	177100	113386	-	4096	false
30	shotgun	177100	84414	-	4096	false
31	shotgun	177100	73976	-	4096	false
32	shotgun	177100	142028	-	4096	false
33	shotgun	177100	142311	-	4096	false
34	shotgun	177100	82698	-	4096	false
35	shotgun	177100	48982	-	4096	false
36	shotgun	177100	60076	-	4096	false
37	shotgun	177100	64435	-	4096	false
38	shotgun	177100	26264	-	4096	false
39	shotgun	177100	35528	-	4096	false
40	shotgun	177100	110531	-	4096	false
41	shotgun	177100	141914	-	4096	false
42	shotgun	177100	32312	-	4096	false
43	shotgun	177100	172428	-	4096	false
44	shotgun	177100	20678	-	4096	false
45	shotgun	177100	39039	-	4096	false
46	shotgun	177100	74553	-	4096	false
47	shotgun	177100	101771	-	4096	false
48	shotgun	177100	85861	-	4096	false
49	shotgun	177100	58652	-	4096	false
50	shotgun	177100	57280	-	4096	false
51	shotgun	177100	137110	-	4096	false
52	shotgun	177100	136546	-	4096	false
53	shotgun	177100	28943	-	4096	false
54	shotgun	177100	100050	-	4096	false
55	shotgun	177100	70175	-	4096	false
56	shotgun	177100	25720	-	4096	false
57	shotgun	177100	87182	-	4096	false
58	shotgun	177100	130332	-	4096	false
59	shotgun	177100	52495	-	4096	false
60	shotgun	177100	21215	-	4096	false
61	shotgun	177100	3025	-	4096	false
62	shotgun	177100	114653	-	4096	false
63	shotgun	177100	71182	-	4096	false
64	shotgun	177100	106431	-	4096	false
65	shotgun	177100	124717	-	4096	false
66	shotgun	177100	142938	-	4096	false
67	shotgun	177100	149632	-	4096	false
68	shotgun	177100	106234	-	4096	false
69	shotgun	177100	101014	-	4096	false
70	shotgun	177100	63304	-	4096	false
71	shotgun	177100	120362	-	4096	false
72	shotgun	177100	140962	-	4096	false
73	shotgun	177100	47802	-	4096	false
74	shotgun	177100	103302	-	4096	false
75	shotgun	177100	19819	-	4096	false
76	shotgun	177100	91578	-	4096	false
77	shotgun	177100	73712	-	4096	false
78	shotgun	177100	32724	-	4096	false
79	shotgun	177100	4215	-	4096	false
80	shotgun	177100	149470	-	4096	false
81	shotgun	177100	134209	-	4096	false
82	shotgun	177100	157683	-	4096	false
83	shotgun	177100	68231	-	4096	false
84	shotgun	177100	97651	-	4096	false
85	shotgun	177100	22823	-	4096	false
86	shotgun	177100	110920	-	4096	false
87	shotgun	177100	26647	-	4096	false
88	shotgun	177100	119143	-	4096	false
89	shotgun	177100	166318	-	4096	false
90	shotgun	177100	15086	-	4096	false
91	shotgun	177100	94629	-	4096	false
92	shotgun	177100	16976	-	4096	false
93	shotgun	177100	75325	-	4096	false
94	shotgun	177100	7614	-	4096	false
95	shotgun	177100	136803	-	4096	false
96	shotgun	177100	80011	-	4096	false
97	shotgun	177100	51303	-	4096	false
98	shotgun	177100	131923	-	4096	false
99	shotgun	177100	147407	-	4096	false
