# seed=42 mode=shotgun file=roboto_regular.woff filesize=260180
trial	mode	filesize	off	bit	span	detected
0	shotgun	260180	150306	-	4096	false
1	shotgun	260180	139299	-	4096	false
2	shotgun	260180	176064	-	4096	false
3	shotgun	260180	37291	-	4096	false
4	shotgun	260180	85560	-	4096	false
5	shotgun	260180	68904	-	4096	false
6	shotgun	260180	61357	-	4096	false
7	shotgun	260180	255965	-	4096	false
8	shotgun	260180	5651	-	4096	false
9	shotgun	260180	241992	-	4096	false
10	shotgun	260180	117363	-	4096	false
11	shotgun	260180	211705	-	4096	false
12	shotgun	260180	116614	-	4096	false
13	shotgun	260180	544	-	4096	false
14	shotgun	260180	25548	-	4096	false
15	shotgun	260180	196592	-	4096	false
16	shotgun	260180	245291	-	4096	false
17	shotgun	260180	53198	-	4096	false
18	shotgun	260180	35801	-	4096	false
19	shotgun	260180	85112	-	4096	false
20	shotgun	260180	201793	-	4096	false
21	shotgun	260180	191972	-	4096	false
22	shotgun	260180	187510	-	4096	false
23	shotgun	260180	155542	-	4096	false
24	shotgun	260180	169781	-	4096	false
25	shotgun	260180	76166	-	4096	false
26	shotgun	260180	190981	-	4096	false
27	shotgun	260180	256008	-	4096	false
28	shotgun	260180	4871	-	4096	false
29	shotgun	260180	78356	-	4096	false
30	shotgun	260180	116659	-	4096	false
31	shotgun	260180	242111	-	4096	false
32	shotgun	260180	104158	-	4096	false
33	shotgun	260180	59441	-	4096	false
34	shotgun	260180	7998	-	4096	false
35	shotgun	260180	237427	-	4096	false
36	shotgun	260180	24786	-	4096	false
37	shotgun	260180	110655	-	4096	false
38	shotgun	260180	71214	-	4096	false
39	shotgun	260180	95853	-	4096	false
40	shotgun	260180	180806	-	4096	false
41	shotgun	260180	160874	-	4096	false
42	shotgun	260180	115292	-	4096	false
43	shotgun	260180	181893	-	4096	false
44	shotgun	260180	131423	-	4096	false
45	shotgun	260180	11459	-	4096	false
46	shotgun	260180	167648	-	4096	false
47	shotgun	260180	170796	-	4096	false
48	shotgun	260180	233436	-	4096	false
49	shotgun	260180	178332	-	4096	false
50	shotgun	260180	26275	-	4096	false
51	shotgun	260180	1845	-	4096	false
52	shotgun	260180	89351	-	4096	false
53	shotgun	260180	200353	-	4096	false
54	shotgun	260180	147595	-	4096	false
55	shotgun	260180	7000	-	4096	false
56	shotgun	260180	184495	-	4096	false
57	shotgun	260180	243267	-	4096	false
58	shotgun	260180	108322	-	4096	false
59	shotgun	260180	148515	-	4096	false
60	shotgun	260180	37740	-	4096	false
61	shotgun	260180	55485	-	4096	false
62	shotgun	260180	220678	-	4096	false
63	shotgun	260180	29427	-	4096	false
64	shotgun	260180	210521	-	4096	false
65	shotgun	260180	197932	-	4096	false
66	shotgun	260180	91378	-	4096	false
67	shotgun	260180	1762	-	4096	false
68	shotgun	260180	209799	-	4096	false
69	shotgun	260180	204209	-	4096	false
70	shotgun	260180	181999	-	4096	false
71	shotgun	260180	107842	-	4096	false
72	shotgun	260180	81357	-	4096	false
73	shotgun	260180	205662	-	4096	false
74	shotgun	260180	35402	-	4096	false
75	shotgun	260180	209949	-	4096	false
76	shotgun	260180	231553	-	4096	false
77	shotgun	260180	224732	-	4096	false
78	shotgun	260180	214229	-	4096	false
79	shotgun	260180	136405	-	4096	false
80	shotgun	260180	77500	-	4096	false
81	shotgun	260180	93899	-	4096	false
82	shotgun	260180	156833	-	4096	false
83	shotgun	260180	34481	-	4096	false
84	shotgun	260180	88801	-	4096	false
85	shotgun	260180	101078	-	4096	false
86	shotgun	260180	169100	-	4096	false
87	shotgun	260180	25102	-	4096	false
88	shotgun	260180	141553	-	4096	false
89	shotgun	260180	163973	-	4096	false
90	shotgun	260180	115516	-	4096	false
91	shotgun	260180	104694	-	4096	false
92	shotgun	260180	249676	-	4096	false
93	shotgun	260180	225500	-	4096	false
94	shotgun	260180	3439	-	4096	false
95	shotgun	260180	94383	-	4096	false
96	shotgun	260180	127386	-	4096	false
97	shotgun	260180	104198	-	4096	false
98	shotgun	260180	106823	-	4096	false
99	shotgun	260180	2037	-	4096	false
