# seed=42 mode=sniper file=roboto_regular.woff filesize=260180
trial	mode	filesize	off	bit	span	detected
0	sniper	260180	145146	1	1	false
1	sniper	260180	89975	3	1	false
2	sniper	260180	139397	2	1	false
3	sniper	260180	63900	7	1	false
4	sniper	260180	102224	5	1	false
5	sniper	260180	60625	1	1	false
6	sniper	260180	167848	6	1	false
7	sniper	260180	93153	3	1	false
8	sniper	260180	47778	4	1	false
9	sniper	260180	226251	4	1	false
10	sniper	260180	256716	7	1	false
11	sniper	260180	19720	3	1	false
12	sniper	260180	116683	1	1	false
13	sniper	260180	73510	3	1	false
14	sniper	260180	79644	0	1	false
15	sniper	260180	254116	3	1	false
16	sniper	260180	35330	6	1	false
17	sniper	260180	137485	0	1	false
18	sniper	260180	162498	7	1	false
19	sniper	260180	139342	6	1	false
20	sniper	260180	210250	3	1	false
21	sniper	260180	196535	4	1	false
22	sniper	260180	220054	2	1	false
23	sniper	260180	70	0	1	false
24	sniper	260180	175521	5	1	false
25	sniper	260180	48926	0	1	false
26	sniper	260180	61514	5	1	false
27	sniper	260180	203302	4	1	false
28	sniper	260180	39811	4	1	false
29	sniper	260180	93243	7	1	false
30	sniper	260180	258032	1	1	false
31	sniper	260180	113321	3	1	false
32	sniper	260180	111352	0	1	false
33	sniper	260180	121683	0	1	false
34	sniper	260180	40442	4	1	false
35	sniper	260180	240511	7	1	false
36	sniper	260180	205756	6	1	false
37	sniper	260180	2952	5	1	false
38	sniper	260180	121363	6	1	false
39	sniper	260180	247500	0	1	false
40	sniper	260180	117359	7	1	false
41	sniper	260180	246202	7	1	false
42	sniper	260180	241633	6	1	false
43	sniper	260180	222713	0	1	false
44	sniper	260180	133998	0	1	false
45	sniper	260180	92794	6	1	false
46	sniper	260180	5681	3	1	false
47	sniper	260180	17197	5	1	false
48	sniper	260180	231395	2	1	false
49	sniper	260180	15121	2	1	false
50	sniper	260180	73917	2	1	false
51	sniper	260180	228373	3	1	false
52	sniper	260180	79864	7	1	false
53	sniper	260180	93534	2	1	false
54	sniper	260180	70680	6	1	false
55	sniper	260180	89815	7	1	false
56	sniper	260180	123091	6	1	false
57	sniper	260180	185073	6	1	false
58	sniper	260180	90715	1	1	false
59	sniper	260180	259999	2	1	false
60	sniper	260180	49257	4	1	false
61	sniper	260180	184094	2	1	false
62	sniper	260180	173452	5	1	false
63	sniper	260180	90418	7	1	false
64	sniper	260180	113126	0	1	false
65	sniper	260180	175168	0	1	false
66	sniper	260180	220517	3	1	false
67	sniper	260180	196018	7	1	false
68	sniper	260180	12390	1	1	false
69	sniper	260180	234835	3	1	false
70	sniper	260180	13279	2	1	false
71	sniper	260180	196069	6	1	false
72	sniper	260180	231345	2	1	false
73	sniper	260180	69837	4	1	false
74	sniper	260180	54685	2	1	false
75	sniper	260180	201021	2	1	false
76	sniper	260180	1016	0	1	false
77	sniper	260180	161361	4	1	false
78	sniper	260180	91611	2	1	false
79	sniper	260180	76554	4	1	false
80	sniper	260180	74011	2	1	false
81	sniper	260180	93181	3	1	false
82	sniper	260180	153061	0	1	false
83	sniper	260180	94189	2	1	false
84	sniper	260180	1492	2	1	false
85	sniper	260180	213211	3	1	false
86	sniper	260180	112619	6	1	false
87	sniper	260180	20678	6	1	false
88	sniper	260180	8430	0	1	false
89	sniper	260180	252842	5	1	false
90	sniper	260180	251828	6	1	false
91	sniper	260180	159317	4	1	false
92	sniper	260180	9949	2	1	false
93	sniper	260180	100081	3	1	false
94	sniper	260180	186053	4	1	false
95	sniper	260180	96841	7	1	false
96	sniper	260180	1913	6	1	false
97	sniper	260180	183773	2	1	false
98	sniper	260180	139615	0	1	false
99	sniper	260180	159486	7	1	false
