# seed=42 mode=sniper file=sample.wpd filesize=512
trial	mode	filesize	off	bit	span	detected
0	sniper	512	470	1	1	false
1	sniper	512	155	3	1	false
2	sniper	512	173	2	1	false
3	sniper	512	300	7	1	false
4	sniper	512	8	5	1	false
5	sniper	512	473	1	1	false
6	sniper	512	476	6	1	false
7	sniper	512	81	3	1	false
8	sniper	512	218	4	1	false
9	sniper	512	35	4	1	false
10	sniper	512	72	7	1	false
11	sniper	512	208	3	1	false
12	sniper	512	387	1	1	false
13	sniper	512	426	3	1	false
14	sniper	512	276	0	1	false
15	sniper	512	240	3	1	false
16	sniper	512	182	6	1	false
17	sniper	512	245	0	1	false
18	sniper	512	154	7	1	false
19	sniper	512	214	6	1	false
20	sniper	512	418	3	1	false
21	sniper	512	495	4	1	false
22	sniper	512	238	2	1	false
23	sniper	512	314	0	1	false
24	sniper	512	153	5	1	false
25	sniper	512	150	0	1	false
26	sniper	512	290	5	1	false
27	sniper	512	482	4	1	false
28	sniper	512	463	4	1	false
29	sniper	512	495	7	1	false
30	sniper	512	72	1	1	false
31	sniper	512	113	3	1	false
32	sniper	512	128	0	1	false
33	sniper	512	411	0	1	false
34	sniper	512	426	4	1	false
35	sniper	512	31	7	1	false
36	sniper	512	404	6	1	false
37	sniper	512	84	5	1	false
38	sniper	512	251	6	1	false
39	sniper	512	448	0	1	false
40	sniper	512	507	7	1	false
41	sniper	512	62	7	1	false
42	sniper	512	209	6	1	false
43	sniper	512	93	0	1	false
44	sniper	512	306	0	1	false
45	sniper	512	94	6	1	false
46	sniper	512	201	3	1	false
47	sniper	512	177	5	1	false
48	sniper	512	103	2	1	false
49	sniper	512	365	2	1	false
50	sniper	512	89	2	1	false
51	sniper	512	85	3	1	false
52	sniper	512	184	7	1	false
53	sniper	512	6	2	1	true
54	sniper	512	260	6	1	false
55	sniper	512	287	7	1	false
56	sniper	512	59	6	1	false
57	sniper	512	301	6	1	false
58	sniper	512	247	1	1	false
59	sniper	512	179	2	1	false
60	sniper	512	297	4	1	false
61	sniper	512	366	2	1	false
62	sniper	512	116	5	1	false
63	sniper	512	14	7	1	false
64	sniper	512	410	0	1	false
65	sniper	512	324	0	1	false
66	sniper	512	369	3	1	false
67	sniper	512	178	7	1	false
68	sniper	512	222	1	1	false
69	sniper	512	59	3	1	false
70	sniper	512	219	2	1	false
71	sniper	512	93	6	1	false
72	sniper	512	365	2	1	false
73	sniper	512	5	4	1	true
74	sniper	512	61	2	1	false
75	sniper	512	149	2	1	false
76	sniper	512	144	0	1	false
77	sniper	512	285	4	1	false
78	sniper	512	219	2	1	false
79	sniper	512	194	4	1	false
80	sniper	512	235	2	1	false
81	sniper	512	493	3	1	false
82	sniper	512	37	0	1	false
83	sniper	512	413	2	1	false
84	sniper	512	128	2	1	false
85	sniper	512	287	3	1	false
86	sniper	512	219	6	1	false
87	sniper	512	454	6	1	false
88	sniper	512	358	0	1	false
89	sniper	512	414	5	1	false
90	sniper	512	356	6	1	false
91	sniper	512	105	4	1	false
92	sniper	512	265	2	1	false
93	sniper	512	25	3	1	false
94	sniper	512	185	4	1	false
95	sniper	512	17	7	1	false
96	sniper	512	289	6	1	false
97	sniper	512	309	2	1	false
98	sniper	512	259	0	1	false
99	sniper	512	90	7	1	false
