# seed=42 mode=sniper file=sample.xlsx filesize=10556
trial	mode	filesize	off	bit	span	detected
0	sniper	10556	6878	1	1	true
1	sniper	10556	8179	3	1	true
2	sniper	10556	4077	2	1	true
3	sniper	10556	4600	7	1	true
4	sniper	10556	5408	5	1	true
5	sniper	10556	5025	1	1	true
6	sniper	10556	8092	6	1	true
7	sniper	10556	9493	3	1	true
8	sniper	10556	5274	4	1	true
9	sniper	10556	1903	4	1	false
10	sniper	10556	2168	7	1	true
11	sniper	10556	8228	3	1	true
12	sniper	10556	4603	1	1	true
13	sniper	10556	7454	3	1	false
14	sniper	10556	2056	0	1	false
15	sniper	10556	6532	3	1	true
16	sniper	10556	2830	6	1	true
17	sniper	10556	3901	0	1	true
18	sniper	10556	7326	7	1	true
19	sniper	10556	7534	6	1	false
20	sniper	10556	4274	3	1	true
21	sniper	10556	7003	4	1	true
22	sniper	10556	1258	2	1	false
23	sniper	10556	6918	0	1	true
24	sniper	10556	5105	5	1	true
25	sniper	10556	8210	0	1	true
26	sniper	10556	8334	5	1	true
27	sniper	10556	3470	4	1	true
28	sniper	10556	2163	4	1	true
29	sniper	10556	10435	7	1	true
30	sniper	10556	624	1	1	true
31	sniper	10556	3613	3	1	true
32	sniper	10556	4904	0	1	true
33	sniper	10556	4875	0	1	true
34	sniper	10556	3030	4	1	true
35	sniper	10556	4531	7	1	true
36	sniper	10556	9796	6	1	true
37	sniper	10556	7520	5	1	false
38	sniper	10556	4347	6	1	true
39	sniper	10556	6748	0	1	true
40	sniper	10556	9339	7	1	true
41	sniper	10556	9858	7	1	false
42	sniper	10556	7265	6	1	true
43	sniper	10556	3537	0	1	true
44	sniper	10556	4750	0	1	true
45	sniper	10556	6382	6	1	true
46	sniper	10556	3257	3	1	true
47	sniper	10556	2129	5	1	true
48	sniper	10556	7931	2	1	false
49	sniper	10556	7041	2	1	true
50	sniper	10556	8597	2	1	true
51	sniper	10556	3613	3	1	true
52	sniper	10556	3932	7	1	true
53	sniper	10556	5790	2	1	true
54	sniper	10556	7032	6	1	true
55	sniper	10556	279	7	1	false
56	sniper	10556	1003	6	1	false
57	sniper	10556	7145	6	1	true
58	sniper	10556	8695	1	1	true
59	sniper	10556	1739	2	1	true
60	sniper	10556	4697	4	1	true
61	sniper	10556	850	2	1	true
62	sniper	10556	3360	5	1	true
63	sniper	10556	1126	7	1	false
64	sniper	10556	7682	0	1	true
65	sniper	10556	2360	0	1	true
66	sniper	10556	1141	3	1	false
67	sniper	10556	7638	7	1	true
68	sniper	10556	3534	1	1	true
69	sniper	10556	1155	3	1	false
70	sniper	10556	3599	2	1	true
71	sniper	10556	2521	6	1	true
72	sniper	10556	3057	2	1	true
73	sniper	10556	1513	4	1	true
74	sniper	10556	1073	2	1	false
75	sniper	10556	2329	2	1	true
76	sniper	10556	3284	0	1	true
77	sniper	10556	8597	4	1	true
78	sniper	10556	7903	2	1	true
79	sniper	10556	6194	4	1	true
80	sniper	10556	1827	2	1	false
81	sniper	10556	4037	3	1	true
82	sniper	10556	9669	0	1	true
83	sniper	10556	2353	2	1	true
84	sniper	10556	6588	2	1	true
85	sniper	10556	4615	3	1	true
86	sniper	10556	319	6	1	false
87	sniper	10556	6982	6	1	true
88	sniper	10556	7510	0	1	false
89	sniper	10556	2230	5	1	true
90	sniper	10556	8108	6	1	true
91	sniper	10556	5033	4	1	true
92	sniper	10556	3949	2	1	true
93	sniper	10556	3417	3	1	true
94	sniper	10556	3633	4	1	true
95	sniper	10556	3685	7	1	true
96	sniper	10556	5177	6	1	true
97	sniper	10556	1293	2	1	false
98	sniper	10556	6719	0	1	true
99	sniper	10556	5414	7	1	true
