# seed=42 mode=bolter file=large_utf8.xml filesize=41198
trial	mode	filesize	off	bit	span	detected
0	bolter	41198	35112	-	1	true
1	bolter	41198	15181	-	1	true
2	bolter	41198	35667	-	1	true
3	bolter	41198	37443	-	1	true
4	bolter	41198	9859	-	1	true
5	bolter	41198	28256	-	1	true
6	bolter	41198	13070	-	1	true
7	bolter	41198	9115	-	1	true
8	bolter	41198	40618	-	1	true
9	bolter	41198	8043	-	1	true
10	bolter	41198	763	-	1	true
11	bolter	41198	18661	-	1	true
12	bolter	41198	2242	-	1	true
13	bolter	41198	23678	-	1	true
14	bolter	41198	6757	-	1	true
15	bolter	41198	7233	-	1	true
16	bolter	41198	7052	-	1	true
17	bolter	41198	38866	-	1	true
18	bolter	41198	32741	-	1	true
19	bolter	41198	31016	-	1	true
20	bolter	41198	2456	-	1	true
21	bolter	41198	29389	-	1	true
22	bolter	41198	6290	-	1	true
23	bolter	41198	6561	-	1	true
24	bolter	41198	6351	-	1	true
25	bolter	41198	18049	-	1	true
26	bolter	41198	21332	-	1	true
27	bolter	41198	26479	-	1	true
28	bolter	41198	12804	-	1	true
29	bolter	41198	36756	-	1	true
30	bolter	41198	38772	-	1	true
31	bolter	41198	19855	-	1	true
32	bolter	41198	36108	-	1	true
33	bolter	41198	11052	-	1	true
34	bolter	41198	27825	-	1	true
35	bolter	41198	19432	-	1	true
36	bolter	41198	21628	-	1	true
37	bolter	41198	13327	-	1	true
38	bolter	41198	27926	-	1	true
39	bolter	41198	31072	-	1	true
40	bolter	41198	5130	-	1	true
41	bolter	41198	31281	-	1	true
42	bolter	41198	3451	-	1	true
43	bolter	41198	2330	-	1	true
44	bolter	41198	7106	-	1	true
45	bolter	41198	21890	-	1	true
46	bolter	41198	37224	-	1	true
47	bolter	41198	26560	-	1	true
48	bolter	41198	32315	-	1	true
49	bolter	41198	38493	-	1	true
50	bolter	41198	30606	-	1	true
51	bolter	41198	39230	-	1	true
52	bolter	41198	21654	-	1	true
53	bolter	41198	38281	-	1	true
54	bolter	41198	39200	-	1	true
55	bolter	41198	2064	-	1	true
56	bolter	41198	24015	-	1	true
57	bolter	41198	3618	-	1	true
58	bolter	41198	29565	-	1	true
59	bolter	41198	20579	-	1	true
60	bolter	41198	6770	-	1	true
61	bolter	41198	7611	-	1	true
62	bolter	41198	31577	-	1	true
63	bolter	41198	18005	-	1	true
64	bolter	41198	6940	-	1	true
65	bolter	41198	15570	-	1	true
66	bolter	41198	35239	-	1	true
67	bolter	41198	12336	-	1	true
68	bolter	41198	7238	-	1	true
69	bolter	41198	3724	-	1	true
70	bolter	41198	29245	-	1	true
71	bolter	41198	867	-	1	true
72	bolter	41198	20542	-	1	true
73	bolter	41198	2362	-	1	true
74	bolter	41198	6126	-	1	true
75	bolter	41198	24687	-	1	true
76	bolter	41198	33987	-	1	true
77	bolter	41198	2562	-	1	true
78	bolter	41198	24882	-	1	true
79	bolter	41198	15240	-	1	true
80	bolter	41198	9139	-	1	true
81	bolter	41198	28445	-	1	true
82	bolter	41198	12678	-	1	true
83	bolter	41198	10765	-	1	true
84	bolter	41198	35407	-	1	true
85	bolter	41198	18160	-	1	true
86	bolter	41198	7143	-	1	true
87	bolter	41198	7770	-	1	true
88	bolter	41198	14864	-	1	true
89	bolter	41198	24248	-	1	true
90	bolter	41198	2672	-	1	true
91	bolter	41198	36460	-	1	true
92	bolter	41198	38657	-	1	true
93	bolter	41198	1595	-	1	true
94	bolter	41198	13895	-	1	true
95	bolter	41198	40843	-	1	true
96	bolter	41198	30455	-	1	true
97	bolter	41198	12890	-	1	true
98	bolter	41198	7539	-	1	true
99	bolter	41198	25104	-	1	true
