# seed=42 mode=sniper file=corpus_xorshift.xz filesize=16788
trial	mode	filesize	off	bit	span	detected
0	sniper	16788	11522	1	1	true
1	sniper	16788	14751	3	1	true
2	sniper	16788	3681	2	1	true
3	sniper	16788	3264	7	1	true
4	sniper	16788	620	5	1	true
5	sniper	16788	15169	1	1	true
6	sniper	16788	11244	6	1	true
7	sniper	16788	10877	3	1	true
8	sniper	16788	5722	4	1	true
9	sniper	16788	16475	4	1	true
10	sniper	16788	10872	7	1	true
11	sniper	16788	13356	3	1	true
12	sniper	16788	467	1	1	true
13	sniper	16788	12222	3	1	true
14	sniper	16788	6100	0	1	true
15	sniper	16788	14232	3	1	true
16	sniper	16788	5134	6	1	true
17	sniper	16788	10081	0	1	true
18	sniper	16788	8550	7	1	true
19	sniper	16788	7886	6	1	true
20	sniper	16788	6734	3	1	true
21	sniper	16788	16407	4	1	true
22	sniper	16788	1258	2	1	true
23	sniper	16788	7574	0	1	true
24	sniper	16788	2817	5	1	true
25	sniper	16788	1962	0	1	true
26	sniper	16788	14822	5	1	true
27	sniper	16788	118	4	1	true
28	sniper	16788	6963	4	1	true
29	sniper	16788	8659	7	1	true
30	sniper	16788	5988	1	1	true
31	sniper	16788	7445	3	1	true
32	sniper	16788	9472	0	1	true
33	sniper	16788	5431	0	1	true
34	sniper	16788	5470	4	1	true
35	sniper	16788	7091	7	1	true
36	sniper	16788	204	6	1	true
37	sniper	16788	6968	5	1	true
38	sniper	16788	3551	6	1	true
39	sniper	16788	15012	0	1	true
40	sniper	16788	5619	7	1	true
41	sniper	16788	8342	7	1	true
42	sniper	16788	7177	6	1	true
43	sniper	16788	837	0	1	true
44	sniper	16788	4406	0	1	true
45	sniper	16788	15026	6	1	true
46	sniper	16788	3345	3	1	true
47	sniper	16788	12825	5	1	true
48	sniper	16788	9095	2	1	true
49	sniper	16788	5705	2	1	true
50	sniper	16788	5509	2	1	true
51	sniper	16788	16769	3	1	true
52	sniper	16788	13280	7	1	true
53	sniper	16788	15178	2	1	true
54	sniper	16788	1516	6	1	true
55	sniper	16788	13935	7	1	true
56	sniper	16788	16055	6	1	true
57	sniper	16788	5053	6	1	true
58	sniper	16788	8935	1	1	true
59	sniper	16788	10263	2	1	true
60	sniper	16788	5053	4	1	true
61	sniper	16788	4614	2	1	true
62	sniper	16788	10868	5	1	true
63	sniper	16788	2770	7	1	true
64	sniper	16788	16070	0	1	true
65	sniper	16788	5232	0	1	true
66	sniper	16788	9441	3	1	true
67	sniper	16788	14170	7	1	true
68	sniper	16788	3062	1	1	true
69	sniper	16788	759	3	1	true
70	sniper	16788	10399	2	1	true
71	sniper	16788	15713	6	1	true
72	sniper	16788	10157	2	1	true
73	sniper	16788	13169	4	1	true
74	sniper	16788	10309	2	1	true
75	sniper	16788	15229	2	1	true
76	sniper	16788	3080	0	1	true
77	sniper	16788	14857	4	1	true
78	sniper	16788	10479	2	1	true
79	sniper	16788	2022	4	1	true
80	sniper	16788	16247	2	1	true
81	sniper	16788	129	3	1	true
82	sniper	16788	13605	0	1	true
83	sniper	16788	12609	2	1	true
84	sniper	16788	8400	2	1	true
85	sniper	16788	2335	3	1	true
86	sniper	16788	4991	6	1	true
87	sniper	16788	8606	6	1	true
88	sniper	16788	5922	0	1	true
89	sniper	16788	16306	5	1	true
90	sniper	16788	3572	6	1	true
91	sniper	16788	14345	4	1	true
92	sniper	16788	14821	2	1	true
93	sniper	16788	4469	3	1	true
94	sniper	16788	11697	4	1	true
95	sniper	16788	7133	7	1	true
96	sniper	16788	15837	6	1	true
97	sniper	16788	12885	2	1	true
98	sniper	16788	3627	0	1	true
99	sniper	16788	9214	7	1	true
