# seed=42 mode=sniper file=sample.yaml filesize=68
trial	mode	filesize	off	bit	span	detected
0	sniper	68	62	1	1	false
1	sniper	68	35	3	1	false
2	sniper	68	41	2	1	false
3	sniper	68	36	7	1	false
4	sniper	68	0	5	1	false
5	sniper	68	21	1	1	false
6	sniper	68	36	6	1	false
7	sniper	68	21	3	1	false
8	sniper	68	50	4	1	false
9	sniper	68	55	4	1	false
10	sniper	68	0	7	1	false
11	sniper	68	0	3	1	false
12	sniper	68	23	1	1	false
13	sniper	68	66	3	1	false
14	sniper	68	48	0	1	false
15	sniper	68	36	3	1	false
16	sniper	68	10	6	1	false
17	sniper	68	5	0	1	false
18	sniper	68	54	7	1	false
19	sniper	68	34	6	1	false
20	sniper	68	26	3	1	false
21	sniper	68	63	4	1	false
22	sniper	68	6	2	1	false
23	sniper	68	42	0	1	false
24	sniper	68	41	5	1	false
25	sniper	68	10	0	1	false
26	sniper	68	58	5	1	false
27	sniper	68	46	4	1	false
28	sniper	68	55	4	1	false
29	sniper	68	3	7	1	false
30	sniper	68	16	1	1	false
31	sniper	68	1	3	1	false
32	sniper	68	60	0	1	false
33	sniper	68	55	0	1	false
34	sniper	68	50	4	1	false
35	sniper	68	3	7	1	false
36	sniper	68	44	6	1	false
37	sniper	68	40	5	1	false
38	sniper	68	47	6	1	false
39	sniper	68	8	0	1	false
40	sniper	68	51	7	1	false
41	sniper	68	42	7	1	false
42	sniper	68	33	6	1	false
43	sniper	68	21	0	1	false
44	sniper	68	38	0	1	false
45	sniper	68	54	6	1	false
46	sniper	68	5	3	1	false
47	sniper	68	49	5	1	false
48	sniper	68	31	2	1	false
49	sniper	68	49	2	1	false
50	sniper	68	1	2	1	false
51	sniper	68	45	3	1	false
52	sniper	68	28	7	1	false
53	sniper	68	66	2	1	false
54	sniper	68	32	6	1	false
55	sniper	68	35	7	1	false
56	sniper	68	15	6	1	false
57	sniper	68	53	6	1	false
58	sniper	68	3	1	1	false
59	sniper	68	51	2	1	false
60	sniper	68	1	4	1	false
61	sniper	68	30	2	1	false
62	sniper	68	28	5	1	false
63	sniper	68	2	7	1	false
64	sniper	68	14	0	1	false
65	sniper	68	40	0	1	false
66	sniper	68	1	3	1	false
67	sniper	68	50	7	1	false
68	sniper	68	18	1	1	false
69	sniper	68	39	3	1	false
70	sniper	68	19	2	1	false
71	sniper	68	45	6	1	false
72	sniper	68	37	2	1	false
73	sniper	68	57	4	1	false
74	sniper	68	33	2	1	false
75	sniper	68	5	2	1	false
76	sniper	68	28	0	1	false
77	sniper	68	17	4	1	false
78	sniper	68	31	2	1	false
79	sniper	68	10	4	1	false
80	sniper	68	3	2	1	false
81	sniper	68	41	3	1	false
82	sniper	68	65	0	1	false
83	sniper	68	45	2	1	false
84	sniper	68	24	2	1	false
85	sniper	68	51	3	1	false
86	sniper	68	55	6	1	false
87	sniper	68	54	6	1	false
88	sniper	68	10	0	1	false
89	sniper	68	10	5	1	false
90	sniper	68	36	6	1	false
91	sniper	68	53	4	1	false
92	sniper	68	5	2	1	false
93	sniper	68	37	3	1	false
94	sniper	68	61	4	1	false
95	sniper	68	1	7	1	false
96	sniper	68	9	6	1	false
97	sniper	68	49	2	1	false
98	sniper	68	39	0	1	false
99	sniper	68	58	7	1	false
