# seed=42 mode=sniper file=test_archive.zip filesize=203
trial	mode	filesize	off	bit	span	detected
0	sniper	203	179	1	1	false
1	sniper	203	59	3	1	false
2	sniper	203	17	2	1	false
3	sniper	203	134	7	1	false
4	sniper	203	130	5	1	true
5	sniper	203	153	1	1	true
6	sniper	203	175	6	1	false
7	sniper	203	155	3	1	true
8	sniper	203	199	4	1	true
9	sniper	203	76	4	1	true
10	sniper	203	138	7	1	false
11	sniper	203	108	3	1	false
12	sniper	203	137	1	1	false
13	sniper	203	146	3	1	true
14	sniper	203	26	0	1	true
15	sniper	203	36	3	1	true
16	sniper	203	191	6	1	true
17	sniper	203	44	0	1	false
18	sniper	203	18	7	1	false
19	sniper	203	23	6	1	false
20	sniper	203	11	3	1	false
21	sniper	203	101	4	1	true
22	sniper	203	40	2	1	true
23	sniper	203	16	0	1	false
24	sniper	203	30	5	1	true
25	sniper	203	90	0	1	true
26	sniper	203	11	5	1	false
27	sniper	203	19	4	1	false
28	sniper	203	133	4	1	false
29	sniper	203	82	7	1	true
30	sniper	203	15	1	1	false
31	sniper	203	162	3	1	false
32	sniper	203	32	0	1	true
33	sniper	203	3	0	1	true
34	sniper	203	188	4	1	false
35	sniper	203	65	7	1	false
36	sniper	203	52	6	1	false
37	sniper	203	9	5	1	true
38	sniper	203	84	6	1	true
39	sniper	203	49	0	1	false
40	sniper	203	1	7	1	true
41	sniper	203	114	7	1	false
42	sniper	203	160	6	1	false
43	sniper	203	86	0	1	true
44	sniper	203	81	0	1	true
45	sniper	203	89	6	1	true
46	sniper	203	9	3	1	true
47	sniper	203	99	5	1	true
48	sniper	203	14	2	1	false
49	sniper	203	139	2	1	false
50	sniper	203	71	2	1	true
51	sniper	203	162	3	1	false
52	sniper	203	75	7	1	true
53	sniper	203	106	2	1	false
54	sniper	203	130	6	1	true
55	sniper	203	76	7	1	true
56	sniper	203	191	6	1	true
57	sniper	203	40	6	1	true
58	sniper	203	169	1	1	false
59	sniper	203	115	2	1	true
60	sniper	203	28	4	1	true
61	sniper	203	38	2	1	true
62	sniper	203	112	5	1	false
63	sniper	203	111	7	1	false
64	sniper	203	171	0	1	false
65	sniper	203	127	0	1	true
66	sniper	203	126	3	1	false
67	sniper	203	127	7	1	true
68	sniper	203	83	1	1	true
69	sniper	203	140	3	1	false
70	sniper	203	148	2	1	true
71	sniper	203	85	6	1	true
72	sniper	203	12	2	1	false
73	sniper	203	92	4	1	true
74	sniper	203	58	2	1	false
75	sniper	203	96	2	1	true
76	sniper	203	36	0	1	true
77	sniper	203	71	4	1	true
78	sniper	203	189	2	1	false
79	sniper	203	104	4	1	false
80	sniper	203	0	2	1	true
81	sniper	203	180	3	1	false
82	sniper	203	128	0	1	true
83	sniper	203	120	2	1	true
84	sniper	203	92	2	1	true
85	sniper	203	149	3	1	true
86	sniper	203	116	6	1	true
87	sniper	203	80	6	1	true
88	sniper	203	202	0	1	false
89	sniper	203	200	5	1	true
90	sniper	203	191	6	1	true
91	sniper	203	161	4	1	false
92	sniper	203	92	2	1	true
93	sniper	203	169	3	1	false
94	sniper	203	182	4	1	true
95	sniper	203	31	7	1	true
96	sniper	203	102	6	1	true
97	sniper	203	75	2	1	true
98	sniper	203	20	0	1	false
99	sniper	203	136	7	1	false
