# seed=42 mode=bolter file=corpus_xorshift.zst filesize=16490
trial	mode	filesize	off	bit	span	detected
0	bolter	16490	10466	-	1	true
1	bolter	16490	9149	-	1	true
2	bolter	16490	11085	-	1	true
3	bolter	16490	13915	-	1	true
4	bolter	16490	4597	-	1	true
5	bolter	16490	6136	-	1	true
6	bolter	16490	6870	-	1	true
7	bolter	16490	14891	-	1	true
8	bolter	16490	34	-	1	true
9	bolter	16490	14963	-	1	true
10	bolter	16490	8215	-	1	true
11	bolter	16490	5495	-	1	true
12	bolter	16490	6598	-	1	true
13	bolter	16490	8564	-	1	true
14	bolter	16490	12193	-	1	true
15	bolter	16490	15705	-	1	true
16	bolter	16490	15078	-	1	true
17	bolter	16490	9824	-	1	true
18	bolter	16490	10391	-	1	true
19	bolter	16490	15378	-	1	true
20	bolter	16490	7446	-	1	true
21	bolter	16490	9255	-	1	true
22	bolter	16490	10200	-	1	true
23	bolter	16490	3237	-	1	true
24	bolter	16490	1383	-	1	true
25	bolter	16490	13587	-	1	true
26	bolter	16490	6390	-	1	true
27	bolter	16490	6023	-	1	true
28	bolter	16490	524	-	1	true
29	bolter	16490	15548	-	1	true
30	bolter	16490	5816	-	1	true
31	bolter	16490	11195	-	1	true
32	bolter	16490	2560	-	1	true
33	bolter	16490	10158	-	1	true
34	bolter	16490	10035	-	1	true
35	bolter	16490	5206	-	1	true
36	bolter	16490	2298	-	1	true
37	bolter	16490	9679	-	1	true
38	bolter	16490	7412	-	1	true
39	bolter	16490	6848	-	1	true
40	bolter	16490	11790	-	1	true
41	bolter	16490	1597	-	1	true
42	bolter	16490	6115	-	1	true
43	bolter	16490	3766	-	1	true
44	bolter	16490	2454	-	1	true
45	bolter	16490	3892	-	1	true
46	bolter	16490	2660	-	1	true
47	bolter	16490	14398	-	1	true
48	bolter	16490	5651	-	1	true
49	bolter	16490	6411	-	1	true
50	bolter	16490	1506	-	1	true
51	bolter	16490	3908	-	1	true
52	bolter	16490	10394	-	1	true
53	bolter	16490	3205	-	1	true
54	bolter	16490	7832	-	1	true
55	bolter	16490	2424	-	1	true
56	bolter	16490	1891	-	1	true
57	bolter	16490	10744	-	1	true
58	bolter	16490	7823	-	1	true
59	bolter	16490	9621	-	1	true
60	bolter	16490	11032	-	1	true
61	bolter	16490	4701	-	1	true
62	bolter	16490	11731	-	1	true
63	bolter	16490	8573	-	1	true
64	bolter	16490	6962	-	1	true
65	bolter	16490	15152	-	1	true
66	bolter	16490	7433	-	1	true
67	bolter	16490	5620	-	1	true
68	bolter	16490	10522	-	1	true
69	bolter	16490	9692	-	1	true
70	bolter	16490	9761	-	1	true
71	bolter	16490	14405	-	1	true
72	bolter	16490	7966	-	1	true
73	bolter	16490	5574	-	1	true
74	bolter	16490	822	-	1	true
75	bolter	16490	3777	-	1	true
76	bolter	16490	10723	-	1	true
77	bolter	16490	12650	-	1	true
78	bolter	16490	790	-	1	true
79	bolter	16490	4764	-	1	true
80	bolter	16490	15759	-	1	true
81	bolter	16490	6635	-	1	true
82	bolter	16490	16022	-	1	true
83	bolter	16490	4923	-	1	true
84	bolter	16490	10573	-	1	true
85	bolter	16490	13656	-	1	true
86	bolter	16490	2503	-	1	true
87	bolter	16490	10640	-	1	true
88	bolter	16490	13128	-	1	true
89	bolter	16490	3678	-	1	true
90	bolter	16490	2094	-	1	true
91	bolter	16490	3952	-	1	true
92	bolter	16490	5241	-	1	true
93	bolter	16490	5683	-	1	true
94	bolter	16490	7427	-	1	true
95	bolter	16490	4285	-	1	true
96	bolter	16490	11965	-	1	true
97	bolter	16490	8754	-	1	true
98	bolter	16490	7801	-	1	true
99	bolter	16490	2740	-	1	true
