date	run_id	series	mode	seed	trials	detected	mutation_policy	fixture_name	fixture_size	fixture_sha256	raw_tsv_relpath	raw_tsv_sha256	signed_binary_sha256	source_commit	target	host	provenance
2026-03-06	legacy-2026-03-06-aac-6c1dd350fa32	aac/sample.m4a/15865	bolter	42	100	3	contiguous-byte-span-v1	sample.m4a	15865	unknown	docs/corruption-sweep-results/aac_bolter.tsv	6c1dd350fa32cb63307d2b8c599d5cd9aea631ab882bc7e16708463afb855a5e	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-aac-197d96c3c993	aac/sample.m4a/15865	shotgun	42	100	31	random-4096-byte-overwrite-v1	sample.m4a	15865	unknown	docs/corruption-sweep-results/aac_shotgun.tsv	197d96c3c993cd65bcb04ecdd188bf73113a23e0daeee2dec8b09f9ecb08039f	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-aac-0a6177a98ea4	aac/sample.m4a/15865	sniper	42	100	4	single-bit-v1	sample.m4a	15865	unknown	docs/corruption-sweep-results/aac_sniper.tsv	0a6177a98ea4dc4297c596e1528c08cf59c99dfb449d8664aa1b68ad899cd622	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-aac_adts-54d6ba1aadda	aac_adts/sample.aac/9307	bolter	42	100	10	contiguous-byte-span-v1	sample.aac	9307	unknown	docs/corruption-sweep-results/aac_adts_bolter.tsv	54d6ba1aadda3c25ff216ffd67c0894b90026fe2d789b030fa3b9f9bf87989fd	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-aac_adts-5d5d6990be5f	aac_adts/sample.aac/9307	shotgun	42	100	20	random-4096-byte-overwrite-v1	sample.aac	9307	unknown	docs/corruption-sweep-results/aac_adts_shotgun.tsv	5d5d6990be5f32f00e10eef2015783b1fcd0350133a8872c43cf79dddc516355	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-aac_adts-b37c9ab862f2	aac_adts/sample.aac/9307	sniper	42	100	6	single-bit-v1	sample.aac	9307	unknown	docs/corruption-sweep-results/aac_adts_sniper.tsv	b37c9ab862f2a221edc5cd315910ab8f69d469bd425d9b331b66bc91b7eaad35	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-accdb-0cbf2e089e31	accdb/sample.accdb/4096	bolter	42	100	0	contiguous-byte-span-v1	sample.accdb	4096	unknown	docs/corruption-sweep-results/accdb_bolter.tsv	0cbf2e089e310fbcee09dd20b518221a78a167854bfdb236afaf25325f4a271e	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-accdb-6bd31b4572c0	accdb/sample.accdb/4096	shotgun	42	100	73	random-4096-byte-overwrite-v1	sample.accdb	4096	unknown	docs/corruption-sweep-results/accdb_shotgun.tsv	6bd31b4572c0d6bcdd5ab216d1a3dab0fc8b8c3a24534765f283aea07bbe1c77	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-accdb-00156b812663	accdb/sample.accdb/4096	sniper	42	100	1	single-bit-v1	sample.accdb	4096	unknown	docs/corruption-sweep-results/accdb_sniper.tsv	00156b812663b1fda71bc358991cd3dc8d7913433f807aacf553e677edf2cdaf	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-aiff-46aa3167e6f5	aiff/sample.aiff/8054	bolter	42	100	0	contiguous-byte-span-v1	sample.aiff	8054	unknown	docs/corruption-sweep-results/aiff_bolter.tsv	46aa3167e6f5d8e305e4f679157d1aff0f067ab0823d6dd436270ca92bfbe43e	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-aiff-09f892d22b04	aiff/sample.aiff/8054	shotgun	42	100	1	random-4096-byte-overwrite-v1	sample.aiff	8054	unknown	docs/corruption-sweep-results/aiff_shotgun.tsv	09f892d22b04bb44a8b04ed7f1faebe5615803229eda553dced04149ceec598a	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-aiff-d6bc8abc1675	aiff/sample.aiff/8054	sniper	42	100	0	single-bit-v1	sample.aiff	8054	unknown	docs/corruption-sweep-results/aiff_sniper.tsv	d6bc8abc16755b9d96fd50f0ee2d918d466b54e8fec296c7e2a64be98e2d134a	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-alac-85db3ab862bd	alac/sample.m4a/18399	bolter	42	100	0	contiguous-byte-span-v1	sample.m4a	18399	unknown	docs/corruption-sweep-results/alac_bolter.tsv	85db3ab862bdabe2c2e584bbc133977dd80b78cf3b508e73b69569044dc2b08d	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-alac-ea64fb2d1712	alac/sample.m4a/18399	shotgun	42	100	100	random-4096-byte-overwrite-v1	sample.m4a	18399	unknown	docs/corruption-sweep-results/alac_shotgun.tsv	ea64fb2d171284fe81dd02f9b3fb7508ee37c09a4a6d24bb6a2829fece12d6d6	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-alac-cb7c9e8e2125	alac/sample.m4a/18399	sniper	42	100	1	single-bit-v1	sample.m4a	18399	unknown	docs/corruption-sweep-results/alac_sniper.tsv	cb7c9e8e21256f298adcc11914dfcf3a741a93f80ce7bf61922eecb846cf1ee1	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-arw-d267a77a1945	arw/sony_ilce_7s.arw/6160384	bolter	42	100	4	contiguous-byte-span-v1	sony_ilce_7s.arw	6160384	unknown	docs/corruption-sweep-results/arw_bolter.tsv	d267a77a1945d71a41d77b94545677a605f86a5471a807c32edb2e9e19b6e0d6	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-arw-29e9f27be06b	arw/sony_ilce_7s.arw/6160384	shotgun	42	100	0	random-4096-byte-overwrite-v1	sony_ilce_7s.arw	6160384	unknown	docs/corruption-sweep-results/arw_shotgun.tsv	29e9f27be06bc842948c8e23c8b8b6a98eb427439bb07ad6c9c7632b22599de1	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-arw-aa329df62391	arw/sony_ilce_7s.arw/6160384	sniper	42	100	0	single-bit-v1	sony_ilce_7s.arw	6160384	unknown	docs/corruption-sweep-results/arw_sniper.tsv	aa329df62391b474dce9a1efe5fec9d3288b3e5ad4ca6037cc23734d54282a66	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-asf-5d00ba3c1cc2	asf/sample.asf/7123	bolter	42	100	4	contiguous-byte-span-v1	sample.asf	7123	unknown	docs/corruption-sweep-results/asf_bolter.tsv	5d00ba3c1cc2d19c0e96acab4dcf017f6d9976a9d2f6c56221f033f66e65e496	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-asf-8a258dd34e71	asf/sample.asf/7123	shotgun	42	100	0	random-4096-byte-overwrite-v1	sample.asf	7123	unknown	docs/corruption-sweep-results/asf_shotgun.tsv	8a258dd34e718d02a21b33e6795502570d92d6636909e7ce6d70dcdc8a3b1e14	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-03-06	legacy-2026-03-06-asf-a4e49981acb2	asf/sample.asf/7123	sniper	42	100	1	single-bit-v1	sample.asf	7123	unknown	docs/corruption-sweep-results/asf_sniper.tsv	a4e49981acb23adcb23f4b9ceb6e46cef6b1d47cd9d458f74c1e61ff141e25ba	unknown	unknown	unknown	unknown	historical-raw-incomplete
