# seed=42 mode=shotgun file=corpus_xorshift.7z filesize=16853
trial	mode	filesize	off	bit	span	detected
0	shotgun	16853	10160	-	4096	true
1	shotgun	16853	3745	-	4096	true
2	shotgun	16853	6085	-	4096	true
3	shotgun	16853	3256	-	4096	true
4	shotgun	16853	3707	-	4096	true
5	shotgun	16853	8968	-	4096	true
6	shotgun	16853	8685	-	4096	true
7	shotgun	16853	3454	-	4096	true
8	shotgun	16853	6115	-	4096	true
9	shotgun	16853	6332	-	4096	true
10	shotgun	16853	9715	-	4096	true
11	shotgun	16853	12229	-	4096	true
12	shotgun	16853	8929	-	4096	true
13	shotgun	16853	10638	-	4096	true
14	shotgun	16853	1648	-	4096	true
15	shotgun	16853	10739	-	4096	true
16	shotgun	16853	12279	-	4096	true
17	shotgun	16853	1944	-	4096	true
18	shotgun	16853	7307	-	4096	true
19	shotgun	16853	2599	-	4096	true
20	shotgun	16853	2129	-	4096	true
21	shotgun	16853	12090	-	4096	true
22	shotgun	16853	10857	-	4096	true
23	shotgun	16853	4933	-	4096	true
24	shotgun	16853	8907	-	4096	true
25	shotgun	16853	8909	-	4096	true
26	shotgun	16853	8373	-	4096	true
27	shotgun	16853	11601	-	4096	true
28	shotgun	16853	6723	-	4096	true
29	shotgun	16853	9925	-	4096	true
30	shotgun	16853	4113	-	4096	true
31	shotgun	16853	10323	-	4096	true
32	shotgun	16853	3379	-	4096	true
33	shotgun	16853	11599	-	4096	true
34	shotgun	16853	2393	-	4096	true
35	shotgun	16853	12636	-	4096	true
36	shotgun	16853	4026	-	4096	true
37	shotgun	16853	12097	-	4096	true
38	shotgun	16853	4423	-	4096	true
39	shotgun	16853	2154	-	4096	true
40	shotgun	16853	4354	-	4096	true
41	shotgun	16853	5735	-	4096	true
42	shotgun	16853	10111	-	4096	true
43	shotgun	16853	7920	-	4096	true
44	shotgun	16853	7848	-	4096	true
45	shotgun	16853	12433	-	4096	true
46	shotgun	16853	909	-	4096	true
47	shotgun	16853	254	-	4096	true
48	shotgun	16853	1929	-	4096	true
49	shotgun	16853	12622	-	4096	true
50	shotgun	16853	3553	-	4096	true
51	shotgun	16853	9689	-	4096	true
52	shotgun	16853	10959	-	4096	true
53	shotgun	16853	1731	-	4096	true
54	shotgun	16853	118	-	4096	true
55	shotgun	16853	2783	-	4096	true
56	shotgun	16853	4663	-	4096	true
57	shotgun	16853	8859	-	4096	true
58	shotgun	16853	8065	-	4096	true
59	shotgun	16853	11167	-	4096	true
60	shotgun	16853	2730	-	4096	true
61	shotgun	16853	6044	-	4096	true
62	shotgun	16853	8941	-	4096	true
63	shotgun	16853	12029	-	4096	true
64	shotgun	16853	11154	-	4096	true
65	shotgun	16853	4988	-	4096	true
66	shotgun	16853	12415	-	4096	true
67	shotgun	16853	4317	-	4096	true
68	shotgun	16853	9200	-	4096	true
69	shotgun	16853	9037	-	4096	true
70	shotgun	16853	7312	-	4096	true
71	shotgun	16853	6393	-	4096	true
72	shotgun	16853	7550	-	4096	true
73	shotgun	16853	4850	-	4096	true
74	shotgun	16853	12303	-	4096	true
75	shotgun	16853	5582	-	4096	true
76	shotgun	16853	3901	-	4096	true
77	shotgun	16853	3822	-	4096	true
78	shotgun	16853	5422	-	4096	true
79	shotgun	16853	6576	-	4096	true
80	shotgun	16853	2106	-	4096	true
81	shotgun	16853	3917	-	4096	true
82	shotgun	16853	1760	-	4096	true
83	shotgun	16853	12609	-	4096	true
84	shotgun	16853	9260	-	4096	true
85	shotgun	16853	2531	-	4096	true
86	shotgun	16853	8958	-	4096	true
87	shotgun	16853	6188	-	4096	true
88	shotgun	16853	4279	-	4096	true
89	shotgun	16853	3840	-	4096	true
90	shotgun	16853	10841	-	4096	true
91	shotgun	16853	3766	-	4096	true
92	shotgun	16853	4947	-	4096	true
93	shotgun	16853	9881	-	4096	true
94	shotgun	16853	5474	-	4096	true
95	shotgun	16853	10453	-	4096	true
96	shotgun	16853	2478	-	4096	true
97	shotgun	16853	4543	-	4096	true
98	shotgun	16853	7012	-	4096	true
99	shotgun	16853	5530	-	4096	true
