# seed=42 mode=sniper file=sample.aac filesize=9307
trial	mode	filesize	off	bit	span	detected
0	sniper	9307	6539	1	1	false
1	sniper	9307	370	3	1	false
2	sniper	9307	8183	2	1	false
3	sniper	9307	5027	7	1	false
4	sniper	9307	6616	5	1	false
5	sniper	9307	2648	1	1	false
6	sniper	9307	7011	6	1	false
7	sniper	9307	879	3	1	false
8	sniper	9307	3480	4	1	false
9	sniper	9307	1506	4	1	false
10	sniper	9307	7201	7	1	false
11	sniper	9307	1964	3	1	false
12	sniper	9307	1164	1	1	false
13	sniper	9307	1414	3	1	false
14	sniper	9307	8964	0	1	false
15	sniper	9307	8639	3	1	false
16	sniper	9307	8127	6	1	false
17	sniper	9307	6898	0	1	false
18	sniper	9307	4784	7	1	false
19	sniper	9307	6010	6	1	false
20	sniper	9307	8567	3	1	false
21	sniper	9307	8797	4	1	false
22	sniper	9307	7894	2	1	false
23	sniper	9307	2755	0	1	false
24	sniper	9307	7125	5	1	false
25	sniper	9307	4984	0	1	false
26	sniper	9307	2286	5	1	false
27	sniper	9307	3044	4	1	true
28	sniper	9307	8081	4	1	false
29	sniper	9307	977	7	1	false
30	sniper	9307	6136	1	1	false
31	sniper	9307	9193	3	1	false
32	sniper	9307	6498	0	1	false
33	sniper	9307	6553	0	1	false
34	sniper	9307	5577	4	1	false
35	sniper	9307	1772	7	1	false
36	sniper	9307	3645	6	1	false
37	sniper	9307	2322	5	1	false
38	sniper	9307	4101	6	1	false
39	sniper	9307	7448	0	1	true
40	sniper	9307	9092	7	1	false
41	sniper	9307	7350	7	1	false
42	sniper	9307	5749	6	1	false
43	sniper	9307	6687	0	1	false
44	sniper	9307	5362	0	1	false
45	sniper	9307	1465	6	1	false
46	sniper	9307	3064	3	1	false
47	sniper	9307	6830	5	1	false
48	sniper	9307	8877	2	1	false
49	sniper	9307	1667	2	1	false
50	sniper	9307	2084	2	1	false
51	sniper	9307	8056	3	1	false
52	sniper	9307	3228	7	1	false
53	sniper	9307	731	2	1	false
54	sniper	9307	7559	6	1	true
55	sniper	9307	8990	7	1	false
56	sniper	9307	6429	6	1	false
57	sniper	9307	5681	6	1	false
58	sniper	9307	6140	1	1	false
59	sniper	9307	8095	2	1	false
60	sniper	9307	5117	4	1	false
61	sniper	9307	9204	2	1	false
62	sniper	9307	4923	5	1	false
63	sniper	9307	4887	7	1	false
64	sniper	9307	3599	0	1	false
65	sniper	9307	3560	0	1	false
66	sniper	9307	1592	3	1	false
67	sniper	9307	7983	7	1	false
68	sniper	9307	1643	1	1	false
69	sniper	9307	8640	3	1	false
70	sniper	9307	7770	2	1	false
71	sniper	9307	3585	6	1	false
72	sniper	9307	5775	2	1	false
73	sniper	9307	5628	4	1	false
74	sniper	9307	9270	2	1	false
75	sniper	9307	179	2	1	false
76	sniper	9307	6054	0	1	false
77	sniper	9307	501	4	1	false
78	sniper	9307	1064	2	1	false
79	sniper	9307	3922	4	1	true
80	sniper	9307	5047	2	1	false
81	sniper	9307	307	3	1	false
82	sniper	9307	4008	0	1	false
83	sniper	9307	2428	2	1	false
84	sniper	9307	7496	2	1	true
85	sniper	9307	171	3	1	false
86	sniper	9307	5194	6	1	false
87	sniper	9307	2322	6	1	false
88	sniper	9307	4538	0	1	false
89	sniper	9307	3098	5	1	false
90	sniper	9307	3657	6	1	true
91	sniper	9307	5286	4	1	false
92	sniper	9307	6218	2	1	false
93	sniper	9307	2204	3	1	false
94	sniper	9307	5121	4	1	false
95	sniper	9307	3089	7	1	false
96	sniper	9307	3447	6	1	false
97	sniper	9307	4281	2	1	false
98	sniper	9307	1309	0	1	false
99	sniper	9307	540	7	1	false
