# seed=42 mode=sniper file=Canyon-5.1-48khz-448kbit.ac3 filesize=2127104
trial	mode	filesize	off	bit	span	detected
0	sniper	2127104	1509078	1	1	true
1	sniper	2127104	1739419	3	1	true
2	sniper	2127104	1710509	2	1	true
3	sniper	2127104	572972	7	1	true
4	sniper	2127104	1125128	5	1	true
5	sniper	2127104	1841881	1	1	true
6	sniper	2127104	226268	6	1	true
7	sniper	2127104	1967953	3	1	true
8	sniper	2127104	1336282	4	1	true
9	sniper	2127104	477987	4	1	true
10	sniper	2127104	808008	7	1	true
11	sniper	2127104	1291216	3	1	true
12	sniper	2127104	1504899	1	1	true
13	sniper	2127104	1084586	3	1	true
14	sniper	2127104	1612308	0	1	true
15	sniper	2127104	1806064	3	1	true
16	sniper	2127104	1214390	6	1	true
17	sniper	2127104	232437	0	1	true
18	sniper	2127104	161690	7	1	true
19	sniper	2127104	457942	6	1	true
20	sniper	2127104	1247138	3	1	true
21	sniper	2127104	1171439	4	1	true
22	sniper	2127104	1031406	2	1	true
23	sniper	2127104	1924666	0	1	true
24	sniper	2127104	695193	5	1	true
25	sniper	2127104	1098390	0	1	true
26	sniper	2127104	1156642	5	1	true
27	sniper	2127104	1481954	4	1	true
28	sniper	2127104	241871	4	1	true
29	sniper	2127104	65007	7	1	true
30	sniper	2127104	592712	1	1	true
31	sniper	2127104	2014321	3	1	true
32	sniper	2127104	183936	0	1	true
33	sniper	2127104	2088859	0	1	true
34	sniper	2127104	391082	4	1	true
35	sniper	2127104	1415199	7	1	true
36	sniper	2127104	741268	6	1	true
37	sniper	2127104	1714260	5	1	true
38	sniper	2127104	656635	6	1	true
39	sniper	2127104	63168	0	1	true
40	sniper	2127104	422395	7	1	true
41	sniper	2127104	1340222	7	1	true
42	sniper	2127104	1933777	6	1	true
43	sniper	2127104	596829	0	1	true
44	sniper	2127104	1802546	0	1	true
45	sniper	2127104	1527902	6	1	true
46	sniper	2127104	1262025	3	1	true
47	sniper	2127104	958385	5	1	true
48	sniper	2127104	1278823	2	1	true
49	sniper	2127104	1173101	2	1	true
50	sniper	2127104	474713	2	1	true
51	sniper	2127104	279637	3	1	true
52	sniper	2127104	1132472	7	1	true
53	sniper	2127104	20742	2	1	true
54	sniper	2127104	716804	6	1	true
55	sniper	2127104	1336607	7	1	true
56	sniper	2127104	872251	6	1	true
57	sniper	2127104	1151533	6	1	true
58	sniper	2127104	320503	1	1	true
59	sniper	2127104	370611	2	1	true
60	sniper	2127104	1296169	4	1	true
61	sniper	2127104	1108334	2	1	true
62	sniper	2127104	903028	5	1	true
63	sniper	2127104	345358	7	1	true
64	sniper	2127104	437146	0	1	true
65	sniper	2127104	1345604	0	1	true
66	sniper	2127104	1397361	3	1	true
67	sniper	2127104	190898	7	1	true
68	sniper	2127104	520414	1	1	true
69	sniper	2127104	1777979	3	1	true
70	sniper	2127104	1949403	2	1	true
71	sniper	2127104	1185885	6	1	true
72	sniper	2127104	880493	2	1	true
73	sniper	2127104	1723653	4	1	true
74	sniper	2127104	794173	2	1	true
75	sniper	2127104	12437	2	1	true
76	sniper	2127104	1783440	0	1	true
77	sniper	2127104	745501	4	1	true
78	sniper	2127104	669403	2	1	true
79	sniper	2127104	964802	4	1	true
80	sniper	2127104	320747	2	1	true
81	sniper	2127104	1754093	3	1	true
82	sniper	2127104	564517	0	1	true
83	sniper	2127104	1341341	2	1	true
84	sniper	2127104	549760	2	1	true
85	sniper	2127104	1051423	3	1	true
86	sniper	2127104	390107	6	1	true
87	sniper	2127104	652998	6	1	true
88	sniper	2127104	757350	0	1	true
89	sniper	2127104	27038	5	1	true
90	sniper	2127104	584292	6	1	true
91	sniper	2127104	894313	4	1	true
92	sniper	2127104	56841	2	1	true
93	sniper	2127104	640025	3	1	true
94	sniper	2127104	561337	4	1	true
95	sniper	2127104	1202449	7	1	true
96	sniper	2127104	1488673	6	1	true
97	sniper	2127104	901941	2	1	true
98	sniper	2127104	893955	0	1	true
99	sniper	2127104	1387354	7	1	true
