# seed=42 mode=shotgun file=sample.aiff filesize=8054
trial	mode	filesize	off	bit	span	detected
0	shotgun	8054	1511	-	4096	false
1	shotgun	8054	1448	-	4096	false
2	shotgun	8054	67	-	4096	false
3	shotgun	8054	491	-	4096	false
4	shotgun	8054	21	-	4096	true
5	shotgun	8054	2981	-	4096	false
6	shotgun	8054	1642	-	4096	false
7	shotgun	8054	2394	-	4096	false
8	shotgun	8054	3891	-	4096	false
9	shotgun	8054	3588	-	4096	false
10	shotgun	8054	1417	-	4096	false
11	shotgun	8054	1473	-	4096	false
12	shotgun	8054	2221	-	4096	false
13	shotgun	8054	3594	-	4096	false
14	shotgun	8054	1927	-	4096	false
15	shotgun	8054	3729	-	4096	false
16	shotgun	8054	2602	-	4096	false
17	shotgun	8054	2483	-	4096	false
18	shotgun	8054	326	-	4096	false
19	shotgun	8054	2544	-	4096	false
20	shotgun	8054	300	-	4096	false
21	shotgun	8054	2564	-	4096	false
22	shotgun	8054	638	-	4096	false
23	shotgun	8054	3522	-	4096	false
24	shotgun	8054	1710	-	4096	false
25	shotgun	8054	1885	-	4096	false
26	shotgun	8054	1889	-	4096	false
27	shotgun	8054	636	-	4096	false
28	shotgun	8054	3281	-	4096	false
29	shotgun	8054	3543	-	4096	false
30	shotgun	8054	2321	-	4096	false
31	shotgun	8054	610	-	4096	false
32	shotgun	8054	408	-	4096	false
33	shotgun	8054	1939	-	4096	false
34	shotgun	8054	1733	-	4096	false
35	shotgun	8054	870	-	4096	false
36	shotgun	8054	2392	-	4096	false
37	shotgun	8054	2179	-	4096	false
38	shotgun	8054	1338	-	4096	false
39	shotgun	8054	2248	-	4096	false
40	shotgun	8054	3240	-	4096	false
41	shotgun	8054	1292	-	4096	false
42	shotgun	8054	1983	-	4096	false
43	shotgun	8054	476	-	4096	false
44	shotgun	8054	2888	-	4096	false
45	shotgun	8054	2168	-	4096	false
46	shotgun	8054	2756	-	4096	false
47	shotgun	8054	2648	-	4096	false
48	shotgun	8054	3457	-	4096	false
49	shotgun	8054	2078	-	4096	false
50	shotgun	8054	1695	-	4096	false
51	shotgun	8054	1570	-	4096	false
52	shotgun	8054	1509	-	4096	false
53	shotgun	8054	2232	-	4096	false
54	shotgun	8054	1799	-	4096	false
55	shotgun	8054	1553	-	4096	false
56	shotgun	8054	3661	-	4096	false
57	shotgun	8054	1446	-	4096	false
58	shotgun	8054	3078	-	4096	false
59	shotgun	8054	3306	-	4096	false
60	shotgun	8054	886	-	4096	false
61	shotgun	8054	3175	-	4096	false
62	shotgun	8054	706	-	4096	false
63	shotgun	8054	2901	-	4096	false
64	shotgun	8054	1990	-	4096	false
65	shotgun	8054	1543	-	4096	false
66	shotgun	8054	546	-	4096	false
67	shotgun	8054	322	-	4096	false
68	shotgun	8054	1766	-	4096	false
69	shotgun	8054	2486	-	4096	false
70	shotgun	8054	3740	-	4096	false
71	shotgun	8054	3232	-	4096	false
72	shotgun	8054	2317	-	4096	false
73	shotgun	8054	1433	-	4096	false
74	shotgun	8054	456	-	4096	false
75	shotgun	8054	2171	-	4096	false
76	shotgun	8054	3733	-	4096	false
77	shotgun	8054	655	-	4096	false
78	shotgun	8054	1625	-	4096	false
79	shotgun	8054	2564	-	4096	false
80	shotgun	8054	1771	-	4096	false
81	shotgun	8054	619	-	4096	false
82	shotgun	8054	3749	-	4096	false
83	shotgun	8054	3060	-	4096	false
84	shotgun	8054	1403	-	4096	false
85	shotgun	8054	1819	-	4096	false
86	shotgun	8054	664	-	4096	false
87	shotgun	8054	1051	-	4096	false
88	shotgun	8054	1156	-	4096	false
89	shotgun	8054	2548	-	4096	false
90	shotgun	8054	3437	-	4096	false
91	shotgun	8054	1770	-	4096	false
92	shotgun	8054	1014	-	4096	false
93	shotgun	8054	187	-	4096	false
94	shotgun	8054	1092	-	4096	false
95	shotgun	8054	283	-	4096	false
96	shotgun	8054	3232	-	4096	false
97	shotgun	8054	2987	-	4096	false
98	shotgun	8054	985	-	4096	false
99	shotgun	8054	1556	-	4096	false
