# seed=42 mode=sniper file=sample.aiff filesize=8054
trial	mode	filesize	off	bit	span	detected
0	sniper	8054	1608	1	1	false
1	sniper	8054	1217	3	1	false
2	sniper	8054	2621	2	1	false
3	sniper	8054	2748	7	1	false
4	sniper	8054	5826	5	1	false
5	sniper	8054	2903	1	1	false
6	sniper	8054	2886	6	1	false
7	sniper	8054	3157	3	1	false
8	sniper	8054	2584	4	1	false
9	sniper	8054	4541	4	1	false
10	sniper	8054	3572	7	1	false
11	sniper	8054	4556	3	1	false
12	sniper	8054	275	1	1	false
13	sniper	8054	5852	3	1	false
14	sniper	8054	5120	0	1	false
15	sniper	8054	1910	3	1	false
16	sniper	8054	3568	6	1	false
17	sniper	8054	95	0	1	false
18	sniper	8054	2100	7	1	false
19	sniper	8054	994	6	1	false
20	sniper	8054	5060	3	1	false
21	sniper	8054	3207	4	1	false
22	sniper	8054	4746	2	1	false
23	sniper	8054	888	0	1	false
24	sniper	8054	751	5	1	false
25	sniper	8054	1140	0	1	false
26	sniper	8054	2166	5	1	false
27	sniper	8054	6846	4	1	false
28	sniper	8054	6009	4	1	false
29	sniper	8054	7309	7	1	false
30	sniper	8054	4910	1	1	false
31	sniper	8054	901	3	1	false
32	sniper	8054	1980	0	1	false
33	sniper	8054	1545	0	1	false
34	sniper	8054	5928	4	1	false
35	sniper	8054	8007	7	1	false
36	sniper	8054	3088	6	1	false
37	sniper	8054	2148	5	1	false
38	sniper	8054	5571	6	1	false
39	sniper	8054	6752	0	1	false
40	sniper	8054	4229	7	1	false
41	sniper	8054	2160	7	1	false
42	sniper	8054	4589	6	1	false
43	sniper	8054	6607	0	1	false
44	sniper	8054	1174	0	1	false
45	sniper	8054	1378	6	1	false
46	sniper	8054	4793	3	1	false
47	sniper	8054	4873	5	1	false
48	sniper	8054	2765	2	1	false
49	sniper	8054	6077	2	1	false
50	sniper	8054	7957	2	1	false
51	sniper	8054	3083	3	1	false
52	sniper	8054	2970	7	1	false
53	sniper	8054	2506	2	1	false
54	sniper	8054	5474	6	1	false
55	sniper	8054	2231	7	1	false
56	sniper	8054	1135	6	1	false
57	sniper	8054	1149	6	1	false
58	sniper	8054	6745	1	1	false
59	sniper	8054	2815	2	1	false
60	sniper	8054	6829	4	1	false
61	sniper	8054	6920	2	1	false
62	sniper	8054	3532	5	1	false
63	sniper	8054	7150	7	1	false
64	sniper	8054	7422	0	1	false
65	sniper	8054	4536	0	1	false
66	sniper	8054	4609	3	1	false
67	sniper	8054	2428	7	1	false
68	sniper	8054	6580	1	1	false
69	sniper	8054	1537	3	1	false
70	sniper	8054	1331	2	1	false
71	sniper	8054	2855	6	1	false
72	sniper	8054	3281	2	1	false
73	sniper	8054	4633	4	1	false
74	sniper	8054	2227	2	1	false
75	sniper	8054	6037	2	1	false
76	sniper	8054	5594	0	1	false
77	sniper	8054	3315	4	1	false
78	sniper	8054	1419	2	1	false
79	sniper	8054	2524	4	1	false
80	sniper	8054	1865	2	1	false
81	sniper	8054	1295	3	1	false
82	sniper	8054	4115	0	1	false
83	sniper	8054	5155	2	1	false
84	sniper	8054	7854	2	1	false
85	sniper	8054	6379	3	1	false
86	sniper	8054	4635	6	1	false
87	sniper	8054	3134	6	1	false
88	sniper	8054	5566	0	1	false
89	sniper	8054	3638	5	1	false
90	sniper	8054	7856	6	1	false
91	sniper	8054	5933	4	1	false
92	sniper	8054	2725	2	1	false
93	sniper	8054	7977	3	1	false
94	sniper	8054	31	4	1	false
95	sniper	8054	7583	7	1	false
96	sniper	8054	1665	6	1	false
97	sniper	8054	7343	2	1	false
98	sniper	8054	261	0	1	false
99	sniper	8054	6514	7	1	false
