# seed=42 mode=shotgun file=sample.m4a filesize=18399
trial	mode	filesize	off	bit	span	detected
0	shotgun	18399	854	-	4096	true
1	shotgun	18399	11767	-	4096	true
2	shotgun	18399	4347	-	4096	true
3	shotgun	18399	7304	-	4096	true
4	shotgun	18399	10425	-	4096	true
5	shotgun	18399	4546	-	4096	true
6	shotgun	18399	4857	-	4096	true
7	shotgun	18399	250	-	4096	true
8	shotgun	18399	6839	-	4096	true
9	shotgun	18399	1286	-	4096	true
10	shotgun	18399	7217	-	4096	true
11	shotgun	18399	8449	-	4096	true
12	shotgun	18399	12973	-	4096	true
13	shotgun	18399	13798	-	4096	true
14	shotgun	18399	10356	-	4096	true
15	shotgun	18399	1267	-	4096	true
16	shotgun	18399	5953	-	4096	true
17	shotgun	18399	5106	-	4096	true
18	shotgun	18399	10917	-	4096	true
19	shotgun	18399	4559	-	4096	true
20	shotgun	18399	10399	-	4096	true
21	shotgun	18399	200	-	4096	true
22	shotgun	18399	4503	-	4096	true
23	shotgun	18399	1059	-	4096	true
24	shotgun	18399	971	-	4096	true
25	shotgun	18399	5323	-	4096	true
26	shotgun	18399	4103	-	4096	true
27	shotgun	18399	12925	-	4096	true
28	shotgun	18399	4173	-	4096	true
29	shotgun	18399	12791	-	4096	true
30	shotgun	18399	5459	-	4096	true
31	shotgun	18399	12921	-	4096	true
32	shotgun	18399	6547	-	4096	true
33	shotgun	18399	12823	-	4096	true
34	shotgun	18399	4167	-	4096	true
35	shotgun	18399	1328	-	4096	true
36	shotgun	18399	4766	-	4096	true
37	shotgun	18399	5421	-	4096	true
38	shotgun	18399	6231	-	4096	true
39	shotgun	18399	10406	-	4096	true
40	shotgun	18399	7868	-	4096	true
41	shotgun	18399	8433	-	4096	true
42	shotgun	18399	2875	-	4096	true
43	shotgun	18399	12624	-	4096	true
44	shotgun	18399	4492	-	4096	true
45	shotgun	18399	9507	-	4096	true
46	shotgun	18399	8949	-	4096	true
47	shotgun	18399	9042	-	4096	true
48	shotgun	18399	12725	-	4096	true
49	shotgun	18399	1226	-	4096	true
50	shotgun	18399	11255	-	4096	true
51	shotgun	18399	14115	-	4096	true
52	shotgun	18399	2119	-	4096	true
53	shotgun	18399	13781	-	4096	true
54	shotgun	18399	2098	-	4096	true
55	shotgun	18399	2581	-	4096	true
56	shotgun	18399	8149	-	4096	true
57	shotgun	18399	5325	-	4096	true
58	shotgun	18399	505	-	4096	true
59	shotgun	18399	7691	-	4096	true
60	shotgun	18399	6720	-	4096	true
61	shotgun	18399	9826	-	4096	true
62	shotgun	18399	6655	-	4096	true
63	shotgun	18399	8461	-	4096	true
64	shotgun	18399	12984	-	4096	true
65	shotgun	18399	13500	-	4096	true
66	shotgun	18399	13619	-	4096	true
67	shotgun	18399	10099	-	4096	true
68	shotgun	18399	2922	-	4096	true
69	shotgun	18399	14293	-	4096	true
70	shotgun	18399	13746	-	4096	true
71	shotgun	18399	2247	-	4096	true
72	shotgun	18399	2938	-	4096	true
73	shotgun	18399	8788	-	4096	true
74	shotgun	18399	805	-	4096	true
75	shotgun	18399	1846	-	4096	true
76	shotgun	18399	5387	-	4096	true
77	shotgun	18399	2326	-	4096	true
78	shotgun	18399	10442	-	4096	true
79	shotgun	18399	7074	-	4096	true
80	shotgun	18399	7278	-	4096	true
81	shotgun	18399	2975	-	4096	true
82	shotgun	18399	6494	-	4096	true
83	shotgun	18399	789	-	4096	true
84	shotgun	18399	8706	-	4096	true
85	shotgun	18399	1395	-	4096	true
86	shotgun	18399	2330	-	4096	true
87	shotgun	18399	9864	-	4096	true
88	shotgun	18399	2023	-	4096	true
89	shotgun	18399	12386	-	4096	true
90	shotgun	18399	7515	-	4096	true
91	shotgun	18399	1510	-	4096	true
92	shotgun	18399	12175	-	4096	true
93	shotgun	18399	10401	-	4096	true
94	shotgun	18399	11052	-	4096	true
95	shotgun	18399	8407	-	4096	true
96	shotgun	18399	11898	-	4096	true
97	shotgun	18399	11895	-	4096	true
98	shotgun	18399	11442	-	4096	true
99	shotgun	18399	2310	-	4096	true
