# seed=42 mode=shotgun file=sample.ape filesize=6510317
trial	mode	filesize	off	bit	span	detected
0	shotgun	6510317	4744482	-	4096	true
1	shotgun	6510317	3889109	-	4096	true
2	shotgun	6510317	3732949	-	4096	true
3	shotgun	6510317	4627150	-	4096	true
4	shotgun	6510317	5126109	-	4096	true
5	shotgun	6510317	5476908	-	4096	true
6	shotgun	6510317	1468825	-	4096	true
7	shotgun	6510317	679626	-	4096	true
8	shotgun	6510317	1667843	-	4096	true
9	shotgun	6510317	1016882	-	4096	true
10	shotgun	6510317	6462559	-	4096	true
11	shotgun	6510317	6004517	-	4096	true
12	shotgun	6510317	4768995	-	4096	true
13	shotgun	6510317	4310734	-	4096	true
14	shotgun	6510317	3680214	-	4096	true
15	shotgun	6510317	617297	-	4096	true
16	shotgun	6510317	1917159	-	4096	true
17	shotgun	6510317	3917738	-	4096	true
18	shotgun	6510317	6490453	-	4096	true
19	shotgun	6510317	1319241	-	4096	true
20	shotgun	6510317	2986425	-	4096	true
21	shotgun	6510317	4506160	-	4096	true
22	shotgun	6510317	2236509	-	4096	true
23	shotgun	6510317	2556727	-	4096	true
24	shotgun	6510317	1575569	-	4096	true
25	shotgun	6510317	4906841	-	4096	true
26	shotgun	6510317	6151773	-	4096	true
27	shotgun	6510317	5366671	-	4096	true
28	shotgun	6510317	5067643	-	4096	true
29	shotgun	6510317	5014085	-	4096	true
30	shotgun	6510317	2080509	-	4096	true
31	shotgun	6510317	3750467	-	4096	true
32	shotgun	6510317	6086535	-	4096	true
33	shotgun	6510317	75029	-	4096	true
34	shotgun	6510317	5959433	-	4096	true
35	shotgun	6510317	2780924	-	4096	true
36	shotgun	6510317	1753498	-	4096	true
37	shotgun	6510317	1523397	-	4096	true
38	shotgun	6510317	2590489	-	4096	true
39	shotgun	6510317	6152746	-	4096	true
40	shotgun	6510317	5486712	-	4096	true
41	shotgun	6510317	5061025	-	4096	true
42	shotgun	6510317	5976623	-	4096	true
43	shotgun	6510317	228742	-	4096	true
44	shotgun	6510317	348570	-	4096	true
45	shotgun	6510317	3691389	-	4096	true
46	shotgun	6510317	4672677	-	4096	true
47	shotgun	6510317	5224296	-	4096	true
48	shotgun	6510317	481525	-	4096	true
49	shotgun	6510317	875346	-	4096	true
50	shotgun	6510317	5161883	-	4096	true
51	shotgun	6510317	1836653	-	4096	true
52	shotgun	6510317	3695807	-	4096	true
53	shotgun	6510317	4922933	-	4096	true
54	shotgun	6510317	477792	-	4096	true
55	shotgun	6510317	1843807	-	4096	true
56	shotgun	6510317	6440225	-	4096	true
57	shotgun	6510317	4875743	-	4096	true
58	shotgun	6510317	2324259	-	4096	true
59	shotgun	6510317	1931115	-	4096	true
60	shotgun	6510317	3438958	-	4096	true
61	shotgun	6510317	3748366	-	4096	true
62	shotgun	6510317	1276279	-	4096	true
63	shotgun	6510317	3482853	-	4096	true
64	shotgun	6510317	1033940	-	4096	true
65	shotgun	6510317	4845996	-	4096	true
66	shotgun	6510317	5049415	-	4096	true
67	shotgun	6510317	1669951	-	4096	true
68	shotgun	6510317	4548932	-	4096	true
69	shotgun	6510317	1288349	-	4096	true
70	shotgun	6510317	410098	-	4096	true
71	shotgun	6510317	4094385	-	4096	true
72	shotgun	6510317	1216110	-	4096	true
73	shotgun	6510317	1574830	-	4096	true
74	shotgun	6510317	6134189	-	4096	true
75	shotgun	6510317	5266724	-	4096	true
76	shotgun	6510317	4405343	-	4096	true
77	shotgun	6510317	4164426	-	4096	true
78	shotgun	6510317	4939446	-	4096	true
79	shotgun	6510317	3693928	-	4096	true
80	shotgun	6510317	5611590	-	4096	true
81	shotgun	6510317	1494647	-	4096	true
82	shotgun	6510317	782372	-	4096	true
83	shotgun	6510317	3522847	-	4096	true
84	shotgun	6510317	3762096	-	4096	true
85	shotgun	6510317	3718167	-	4096	true
86	shotgun	6510317	6234308	-	4096	true
87	shotgun	6510317	1688974	-	4096	true
88	shotgun	6510317	5309783	-	4096	true
89	shotgun	6510317	5900898	-	4096	true
90	shotgun	6510317	911353	-	4096	true
91	shotgun	6510317	1807100	-	4096	true
92	shotgun	6510317	6350781	-	4096	true
93	shotgun	6510317	1367207	-	4096	true
94	shotgun	6510317	2473462	-	4096	true
95	shotgun	6510317	2886373	-	4096	true
96	shotgun	6510317	4486424	-	4096	true
97	shotgun	6510317	6057951	-	4096	true
98	shotgun	6510317	5650504	-	4096	true
99	shotgun	6510317	2175038	-	4096	true
